2025-05-28 16:58:53.441130
"0.02161" LEYEZ="0.57736" LPUPILD="0.00413" LPUPILV="1" REYEX="0.03119" REYEY="0.01972" REYEZ="0.57776" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.21774" FPOGY="0.06195" FPOGS="3278.61743" FPOGD="0.10034" FPOGID="6818" FPOGV="1" LPOGX="0.23202" LPOGY="0.09878" LPOGV="1" RPOGX="0.19867" RPOGY="-0.00109" RPOGV="1" BPOGX="0.21534" BPOGY="0.04885" BPOGV="1" LPCX="0.31083" LPCY="0.38478" LPD="24.35159" LPS="0.77108" LPV="1" RPCX="0.60718" RPCY="0.38148" RPD="22.65530" RPS="0.77108" RPV="1" LEYEX="-0.03960" LEYEY="0.01811" LEYEZ="0.56140" LPUPILD="0.00427" LPUPILV="1" REYEX="0.02430" REYEY="0.01925" REYEZ="0.58078" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.22263" FPOGY="0.06540" FPOGS="3278.61743" FPOGD="0.17334" FPOGID="6818" FPOGV="1" LPOGX="0.33418" LPOGY="0.12249" LPOGV="1" RPOGX="0.34820" RPOGY="0.07238" RPOGV="1" BPOGX="0.34119" BPOGY="0.09743" BPOGV="1" LPCX="0.32443" LPCY="0.38264" LPD="24.37716" LPS="0.74201" LPV="1" RPCX="0.62148" RPCY="0.38656" RPD="23.56538" RPS="0.74201" RPV="1" LEYEX="-0.03641" LEYEY="0.01821" LEYEZ="0.55436" LPUPILD="0.00427" LPUPILV="1" REYEX="0.02664" REYEY="0.01794" REYEZ="0.56673" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.22828" FPOGY="0.06663" FPOGS="3278.61743" FPOGD="0.18091" FPOGID="6818" FPOGV="1" LPOGX="0.36743" LPOGY="0.13966" LPOGV="1" RPOGX="0.39393" RPOGY="0.05982" RPOGV="1" BPOGX="0.38068" BPOGY="0.09974" BPOGV="1" LPCX="0.32629" LPCY="0.38203" LPD="23.13242" LPS="0.74201" LPV="1" RPCX="0.62331" RPCY="0.38665" RPD="22.19424" RPS="0.74201" RPV="1" LEYEX="-0.03641" LEYEY="0.01821" LEYEZ="0.55436" LPUPILD="0.00437" LPUPILV="1" REYEX="0.02664" REYEY="0.01794" REYEZ="0.56673" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.23347" FPOGY="0.06741" FPOGS="3278.61743" FPOGD="0.18701" FPOGID="6818" FPOGV="1" LPOGX="0.36419" LPOGY="0.13013" LPOGV="1" RPOGX="0.39350" RPOGY="0.04842" RPOGV="1" BPOGX="0.37884" BPOGY="0.08928" BPOGV="1" LPCX="0.32880" LPCY="0.38178" LPD="24.06433" LPS="0.75015" LPV="1" RPCX="0.62556" RPCY="0.38700" RPD="22.81174" RPS="0.75015" RPV="1" LEYEX="-0.03680" LEYEY="0.01914" LEYEZ="0.57749" LPUPILD="0.00420" LPUPILV="1" REYEX="0.02775" REYEY="0.01782" REYEZ="0.56852" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.27542" FPOGY="0.07897" FPOGS="3278.61743" FPOGD="0.18701" FPOGID="6818" FPOGV="0" LPOGX="0.44588" LPOGY="0.08794" LPOGV="1" RPOGX="0.45621" RPOGY="0.04721" RPOGV="1" BPOGX="0.45104" BPOGY="0.06757" BPOGV="1" LPCX="0.33086" LPCY="0.38140" LPD="24.13727" LPS="0.75829" LPV="1" RPCX="0.62744" RPCY="0.38746" RPD="23.00806" RPS="0.75829" RPV="1" LEYEX="-0.03680" LEYEY="0.01914" LEYEZ="0.57749" LPUPILD="0.00427" LPUPILV="1" REYEX="0.02775" REYEY="0.01782" REYEZ="0.56852" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.35505" FPOGY="0.05459" FPOGS="3278.61743" FPOGD="0.18701" FPOGID="6818" FPOGV="0" LPOGX="0.44175" LPOGY="0.07004" LPOGV="1" RPOGX="0.42762" RPOGY="-0.00961" RPOGV="1" BPOGX="0.43469" BPOGY="0.03021" BPOGV="1" LPCX="0.33100" LPCY="0.38135" LPD="23.97073" LPS="0.76644" LPV="1" RPCX="0.62766" RPCY="0.38758" RPD="23.10491" RPS="0.76644" RPV="1" LEYEX="-0.03680" LEYEY="0.01914" LEYEZ="0.57749" LPUPILD="0.00423" LPUPILV="1" REYEX="0.02775" REYEY="0.01782" REYEZ="0.56852" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.38139" FPOGY="0.04368" FPOGS="3278.61743" FPOGD="0.18701" FPOGID="6818" FPOGV="0" LPOGX="0.44061" LPOGY="0.06521" LPOGV="1" RPOGX="0.42754" RPOGY="-0.02149" RPOGV="1" BPOGX="0.43407" BPOGY="0.02186" BPOGV="1" LPCX="0.33161" LPCY="0.38127" LPD="24.07468" LPS="0.77033" LPV="1" RPCX="0.62828" RPCY="0.38771" RPD="23.16154" RPS="0.77468" RPV="1" LEYEX="-0.03592" LEYEY="0.01884" LEYEZ="0.56833" LPUPILD="0.00428" LPUPILV="1" REYEX="0.02869" REYEY="0.01800" REYEZ="0.57985" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43680" FPOGY="0.02826" FPOGS="3278.61743" FPOGD="0.18701" FPOGID="6818" FPOGV="0" LPOGX="0.44264" LPOGY="0.06117" LPOGV="1" RPOGX="0.44063" RPOGY="0.00426" RPOGV="1" BPOGX="0.44163" BPOGY="0.03271" BPOGV="1" LPCX="0.33188" LPCY="0.38135" LPD="24.08485" LPS="0.77043" LPV="1" RPCX="0.62868" RPCY="0.38783" RPD="23.05737" RPS="0.77478" RPV="1" LEYEX="-0.03592" LEYEY="0.01884" LEYEZ="0.56833" LPUPILD="0.00425" LPUPILV="1" REYEX="0.02869" REYEY="0.01800" REYEZ="0.57985" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43341" FPOGY="0.03180" FPOGS="3278.61743" FPOGD="0.18701" FPOGID="6818" FPOGV="0" LPOGX="0.42715" LPOGY="0.06543" LPOGV="1" RPOGX="0.43288" RPOGY="0.00526" RPOGV="1" BPOGX="0.43001" BPOGY="0.03534" BPOGV="1" LPCX="0.33198" LPCY="0.38139" LPD="24.57158" LPS="0.77053" LPV="1" RPCX="0.62869" RPCY="0.38781" RPD="23.13408" RPS="0.77488" RPV="1" LEYEX="-0.03592" LEYEY="0.01884" LEYEZ="0.56833" LPUPILD="0.00418" LPUPILV="1" REYEX="0.02869" REYEY="0.01800" REYEZ="0.57985" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43205" FPOGY="0.03209" FPOGS="3278.61743" FPOGD="0.18701" FPOGID="6818" FPOGV="0" LPOGX="0.42581" LPOGY="0.06007" LPOGV="1" RPOGX="0.43288" RPOGY="0.00526" RPOGV="1" BPOGX="0.42934" BPOGY="0.03266" BPOGV="1" LPCX="0.33220" LPCY="0.38103" LPD="23.62262" LPS="0.77488" LPV="1" RPCX="0.62903" RPCY="0.38772" RPD="23.05539" RPS="0.77488" RPV="1" LEYEX="-0.03446" LEYEY="0.01822" LEYEZ="0.54729" LPUPILD="0.00419" LPUPILV="1" REYEX="0.02800" REYEY="0.01749" REYEZ="0.56330" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43459" FPOGY="0.03275" FPOGS="3278.83081" FPOGD="0.02026" FPOGID="6819" FPOGV="1" LPOGX="0.43281" LPOGY="0.07947" LPOGV="1" RPOGX="0.45160" RPOGY="-0.01003" RPOGV="1" BPOGX="0.44220" BPOGY="0.03472" BPOGV="1" LPCX="0.33230" LPCY="0.38103" LPD="23.87068" LPS="0.77913" LPV="1" RPCX="0.62922" RPCY="0.38760" RPD="22.90645" RPS="0.77478" RPV="1" LEYEX="-0.03446" LEYEY="0.01822" LEYEZ="0.54729" LPUPILD="0.00419" LPUPILV="1" REYEX="0.02800" REYEY="0.01749" REYEZ="0.56330" RPUPILD="0.00387" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43577" FPOGY="0.03516" FPOGS="3278.83081" FPOGD="0.02686" FPOGID="6819" FPOGV="1" LPOGX="0.43215" LPOGY="0.07799" LPOGV="1" RPOGX="0.44881" RPOGY="0.01162" RPOGV="1" BPOGX="0.44048" BPOGY="0.04480" BPOGV="1" LPCX="0.33228" LPCY="0.38101" LPD="23.98184" LPS="0.77903" LPV="1" RPCX="0.62914" RPCY="0.38747" RPD="22.88172" RPS="0.77468" RPV="1" LEYEX="-0.03446" LEYEY="0.01822" LEYEZ="0.54729" LPUPILD="0.00417" LPUPILV="1" REYEX="0.02800" REYEY="0.01749" REYEZ="0.56330" RPUPILD="0.00386" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43666" FPOGY="0.03720" FPOGS="3278.83081" FPOGD="0.03467" FPOGID="6819" FPOGV="1" LPOGX="0.43346" LPOGY="0.08324" LPOGV="1" RPOGX="0.44881" RPOGY="0.01162" RPOGV="1" BPOGX="0.44113" BPOGY="0.04743" BPOGV="1" LPCX="0.33219" LPCY="0.38100" LPD="23.96408" LPS="0.77468" LPV="1" RPCX="0.62926" RPCY="0.38747" RPD="23.17380" RPS="0.77468" RPV="1" LEYEX="-0.03576" LEYEY="0.01889" LEYEZ="0.56716" LPUPILD="0.00425" LPUPILV="1" REYEX="0.02872" REYEY="0.01804" REYEZ="0.57695" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43522" FPOGY="0.04065" FPOGS="3278.83081" FPOGD="0.04077" FPOGID="6819" FPOGV="1" LPOGX="0.42747" LPOGY="0.09020" LPOGV="1" RPOGX="0.42564" RPOGY="0.03250" RPOGV="1" BPOGX="0.42656" BPOGY="0.06135" BPOGV="1" LPCX="0.33194" LPCY="0.38099" LPD="23.93825" LPS="0.77043" LPV="1" RPCX="0.62908" RPCY="0.38724" RPD="22.95555" RPS="0.77478" RPV="1" LEYEX="-0.03576" LEYEY="0.01889" LEYEZ="0.56716" LPUPILD="0.00421" LPUPILV="1" REYEX="0.02872" REYEY="0.01804" REYEZ="0.57695" RPUPILD="0.00386" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43556" FPOGY="0.03955" FPOGS="3278.83081" FPOGD="0.04761" FPOGID="6819" FPOGV="1" LPOGX="0.43244" LPOGY="0.05224" LPOGV="1" RPOGX="0.44343" RPOGY="0.01145" RPOGV="1" BPOGX="0.43793" BPOGY="0.03184" BPOGV="1" LPCX="0.33156" LPCY="0.38091" LPD="23.72705" LPS="0.77053" LPV="1" RPCX="0.62884" RPCY="0.38712" RPD="22.96724" RPS="0.77488" RPV="1" LEYEX="-0.03576" LEYEY="0.01889" LEYEZ="0.56716" LPUPILD="0.00422" LPUPILV="1" REYEX="0.02872" REYEY="0.01804" REYEZ="0.57695" RPUPILD="0.00387" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43582" FPOGY="0.03902" FPOGS="3278.83081" FPOGD="0.05396" FPOGID="6819" FPOGV="1" LPOGX="0.43241" LPOGY="0.05212" LPOGV="1" RPOGX="0.44339" RPOGY="0.01738" RPOGV="1" BPOGX="0.43790" BPOGY="0.03475" BPOGV="1" LPCX="0.33144" LPCY="0.38103" LPD="23.57308" LPS="0.77063" LPV="1" RPCX="0.62860" RPCY="0.38683" RPD="22.95721" RPS="0.77063" RPV="1" LEYEX="-0.03594" LEYEY="0.01881" LEYEZ="0.56605" LPUPILD="0.00427" LPUPILV="1" REYEX="0.02772" REYEY="0.01759" REYEZ="0.56110" RPUPILD="0.00388" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43451" FPOGY="0.04205" FPOGS="3278.83081" FPOGD="0.06055" FPOGID="6819" FPOGV="1" LPOGX="0.42967" LPOGY="0.06919" LPOGV="1" RPOGX="0.41573" RPOGY="0.06953" RPOGV="1" BPOGX="0.42270" BPOGY="0.06936" BPOGV="1" LPCX="0.33071" LPCY="0.38097" LPD="23.62025" LPS="0.77063" LPV="1" RPCX="0.62811" RPCY="0.38664" RPD="23.29604" RPS="0.76628" RPV="1" LEYEX="-0.03594" LEYEY="0.01881" LEYEZ="0.56605" LPUPILD="0.00423" LPUPILV="1" REYEX="0.02772" REYEY="0.01759" REYEZ="0.56110" RPUPILD="0.00388" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43508" FPOGY="0.04419" FPOGS="3278.83081" FPOGD="0.06714" FPOGID="6819" FPOGV="1" LPOGX="0.44531" LPOGY="0.09045" LPOGV="1" RPOGX="0.43625" RPOGY="0.04080" RPOGV="1" BPOGX="0.44078" BPOGY="0.06562" BPOGV="1" LPCX="0.33032" LPCY="0.38122" LPD="23.94930" LPS="0.76628" LPV="1" RPCX="0.62775" RPCY="0.38627" RPD="22.76616" RPS="0.76193" RPV="1" LEYEX="-0.03594" LEYEY="0.01881" LEYEZ="0.56605" LPUPILD="0.00415" LPUPILV="1" REYEX="0.02772" REYEY="0.01759" REYEZ="0.56110" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43560" FPOGY="0.04645" FPOGS="3278.83081" FPOGD="0.07397" FPOGID="6819" FPOGV="1" LPOGX="0.44657" LPOGY="0.09573" LPOGV="1" RPOGX="0.43625" RPOGY="0.04680" RPOGV="1" BPOGX="0.44141" BPOGY="0.07127" BPOGV="1" LPCX="0.32980" LPCY="0.38149" LPD="23.95246" LPS="0.76193" LPV="1" RPCX="0.62728" RPCY="0.38608" RPD="22.73768" RPS="0.75759" RPV="1" LEYEX="-0.03625" LEYEY="0.01875" LEYEZ="0.56561" LPUPILD="0.00421" LPUPILV="1" REYEX="0.02775" REYEY="0.01799" REYEZ="0.56852" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43549" FPOGY="0.04922" FPOGS="3278.83081" FPOGD="0.08203" FPOGID="6819" FPOGV="1" LPOGX="0.43549" LPOGY="0.12994" LPOGV="1" RPOGX="0.43275" RPOGY="0.03492" RPOGV="1" BPOGX="0.43412" BPOGY="0.08243" BPOGV="1" LPCX="0.32892" LPCY="0.38173" LPD="24.04730" LPS="0.75759" LPV="1" RPCX="0.62653" RPCY="0.38560" RPD="23.19630" RPS="0.75759" RPV="1" LEYEX="-0.03625" LEYEY="0.01875" LEYEZ="0.56561" LPUPILD="0.00420" LPUPILV="1" REYEX="0.02775" REYEY="0.01799" REYEZ="0.56852" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43576" FPOGY="0.05302" FPOGS="3278.83081" FPOGD="0.08740" FPOGID="6819" FPOGV="1" LPOGX="0.43654" LPOGY="0.14403" LPOGV="1" RPOGX="0.44202" RPOGY="0.06077" RPOGV="1" BPOGX="0.43928" BPOGY="0.10240" BPOGV="1" LPCX="0.32847" LPCY="0.38163" LPD="23.50983" LPS="0.75759" LPV="1" RPCX="0.62617" RPCY="0.38538" RPD="23.02482" RPS="0.75759" RPV="1" LEYEX="-0.03625" LEYEY="0.01875" LEYEZ="0.56561" LPUPILD="0.00415" LPUPILV="1" REYEX="0.02775" REYEY="0.01799" REYEZ="0.56852" RPUPILD="0.00387" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43603" FPOGY="0.05664" FPOGS="3278.83081" FPOGD="0.09399" FPOGID="6819" FPOGV="1" LPOGX="0.43773" LPOGY="0.14856" LPOGV="1" RPOGX="0.44199" RPOGY="0.06608" RPOGV="1" BPOGX="0.43986" BPOGY="0.10732" BPOGV="1" LPCX="0.32772" LPCY="0.38195" LPD="23.97602" LPS="0.75369" LPV="1" RPCX="0.62540" RPCY="0.38518" RPD="23.12962" RPS="0.75369" RPV="1" LEYEX="-0.03600" LEYEY="0.01830" LEYEZ="0.55457" LPUPILD="0.00418" LPUPILV="1" REYEX="0.02728" REYEY="0.01814" REYEZ="0.56769" RPUPILD="0.00388" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43626" FPOGY="0.05634" FPOGS="3278.83081" FPOGD="0.10059" FPOGID="6819" FPOGV="1" LPOGX="0.44608" LPOGY="0.08466" LPOGV="1" RPOGX="0.43332" RPOGY="0.01898" RPOGV="1" BPOGX="0.43970" BPOGY="0.05182" BPOGV="1" LPCX="0.32675" LPCY="0.38200" LPD="23.79912" LPS="0.74980" LPV="1" RPCX="0.62456" RPCY="0.38475" RPD="22.90120" RPS="0.74980" RPV="1" LEYEX="-0.03600" LEYEY="0.01830" LEYEZ="0.55457" LPUPILD="0.00417" LPUPILV="1" REYEX="0.02728" REYEY="0.01814" REYEZ="0.56769" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.43645" FPOGY="0.05886" FPOGS="3278.83081" FPOGD="0.10718" FPOGID="6819" FPOGV="1" LPOGX="0.45061" LPOGY="0.10244" LPOGV="1" RPOGX="0.42829" RPOGY="0.09588" RPOGV="1" BPOGX="0.43945" BPOGY="0.09916" BPOGV="1" LPCX="0.32625" LPCY="0.38220" LPD="23.53968" LPS="0.74590" LPV="1" RPCX="0.62402" RPCY="0.38463" RPD="22.97210" RPS="0.74590" RPV="1" LEYEX="-0.03600" LEYEY="0.01830" LEYEZ="0.55457" LPUPILD="0.00421" LPUPILV="1" REYEX="0.02728" REYEY="0.01814" REYEZ="0.56769" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
