2025-05-30 13:07:40.740174
00616" REYEZ="0.66224" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.89318" FPOGY="0.59779" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.88511" LPOGY="0.57381" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.88511" BPOGY="0.57381" BPOGV="1" LPCX="0.36876" LPCY="0.53492" LPD="9.80749" LPS="1.02720" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.02720" RPV="0" LEYEX="-0.03455" LEYEY="-0.00798" LEYEZ="0.67771" LPUPILD="0.00330" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.89623" FPOGY="0.55325" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.89928" LPOGY="0.50870" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.89928" BPOGY="0.50870" BPOGV="1" LPCX="0.36941" LPCY="0.53409" LPD="11.15104" LPS="1.02720" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.02720" RPV="0" LEYEX="-0.03455" LEYEY="-0.00798" LEYEZ="0.67771" LPUPILD="0.00336" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.91281" FPOGY="0.52678" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.94598" LPOGY="0.47386" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.94598" BPOGY="0.47386" BPOGV="1" LPCX="0.36968" LPCY="0.53353" LPD="11.52717" LPS="1.02720" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.02720" RPV="0" LEYEX="-0.03455" LEYEY="-0.00798" LEYEZ="0.67771" LPUPILD="0.00357" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.92976" FPOGY="0.48712" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.94403" LPOGY="0.47880" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.94403" BPOGY="0.47880" BPOGV="1" LPCX="0.37022" LPCY="0.53311" LPD="12.23520" LPS="1.01930" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.01930" RPV="0" LEYEX="-0.03360" LEYEY="-0.00784" LEYEZ="0.66594" LPUPILD="0.00374" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.92658" FPOGY="0.43213" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.92340" LPOGY="0.37714" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.92340" BPOGY="0.37714" BPOGV="1" LPCX="0.37104" LPCY="0.53248" LPD="13.76765" LPS="1.01139" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.01139" RPV="0" LEYEX="-0.03360" LEYEY="-0.00784" LEYEZ="0.66594" LPUPILD="0.00371" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.91390" FPOGY="0.39705" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.88853" LPOGY="0.32688" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.88853" BPOGY="0.32688" BPOGV="1" LPCX="0.37165" LPCY="0.53219" LPD="13.80299" LPS="1.00349" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.00349" RPV="0" LEYEX="-0.03360" LEYEY="-0.00784" LEYEZ="0.66594" LPUPILD="0.00376" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.90015" FPOGY="0.34363" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.88853" LPOGY="0.32688" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.88853" BPOGY="0.32688" BPOGV="1" LPCX="0.37163" LPCY="0.53198" LPD="14.75295" LPS="1.00349" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.00349" RPV="0" LEYEX="-0.03424" LEYEY="-0.00800" LEYEZ="0.68358" LPUPILD="0.00404" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.86232" FPOGY="0.26003" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.89338" LPOGY="0.25847" LPOGV="1" RPOGX="0.75561" RPOGY="0.09437" RPOGV="1" BPOGX="0.82449" BPOGY="0.17642" BPOGV="1" LPCX="0.37235" LPCY="0.53116" LPD="15.60143" LPS="1.01139" LPV="1" RPCX="0.62576" RPCY="0.55242" RPD="19.52499" RPS="1.01139" RPV="1" LEYEX="-0.03424" LEYEY="-0.00800" LEYEZ="0.68358" LPUPILD="0.00394" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00386" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.85109" FPOGY="0.21381" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.90523" LPOGY="0.21844" LPOGV="1" RPOGX="0.75202" RPOGY="0.02433" RPOGV="1" BPOGX="0.82862" BPOGY="0.12138" BPOGV="1" LPCX="0.37290" LPCY="0.53131" LPD="15.58258" LPS="1.01930" LPV="1" RPCX="0.62577" RPCY="0.55341" RPD="17.63540" RPS="1.01930" RPV="1" LEYEX="-0.03424" LEYEY="-0.00800" LEYEZ="0.68358" LPUPILD="0.00413" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00412" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.82824" FPOGY="0.13600" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.90686" LPOGY="0.21141" LPOGV="1" RPOGX="0.75634" RPOGY="0.00901" RPOGV="1" BPOGX="0.83160" BPOGY="0.11021" BPOGV="1" LPCX="0.37322" LPCY="0.53090" LPD="16.28087" LPS="1.02720" LPV="1" RPCX="0.62619" RPCY="0.55291" RPD="19.20649" RPS="1.03439" RPV="1" LEYEX="-0.03375" LEYEY="-0.00798" LEYEZ="0.68200" LPUPILD="0.00405" LPUPILV="1" REYEX="0.03107" REYEY="-0.01241" REYEZ="0.65664" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.81705" FPOGY="0.09341" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.89098" LPOGY="0.14588" LPOGV="1" RPOGX="0.72076" RPOGY="-0.04425" RPOGV="1" BPOGX="0.80587" BPOGY="0.05081" BPOGV="1" LPCX="0.37384" LPCY="0.53046" LPD="16.95628" LPS="1.03439" LPV="1" RPCX="0.62718" RPCY="0.55279" RPD="20.08064" RPS="1.04158" RPV="1" LEYEX="-0.03375" LEYEY="-0.00798" LEYEZ="0.68200" LPUPILD="0.00404" LPUPILV="1" REYEX="0.03107" REYEY="-0.01241" REYEZ="0.65664" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.82434" FPOGY="0.07684" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.93802" LPOGY="0.15066" LPOGV="1" RPOGX="0.73981" RPOGY="-0.06323" RPOGV="1" BPOGX="0.83892" BPOGY="0.04371" BPOGV="1" LPCX="0.37444" LPCY="0.53071" LPD="17.63900" LPS="1.04158" LPV="1" RPCX="0.62758" RPCY="0.55298" RPD="20.13994" RPS="1.04877" RPV="1" LEYEX="-0.03375" LEYEY="-0.00798" LEYEZ="0.68200" LPUPILD="0.00403" LPUPILV="1" REYEX="0.03107" REYEY="-0.01241" REYEZ="0.65664" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.82794" FPOGY="0.06874" FPOGS="3713.35889" FPOGD="0.02026" FPOGID="3561" FPOGV="1" LPOGX="0.93786" LPOGY="0.15133" LPOGV="1" RPOGX="0.73962" RPOGY="-0.06246" RPOGV="1" BPOGX="0.83874" BPOGY="0.04443" BPOGV="1" LPCX="0.37440" LPCY="0.53064" LPD="17.38167" LPS="1.04087" LPV="1" RPCX="0.62799" RPCY="0.55306" RPD="19.99855" RPS="1.04806" RPV="1" LEYEX="-0.03261" LEYEY="-0.00779" LEYEZ="0.66603" LPUPILD="0.00421" LPUPILV="1" REYEX="0.03187" REYEY="-0.01272" REYEZ="0.66527" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.82180" FPOGY="0.06254" FPOGS="3713.35889" FPOGD="0.02710" FPOGID="3561" FPOGV="1" LPOGX="0.87306" LPOGY="0.11607" LPOGV="1" RPOGX="0.72143" RPOGY="-0.04063" RPOGV="1" BPOGX="0.79724" BPOGY="0.03772" BPOGV="1" LPCX="0.37538" LPCY="0.53027" LPD="18.17995" LPS="1.04015" LPV="1" RPCX="0.62883" RPCY="0.55405" RPD="19.61190" RPS="1.04015" RPV="1" LEYEX="-0.03261" LEYEY="-0.00779" LEYEZ="0.66603" LPUPILD="0.00413" LPUPILV="1" REYEX="0.03187" REYEY="-0.01272" REYEZ="0.66527" RPUPILD="0.00410" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.82255" FPOGY="0.05812" FPOGS="3713.35889" FPOGD="0.03394" FPOGID="3561" FPOGV="1" LPOGX="0.91142" LPOGY="0.13040" LPOGV="1" RPOGX="0.74122" RPOGY="-0.05836" RPOGV="1" BPOGX="0.82632" BPOGY="0.03602" BPOGV="1" LPCX="0.37589" LPCY="0.53011" LPD="18.36312" LPS="1.03225" LPV="1" RPCX="0.62925" RPCY="0.55402" RPD="19.74133" RPS="1.03225" RPV="1" LEYEX="-0.03261" LEYEY="-0.00779" LEYEZ="0.66603" LPUPILD="0.00411" LPUPILV="1" REYEX="0.03187" REYEY="-0.01272" REYEZ="0.66527" RPUPILD="0.00411" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
