2025-06-03 16:01:21.982893
REYEZ="0.66023" RPUPILD="0.00412" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.40629" FPOGY="0.12916" FPOGS="312.46869" FPOGD="0.24109" FPOGID="1062" FPOGV="0" LPOGX="0.46722" LPOGY="0.23126" LPOGV="1" RPOGX="0.44300" RPOGY="0.02516" RPOGV="1" BPOGX="0.45511" BPOGY="0.12821" BPOGV="1" LPCX="0.27969" LPCY="0.79962" LPD="17.55378" LPS="1.08779" LPV="1" RPCX="0.51987" RPCY="0.79082" RPD="18.60277" RPS="1.08779" RPV="1" LEYEX="-0.05661" LEYEY="-0.06371" LEYEZ="0.67529" LPUPILD="0.00368" LPUPILV="1" REYEX="0.00515" REYEY="-0.06200" REYEZ="0.67317" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.44099" FPOGY="0.12172" FPOGS="312.46869" FPOGD="0.24109" FPOGID="1062" FPOGV="0" LPOGX="0.48771" LPOGY="0.22315" LPOGV="1" RPOGX="0.46367" RPOGY="0.00542" RPOGV="1" BPOGX="0.47569" BPOGY="0.11428" BPOGV="1" LPCX="0.27975" LPCY="0.79968" LPD="17.20086" LPS="1.08779" LPV="1" RPCX="0.52046" RPCY="0.79106" RPD="19.26925" RPS="1.08779" RPV="1" LEYEX="-0.05661" LEYEY="-0.06371" LEYEZ="0.67529" LPUPILD="0.00371" LPUPILV="1" REYEX="0.00515" REYEY="-0.06200" REYEZ="0.67317" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.45508" FPOGY="0.12801" FPOGS="312.46869" FPOGD="0.24109" FPOGID="1062" FPOGV="0" LPOGX="0.52780" LPOGY="0.25701" LPOGV="1" RPOGX="0.43873" RPOGY="0.02419" RPOGV="1" BPOGX="0.48326" BPOGY="0.14060" BPOGV="1" LPCX="0.27979" LPCY="0.79981" LPD="17.08500" LPS="1.08779" LPV="1" RPCX="0.52064" RPCY="0.79121" RPD="19.05239" RPS="1.08779" RPV="1" LEYEX="-0.05661" LEYEY="-0.06371" LEYEZ="0.67529" LPUPILD="0.00372" LPUPILV="1" REYEX="0.00515" REYEY="-0.06200" REYEZ="0.67317" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.46226" FPOGY="0.13285" FPOGS="312.71664" FPOGD="0.02011" FPOGID="1063" FPOGV="1" LPOGX="0.52886" LPOGY="0.26276" LPOGV="1" RPOGX="0.43872" RPOGY="0.03196" RPOGV="1" BPOGX="0.48379" BPOGY="0.14736" BPOGV="1" LPCX="0.28025" LPCY="0.79955" LPD="17.60502" LPS="1.07988" LPV="1" RPCX="0.52059" RPCY="0.79111" RPD="18.63295" RPS="1.07988" RPV="1" LEYEX="-0.05356" LEYEY="-0.06045" LEYEZ="0.64068" LPUPILD="0.00365" LPUPILV="1" REYEX="0.00542" REYEY="-0.06279" REYEZ="0.68171" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.46970" FPOGY="0.13621" FPOGS="312.71664" FPOGD="0.02679" FPOGID="1063" FPOGV="1" LPOGX="0.52533" LPOGY="0.24912" LPOGV="1" RPOGX="0.47358" RPOGY="0.05014" RPOGV="1" BPOGX="0.49945" BPOGY="0.14963" BPOGV="1" LPCX="0.28041" LPCY="0.79966" LPD="17.60626" LPS="1.07198" LPV="1" RPCX="0.52100" RPCY="0.79096" RPD="18.64538" RPS="1.07198" RPV="1" LEYEX="-0.05356" LEYEY="-0.06045" LEYEZ="0.64068" LPUPILD="0.00369" LPUPILV="1" REYEX="0.00542" REYEY="-0.06279" REYEZ="0.68171" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.47668" FPOGY="0.13905" FPOGS="312.71664" FPOGD="0.03345" FPOGID="1063" FPOGV="1" LPOGX="0.52831" LPOGY="0.23595" LPOGV="1" RPOGX="0.49495" RPOGY="0.07065" RPOGV="1" BPOGX="0.51163" BPOGY="0.15330" BPOGV="1" LPCX="0.28046" LPCY="0.79956" LPD="17.77419" LPS="1.06408" LPV="1" RPCX="0.52106" RPCY="0.79093" RPD="18.37876" RPS="1.06408" RPV="1" LEYEX="-0.05356" LEYEY="-0.06045" LEYEZ="0.64068" LPUPILD="0.00366" LPUPILV="1" REYEX="0.00542" REYEY="-0.06279" REYEZ="0.68171" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48159" FPOGY="0.14054" FPOGS="312.71664" FPOGD="0.04016" FPOGID="1063" FPOGV="1" LPOGX="0.52708" LPOGY="0.22913" LPOGV="1" RPOGX="0.49499" RPOGY="0.06982" RPOGV="1" BPOGX="0.51104" BPOGY="0.14947" BPOGV="1" LPCX="0.28061" LPCY="0.79984" LPD="17.23305" LPS="1.07303" LPV="1" RPCX="0.52130" RPCY="0.79119" RPD="19.07618" RPS="1.06495" RPV="1" LEYEX="-0.05731" LEYEY="-0.06480" LEYEZ="0.68676" LPUPILD="0.00374" LPUPILV="1" REYEX="0.00533" REYEY="-0.06010" REYEZ="0.65206" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48172" FPOGY="0.14263" FPOGS="312.71664" FPOGD="0.04688" FPOGID="1063" FPOGV="1" LPOGX="0.51044" LPOGY="0.22885" LPOGV="1" RPOGX="0.45479" RPOGY="0.08559" RPOGV="1" BPOGX="0.48262" BPOGY="0.15722" BPOGV="1" LPCX="0.28108" LPCY="0.79953" LPD="17.12634" LPS="1.08181" LPV="1" RPCX="0.52149" RPCY="0.79148" RPD="18.96699" RPS="1.07372" RPV="1" LEYEX="-0.05731" LEYEY="-0.06480" LEYEZ="0.68676" LPUPILD="0.00367" LPUPILV="1" REYEX="0.00533" REYEY="-0.06010" REYEZ="0.65206" RPUPILD="0.00414" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48127" FPOGY="0.14249" FPOGS="312.71664" FPOGD="0.05359" FPOGID="1063" FPOGV="1" LPOGX="0.49731" LPOGY="0.20890" LPOGV="1" RPOGX="0.45803" RPOGY="0.07386" RPOGV="1" BPOGX="0.47767" BPOGY="0.14138" BPOGV="1" LPCX="0.28109" LPCY="0.79949" LPD="17.44682" LPS="1.09058" LPV="1" RPCX="0.52169" RPCY="0.79165" RPD="19.25988" RPS="1.08249" RPV="1" LEYEX="-0.05731" LEYEY="-0.06480" LEYEZ="0.68676" LPUPILD="0.00363" LPUPILV="1" REYEX="0.00533" REYEY="-0.06010" REYEZ="0.65206" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.48092" FPOGY="0.14201" FPOGS="312.71664" FPOGD="0.06073" FPOGID="1063" FPOGV="1" LPOGX="0.49734" LPOGY="0.20904" LPOGV="1" RPOGX="0.45818" RPOGY="0.06643" RPOGV="1" BPOGX="0.47776" BPOGY="0.13773" BPOGV="1" LPCX="0.28125" LPCY="0.79943" LPD="17.42345" LPS="1.09040" LPV="1" RPCX="0.52181" RPCY="0.79171" RPD="19.35120" RPS="1.09040" RPV="1" LEYEX="-0.05666" LEYEY="-0.06422" LEYEZ="0.68071" LPUPILD="0.00365" LPUPILV="1" REYEX="0.00561" REYEY="-0.06280" REYEZ="0.68072" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
