2025-06-03 15:56:49.907793
"0.67094" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55287" FPOGY="0.18163" FPOGS="40.14964" FPOGD="0.48910" FPOGID="138" FPOGV="1" LPOGX="0.56494" LPOGY="0.19862" LPOGV="1" RPOGX="0.53910" RPOGY="0.08879" RPOGV="1" BPOGX="0.55202" BPOGY="0.14370" BPOGV="1" LPCX="0.32860" LPCY="0.72741" LPD="20.38530" LPS="1.05522" LPV="1" RPCX="0.57978" RPCY="0.72409" RPD="23.40222" RPS="1.05522" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00444" LPUPILV="1" REYEX="0.01991" REYEY="-0.04694" REYEZ="0.65878" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55296" FPOGY="0.18063" FPOGS="40.14964" FPOGD="0.49571" FPOGID="138" FPOGV="1" LPOGX="0.56576" LPOGY="0.20502" LPOGV="1" RPOGX="0.53911" RPOGY="0.08862" RPOGV="1" BPOGX="0.55244" BPOGY="0.14682" BPOGV="1" LPCX="0.32859" LPCY="0.72740" LPD="20.47784" LPS="1.04731" LPV="1" RPCX="0.57971" RPCY="0.72408" RPD="23.57270" RPS="1.05540" RPV="1" LEYEX="-0.04302" LEYEY="-0.04753" LEYEZ="0.65871" LPUPILD="0.00442" LPUPILV="1" REYEX="0.01972" REYEY="-0.04661" REYEZ="0.65414" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55284" FPOGY="0.18069" FPOGS="40.14964" FPOGD="0.50250" FPOGID="138" FPOGV="1" LPOGX="0.55653" LPOGY="0.20373" LPOGV="1" RPOGX="0.53774" RPOGY="0.08125" RPOGV="1" BPOGX="0.54714" BPOGY="0.14249" BPOGV="1" LPCX="0.32862" LPCY="0.72704" LPD="20.09670" LPS="1.04750" LPV="1" RPCX="0.57975" RPCY="0.72412" RPD="23.54751" RPS="1.05559" RPV="1" LEYEX="-0.04302" LEYEY="-0.04753" LEYEZ="0.65871" LPUPILD="0.00439" LPUPILV="1" REYEX="0.01972" REYEY="-0.04661" REYEZ="0.65414" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55301" FPOGY="0.18056" FPOGS="40.14964" FPOGD="0.50881" FPOGID="138" FPOGV="1" LPOGX="0.57311" LPOGY="0.20494" LPOGV="1" RPOGX="0.53386" RPOGY="0.09435" RPOGV="1" BPOGX="0.55349" BPOGY="0.14964" BPOGV="1" LPCX="0.32850" LPCY="0.72737" LPD="20.25104" LPS="1.04768" LPV="1" RPCX="0.57973" RPCY="0.72409" RPD="23.54199" RPS="1.05577" RPV="1" LEYEX="-0.04302" LEYEY="-0.04753" LEYEZ="0.65871" LPUPILD="0.00445" LPUPILV="1" REYEX="0.01972" REYEY="-0.04661" REYEZ="0.65414" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55319" FPOGY="0.18049" FPOGS="40.14964" FPOGD="0.51593" FPOGID="138" FPOGV="1" LPOGX="0.57232" LPOGY="0.19838" LPOGV="1" RPOGX="0.53386" RPOGY="0.09435" RPOGV="1" BPOGX="0.55309" BPOGY="0.14636" BPOGV="1" LPCX="0.32849" LPCY="0.72745" LPD="20.27937" LPS="1.05577" LPV="1" RPCX="0.57973" RPCY="0.72411" RPD="23.52213" RPS="1.05577" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00446" LPUPILV="1" REYEX="0.01991" REYEY="-0.04694" REYEZ="0.65878" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55363" FPOGY="0.18011" FPOGS="40.14964" FPOGD="0.52223" FPOGID="138" FPOGV="1" LPOGX="0.56058" LPOGY="0.19699" LPOGV="1" RPOGX="0.53614" RPOGY="0.08188" RPOGV="1" BPOGX="0.54836" BPOGY="0.13943" BPOGV="1" LPCX="0.32854" LPCY="0.72741" LPD="20.21161" LPS="1.06367" LPV="1" RPCX="0.57975" RPCY="0.72411" RPD="23.53441" RPS="1.05559" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00447" LPUPILV="1" REYEX="0.01991" REYEY="-0.04694" REYEZ="0.65878" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55344" FPOGY="0.15165" FPOGS="40.14964" FPOGD="0.52223" FPOGID="138" FPOGV="0" LPOGX="0.55788" LPOGY="0.19555" LPOGV="1" RPOGX="0.53298" RPOGY="0.09560" RPOGV="1" BPOGX="0.54543" BPOGY="0.14558" BPOGV="1" LPCX="0.32871" LPCY="0.72691" LPD="19.74491" LPS="1.06349" LPV="1" RPCX="0.57974" RPCY="0.72410" RPD="23.54495" RPS="1.05540" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00433" LPUPILV="1" REYEX="0.01991" REYEY="-0.04694" REYEZ="0.65878" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.54961" FPOGY="0.14680" FPOGS="40.14964" FPOGD="0.52223" FPOGID="138" FPOGV="0" LPOGX="0.55790" LPOGY="0.19570" LPOGV="1" RPOGX="0.53365" RPOGY="0.08820" RPOGV="1" BPOGX="0.54578" BPOGY="0.14195" BPOGV="1" LPCX="0.32869" LPCY="0.72690" LPD="19.97356" LPS="1.06331" LPV="1" RPCX="0.57970" RPCY="0.72409" RPD="23.53453" RPS="1.06331" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01972" REYEY="-0.04661" REYEZ="0.65414" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55075" FPOGY="0.13615" FPOGS="40.14964" FPOGD="0.52223" FPOGID="138" FPOGV="0" LPOGX="0.56087" LPOGY="0.20992" LPOGV="1" RPOGX="0.54519" RPOGY="0.01975" RPOGV="1" BPOGX="0.55303" BPOGY="0.11483" BPOGV="1" LPCX="0.32847" LPCY="0.72740" LPD="20.15811" LPS="1.06331" LPV="1" RPCX="0.57974" RPCY="0.72411" RPD="23.50392" RPS="1.07139" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00444" LPUPILV="1" REYEX="0.01972" REYEY="-0.04661" REYEZ="0.65414" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55014" FPOGY="0.12735" FPOGS="40.67856" FPOGD="0.02008" FPOGID="139" FPOGV="1" LPOGX="0.55909" LPOGY="0.19436" LPOGV="1" RPOGX="0.53758" RPOGY="0.00755" RPOGV="1" BPOGX="0.54834" BPOGY="0.10096" BPOGV="1" LPCX="0.32873" LPCY="0.72697" LPD="20.00856" LPS="1.07139" LPV="1" RPCX="0.57973" RPCY="0.72410" RPD="23.51247" RPS="1.07948" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00434" LPUPILV="1" REYEX="0.01972" REYEY="-0.04661" REYEZ="0.65414" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
