2025-06-12 10:52:10.470500
 REYEZ="0.67677" RPUPILD="0.00650" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="50" />
<REC FPOGX="0.77551" FPOGY="0.14734" FPOGS="2848.49243" FPOGD="0.17407" FPOGID="7176" FPOGV="1" LPOGX="0.78169" LPOGY="0.16937" LPOGV="1" RPOGX="0.79082" RPOGY="0.16178" RPOGV="1" BPOGX="0.78626" BPOGY="0.16558" BPOGV="1" LPCX="0.22732" LPCY="0.49477" LPD="29.99554" LPS="1.08766" LPV="1" RPCX="0.47534" RPCY="0.48207" RPD="31.66426" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00616" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00681" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77552" FPOGY="0.14693" FPOGS="2848.49243" FPOGD="0.18066" FPOGID="7176" FPOGV="1" LPOGX="0.77129" LPOGY="0.11153" LPOGV="1" RPOGX="0.77999" RPOGY="0.15982" RPOGV="1" BPOGX="0.77564" BPOGY="0.13567" BPOGV="1" LPCX="0.22718" LPCY="0.49490" LPD="29.97793" LPS="1.08766" LPV="1" RPCX="0.47514" RPCY="0.48209" RPD="31.77058" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00615" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00680" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77519" FPOGY="0.14652" FPOGS="2848.49243" FPOGD="0.18750" FPOGID="7176" FPOGV="1" LPOGX="0.76293" LPOGY="0.11528" LPOGV="1" RPOGX="0.76910" RPOGY="0.15489" RPOGV="1" BPOGX="0.76602" BPOGY="0.13508" BPOGV="1" LPCX="0.22715" LPCY="0.49485" LPD="30.03754" LPS="1.08766" LPV="1" RPCX="0.47511" RPCY="0.48206" RPD="31.77736" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00614" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00680" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77488" FPOGY="0.14614" FPOGS="2848.49243" FPOGD="0.19604" FPOGID="7176" FPOGV="1" LPOGX="0.76293" LPOGY="0.11528" LPOGV="1" RPOGX="0.76910" RPOGY="0.15489" RPOGV="1" BPOGX="0.76602" BPOGY="0.13508" BPOGV="1" LPCX="0.22713" LPCY="0.49488" LPD="30.03495" LPS="1.08766" LPV="1" RPCX="0.47511" RPCY="0.48206" RPD="31.77736" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00612" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00680" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77519" FPOGY="0.14594" FPOGS="2848.49243" FPOGD="0.20068" FPOGID="7176" FPOGV="1" LPOGX="0.77824" LPOGY="0.11493" LPOGV="1" RPOGX="0.79085" RPOGY="0.16485" RPOGV="1" BPOGX="0.78454" BPOGY="0.13989" BPOGV="1" LPCX="0.22697" LPCY="0.49491" LPD="30.06177" LPS="1.08766" LPV="1" RPCX="0.47490" RPCY="0.48214" RPD="31.84932" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00617" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00679" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77494" FPOGY="0.14541" FPOGS="2848.49243" FPOGD="0.20728" FPOGID="7176" FPOGV="1" LPOGX="0.74679" LPOGY="0.10546" LPOGV="1" RPOGX="0.78713" RPOGY="0.15265" RPOGV="1" BPOGX="0.76696" BPOGY="0.12905" BPOGV="1" LPCX="0.22621" LPCY="0.49543" LPD="30.04502" LPS="1.08766" LPV="1" RPCX="0.47421" RPCY="0.48253" RPD="32.06258" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00617" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00678" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77469" FPOGY="0.14491" FPOGS="2848.49243" FPOGD="0.21387" FPOGID="7176" FPOGV="1" LPOGX="0.74679" LPOGY="0.10546" LPOGV="1" RPOGX="0.78713" RPOGY="0.15265" RPOGV="1" BPOGX="0.76696" BPOGY="0.12905" BPOGV="1" LPCX="0.22602" LPCY="0.49550" LPD="29.98759" LPS="1.08766" LPV="1" RPCX="0.47388" RPCY="0.48258" RPD="32.32675" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00621" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00675" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77109" FPOGY="0.14928" FPOGS="2848.49243" FPOGD="0.22095" FPOGID="7176" FPOGV="1" LPOGX="0.62120" LPOGY="0.27500" LPOGV="1" RPOGX="0.68312" RPOGY="0.31155" RPOGV="1" BPOGX="0.65216" BPOGY="0.29327" BPOGV="1" LPCX="0.22333" LPCY="0.49766" LPD="29.57012" LPS="1.08766" LPV="1" RPCX="0.47075" RPCY="0.48450" RPD="33.65184" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00643" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00673" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.76593" FPOGY="0.15487" FPOGS="2848.49243" FPOGD="0.22754" FPOGID="7176" FPOGV="1" LPOGX="0.57914" LPOGY="0.34080" LPOGV="1" RPOGX="0.60145" RPOGY="0.34948" RPOGV="1" BPOGX="0.59029" BPOGY="0.34514" BPOGV="1" LPCX="0.22224" LPCY="0.49902" LPD="29.48634" LPS="1.08766" LPV="1" RPCX="0.46908" RPCY="0.48567" RPD="33.26464" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00642" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00676" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.73529" FPOGY="0.18977" FPOGS="2848.49243" FPOGD="0.22754" FPOGID="7176" FPOGV="0" LPOGX="0.57914" LPOGY="0.34080" LPOGV="1" RPOGX="0.60145" RPOGY="0.34948" RPOGV="1" BPOGX="0.59029" BPOGY="0.34514" BPOGV="1" LPCX="0.22188" LPCY="0.49943" LPD="29.55770" LPS="1.08766" LPV="1" RPCX="0.46875" RPCY="0.48592" RPD="33.06188" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00638" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00677" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
