2025-05-29 11:09:35.349042
YEY="-0.01931" REYEZ="0.64036" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.67121" FPOGY="0.41173" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.67121" LPOGY="0.41173" LPOGV="1" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.67121" BPOGY="0.41173" BPOGV="1" LPCX="0.32706" LPCY="0.57467" LPD="16.38993" LPS="0.89372" LPV="1" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00324" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="0" BKDUR="0.06689" BKPMIN="27" />
<REC FPOGX="0.67121" FPOGY="0.41173" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.67121" LPOGY="0.41173" LPOGV="1" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.67121" BPOGY="0.41173" BPOGV="1" LPCX="0.32706" LPCY="0.57457" LPD="16.45975" LPS="0.89372" LPV="1" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04102" LEYEY="-0.01552" LEYEZ="0.61964" LPUPILD="0.00329" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.63906" FPOGY="0.36743" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.65015" LPOGY="0.40037" LPOGV="1" RPOGX="0.49938" RPOGY="0.15730" RPOGV="1" BPOGX="0.57476" BPOGY="0.27884" BPOGV="1" LPCX="0.32745" LPCY="0.57469" LPD="16.26894" LPS="0.89372" LPV="1" RPCX="0.58069" RPCY="0.59067" RPD="16.54389" RPS="0.89372" RPV="1" LEYEX="-0.04102" LEYEY="-0.01552" LEYEZ="0.61964" LPUPILD="0.00326" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.60992" FPOGY="0.32628" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.65945" LPOGY="0.40673" LPOGV="1" RPOGX="0.50809" RPOGY="0.16982" RPOGV="1" BPOGX="0.58377" BPOGY="0.28827" BPOGV="1" LPCX="0.32752" LPCY="0.57464" LPD="16.28397" LPS="0.89372" LPV="1" RPCX="0.58071" RPCY="0.59044" RPD="16.39675" RPS="0.89372" RPV="1" LEYEX="-0.04102" LEYEY="-0.01552" LEYEZ="0.61964" LPUPILD="0.00323" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.59688" FPOGY="0.30830" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.65959" LPOGY="0.41095" LPOGV="1" RPOGX="0.50810" RPOGY="0.16968" RPOGV="1" BPOGX="0.58384" BPOGY="0.29031" BPOGV="1" LPCX="0.32775" LPCY="0.57479" LPD="16.10222" LPS="0.88806" LPV="1" RPCX="0.58066" RPCY="0.59058" RPD="16.40839" RPS="0.89385" RPV="1" LEYEX="-0.17688" LEYEY="-0.06846" LEYEZ="2.73280" LPUPILD="0.00336" LPUPILV="0" REYEX="0.01879" REYEY="-0.01857" REYEZ="0.61274" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.59390" FPOGY="0.30621" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.65203" LPOGY="0.40091" LPOGV="1" RPOGX="0.52385" RPOGY="0.20317" RPOGV="1" BPOGX="0.58794" BPOGY="0.30204" BPOGV="1" LPCX="0.32772" LPCY="0.57456" LPD="16.13517" LPS="0.88819" LPV="1" RPCX="0.58103" RPCY="0.59028" RPD="16.47741" RPS="0.89398" RPV="1" LEYEX="-0.17688" LEYEY="-0.06846" LEYEZ="2.73280" LPUPILD="0.00331" LPUPILV="0" REYEX="0.01879" REYEY="-0.01857" REYEZ="0.61274" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.59202" FPOGY="0.30838" FPOGS="3927.47363" FPOGD="0.02002" FPOGID="9824" FPOGV="1" LPOGX="0.66484" LPOGY="0.40619" LPOGV="1" RPOGX="0.50789" RPOGY="0.22361" RPOGV="1" BPOGX="0.58637" BPOGY="0.31490" BPOGV="1" LPCX="0.32785" LPCY="0.57458" LPD="16.40554" LPS="0.88832" LPV="1" RPCX="0.58103" RPCY="0.59059" RPD="16.72166" RPS="0.89411" RPV="1" LEYEX="-0.17688" LEYEY="-0.06846" LEYEZ="2.73280" LPUPILD="0.00331" LPUPILV="0" REYEX="0.01879" REYEY="-0.01857" REYEZ="0.61274" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.59084" FPOGY="0.31022" FPOGS="3927.47363" FPOGD="0.02661" FPOGID="9824" FPOGV="1" LPOGX="0.66484" LPOGY="0.40609" LPOGV="1" RPOGX="0.50747" RPOGY="0.22908" RPOGV="1" BPOGX="0.58615" BPOGY="0.31758" BPOGV="1" LPCX="0.32788" LPCY="0.57466" LPD="16.60353" LPS="0.88845" LPV="1" RPCX="0.58122" RPCY="0.59048" RPD="16.98014" RPS="0.88845" RPV="1" LEYEX="-0.04074" LEYEY="-0.01547" LEYEZ="0.61748" LPUPILD="0.00330" LPUPILV="1" REYEX="0.01879" REYEY="-0.01857" REYEZ="0.61274" RPUPILD="0.00364" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="27" />
