2025-06-04 15:51:12.303699
REYEZ="0.71933" RPUPILD="0.00576" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.55076" FPOGY="0.10214" FPOGS="6294.31592" FPOGD="0.21436" FPOGID="13306" FPOGV="1" LPOGX="0.59156" LPOGY="0.20253" LPOGV="1" RPOGX="0.55158" RPOGY="0.05046" RPOGV="1" BPOGX="0.57157" BPOGY="0.12650" BPOGV="1" LPCX="0.35628" LPCY="0.58148" LPD="24.44974" LPS="1.19200" LPV="1" RPCX="0.58636" RPCY="0.58254" RPD="26.03409" RPS="1.18152" RPV="1" LEYEX="-0.03749" LEYEY="-0.01826" LEYEZ="0.68591" LPUPILD="0.00534" LPUPILV="1" REYEX="0.02324" REYEY="-0.01922" REYEZ="0.70611" RPUPILD="0.00578" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55138" FPOGY="0.10321" FPOGS="6294.31592" FPOGD="0.22119" FPOGID="13306" FPOGV="1" LPOGX="0.59304" LPOGY="0.21741" LPOGV="1" RPOGX="0.55065" RPOGY="0.05939" RPOGV="1" BPOGX="0.57185" BPOGY="0.13840" BPOGV="1" LPCX="0.35586" LPCY="0.58123" LPD="23.45402" LPS="1.17128" LPV="1" RPCX="0.58663" RPCY="0.58232" RPD="25.04023" RPS="1.17128" RPV="1" LEYEX="-0.03858" LEYEY="-0.01911" LEYEZ="0.70194" LPUPILD="0.00536" LPUPILV="1" REYEX="0.02406" REYEY="-0.02038" REYEZ="0.73253" RPUPILD="0.00573" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55067" FPOGY="0.10426" FPOGS="6294.31592" FPOGD="0.22803" FPOGID="13306" FPOGV="1" LPOGX="0.53670" LPOGY="0.23045" LPOGV="1" RPOGX="0.51640" RPOGY="0.04935" RPOGV="1" BPOGX="0.52655" BPOGY="0.13990" BPOGV="1" LPCX="0.35524" LPCY="0.58195" LPD="23.10502" LPS="1.17128" LPV="1" RPCX="0.58594" RPCY="0.58364" RPD="25.89844" RPS="1.18176" RPV="1" LEYEX="-0.03858" LEYEY="-0.01911" LEYEZ="0.70194" LPUPILD="0.00542" LPUPILV="1" REYEX="0.02406" REYEY="-0.02038" REYEZ="0.73253" RPUPILD="0.00576" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55045" FPOGY="0.10495" FPOGS="6294.31592" FPOGD="0.23535" FPOGID="13306" FPOGV="1" LPOGX="0.58888" LPOGY="0.20435" LPOGV="1" RPOGX="0.49618" RPOGY="0.05399" RPOGV="1" BPOGX="0.54253" BPOGY="0.12917" BPOGV="1" LPCX="0.35506" LPCY="0.58258" LPD="23.51135" LPS="1.18176" LPV="1" RPCX="0.58578" RPCY="0.58407" RPD="25.84795" RPS="1.19224" RPV="1" LEYEX="-0.03858" LEYEY="-0.01911" LEYEZ="0.70194" LPUPILD="0.00545" LPUPILV="1" REYEX="0.02406" REYEY="-0.02038" REYEZ="0.73253" RPUPILD="0.00579" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55023" FPOGY="0.10538" FPOGS="6294.31592" FPOGD="0.24072" FPOGID="13306" FPOGV="1" LPOGX="0.58811" LPOGY="0.19678" LPOGV="1" RPOGX="0.49667" RPOGY="0.04491" RPOGV="1" BPOGX="0.54239" BPOGY="0.12084" BPOGV="1" LPCX="0.35493" LPCY="0.58290" LPD="23.69447" LPS="1.19224" LPV="1" RPCX="0.58595" RPCY="0.58411" RPD="25.28082" RPS="1.20271" RPV="1" LEYEX="-0.03905" LEYEY="-0.01950" LEYEZ="0.70668" LPUPILD="0.00537" LPUPILV="1" REYEX="0.02404" REYEY="-0.02083" REYEZ="0.73859" RPUPILD="0.00571" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55040" FPOGY="0.10525" FPOGS="6294.31592" FPOGD="0.24756" FPOGID="13306" FPOGV="1" LPOGX="0.58834" LPOGY="0.15824" LPOGV="1" RPOGX="0.52529" RPOGY="0.04236" RPOGV="1" BPOGX="0.55682" BPOGY="0.10030" BPOGV="1" LPCX="0.35433" LPCY="0.58357" LPD="23.74352" LPS="1.20271" LPV="1" RPCX="0.58530" RPCY="0.58521" RPD="25.93599" RPS="1.20271" RPV="1" LEYEX="-0.03905" LEYEY="-0.01950" LEYEZ="0.70668" LPUPILD="0.00539" LPUPILV="1" REYEX="0.02404" REYEY="-0.02083" REYEZ="0.73859" RPUPILD="0.00575" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54995" FPOGY="0.10565" FPOGS="6294.31592" FPOGD="0.25391" FPOGID="13306" FPOGV="1" LPOGX="0.56116" LPOGY="0.19536" LPOGV="1" RPOGX="0.50414" RPOGY="0.04668" RPOGV="1" BPOGX="0.53265" BPOGY="0.12102" BPOGV="1" LPCX="0.35447" LPCY="0.58419" LPD="24.78740" LPS="1.20271" LPV="1" RPCX="0.58502" RPCY="0.58559" RPD="25.91497" RPS="1.20271" RPV="1" LEYEX="-0.03905" LEYEY="-0.01950" LEYEZ="0.70668" LPUPILD="0.00534" LPUPILV="1" REYEX="0.02404" REYEY="-0.02083" REYEZ="0.73859" RPUPILD="0.00579" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54951" FPOGY="0.10583" FPOGS="6294.31592" FPOGD="0.26074" FPOGID="13306" FPOGV="1" LPOGX="0.56019" LPOGY="0.18807" LPOGV="1" RPOGX="0.50468" RPOGY="0.03783" RPOGV="1" BPOGX="0.53244" BPOGY="0.11295" BPOGV="1" LPCX="0.35381" LPCY="0.58393" LPD="23.09170" LPS="1.21295" LPV="1" RPCX="0.58523" RPCY="0.58545" RPD="25.19023" RPS="1.21295" RPV="1" LEYEX="-0.04103" LEYEY="-0.02063" LEYEZ="0.73741" LPUPILD="0.00543" LPUPILV="1" REYEX="0.02345" REYEY="-0.02089" REYEZ="0.72732" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54903" FPOGY="0.10468" FPOGS="6294.31592" FPOGD="0.26807" FPOGID="13306" FPOGV="1" LPOGX="0.54078" LPOGY="0.11674" LPOGV="1" RPOGX="0.51915" RPOGY="-0.00002" RPOGV="1" BPOGX="0.52996" BPOGY="0.05836" BPOGV="1" LPCX="0.35316" LPCY="0.58493" LPD="23.87757" LPS="1.22319" LPV="1" RPCX="0.58436" RPCY="0.58656" RPD="25.84950" RPS="1.22319" RPV="1" LEYEX="-0.04103" LEYEY="-0.02063" LEYEZ="0.73741" LPUPILD="0.00541" LPUPILV="1" REYEX="0.02345" REYEY="-0.02089" REYEZ="0.72732" RPUPILD="0.00576" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54929" FPOGY="0.10506" FPOGS="6294.31592" FPOGD="0.27441" FPOGID="13306" FPOGV="1" LPOGX="0.58927" LPOGY="0.18410" LPOGV="1" RPOGX="0.53037" RPOGY="0.05785" RPOGV="1" BPOGX="0.55982" BPOGY="0.12097" BPOGV="1" LPCX="0.35303" LPCY="0.58526" LPD="24.05612" LPS="1.23343" LPV="1" RPCX="0.58415" RPCY="0.58700" RPD="25.94219" RPS="1.23343" RPV="1" LEYEX="-0.04103" LEYEY="-0.02063" LEYEZ="0.73741" LPUPILD="0.00536" LPUPILV="1" REYEX="0.02345" REYEY="-0.02089" REYEZ="0.72732" RPUPILD="0.00576" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
