2025-05-22 11:29:30.322149
-0.00225" LEYEZ="0.68092" LPUPILD="0.00685" LPUPILV="1" REYEX="0.04246" REYEY="-0.00552" REYEZ="0.67569" RPUPILD="0.00644" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.45008" FPOGY="0.39310" FPOGS="1429.99683" FPOGD="0.38220" FPOGID="1910" FPOGV="0" LPOGX="0.36634" LPOGY="0.30663" LPOGV="1" RPOGX="0.35254" RPOGY="0.24174" RPOGV="1" BPOGX="0.35944" BPOGY="0.27419" BPOGV="1" LPCX="0.40556" LPCY="0.49404" LPD="30.77041" LPS="1.10645" LPV="1" RPCX="0.64931" RPCY="0.50758" RPD="30.39231" RPS="1.09729" RPV="1" LEYEX="-0.02424" LEYEY="-0.00021" LEYEZ="0.68796" LPUPILD="0.00659" LPUPILV="1" REYEX="0.00000" REYEY="0.00000" REYEZ="0.00000" RPUPILD="0.00654" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.35899" FPOGY="0.26204" FPOGS="1430.40662" FPOGD="0.05286" FPOGID="1911" FPOGV="1" LPOGX="0.37750" LPOGY="0.29796" LPOGV="1" RPOGX="0.33029" RPOGY="0.19733" RPOGV="1" BPOGX="0.35389" BPOGY="0.24765" BPOGV="1" LPCX="0.40659" LPCY="0.48920" LPD="30.86357" LPS="1.14705" LPV="1" RPCX="0.65073" RPCY="0.50346" RPD="30.70214" RPS="1.12741" RPV="1" LEYEX="-0.02375" LEYEY="0.00102" LEYEZ="0.68260" LPUPILD="0.00663" LPUPILV="1" REYEX="0.04036" REYEY="-0.00208" REYEZ="0.69191" RPUPILD="0.00656" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.35966" FPOGY="0.26205" FPOGS="1430.40662" FPOGD="0.05994" FPOGID="1911" FPOGV="1" LPOGX="0.38458" LPOGY="0.27172" LPOGV="1" RPOGX="0.34684" RPOGY="0.25265" RPOGV="1" BPOGX="0.36571" BPOGY="0.26219" BPOGV="1" LPCX="0.40663" LPCY="0.48899" LPD="30.95672" LPS="1.12741" LPV="1" RPCX="0.65077" RPCY="0.50324" RPD="30.58719" RPS="1.10776" RPV="1" LEYEX="-0.02375" LEYEY="0.00102" LEYEZ="0.68260" LPUPILD="0.00662" LPUPILV="1" REYEX="0.04036" REYEY="-0.00208" REYEZ="0.69191" RPUPILD="0.00656" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36051" FPOGY="0.26335" FPOGS="1430.40662" FPOGD="0.06616" FPOGID="1911" FPOGV="1" LPOGX="0.38951" LPOGY="0.28482" LPOGV="1" RPOGX="0.34834" RPOGY="0.26769" RPOGV="1" BPOGX="0.36892" BPOGY="0.27625" BPOGV="1" LPCX="0.40666" LPCY="0.48894" LPD="30.88143" LPS="1.10776" LPV="1" RPCX="0.65080" RPCY="0.50322" RPD="30.56344" RPS="1.08812" RPV="1" LEYEX="-0.02375" LEYEY="0.00123" LEYEZ="0.68260" LPUPILD="0.00663" LPUPILV="1" REYEX="0.04036" REYEY="-0.00192" REYEZ="0.69191" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36173" FPOGY="0.26630" FPOGS="1430.40662" FPOGD="0.07288" FPOGID="1911" FPOGV="1" LPOGX="0.41686" LPOGY="0.30787" LPOGV="1" RPOGX="0.33362" RPOGY="0.28976" RPOGV="1" BPOGX="0.37524" BPOGY="0.29881" BPOGV="1" LPCX="0.40692" LPCY="0.48841" LPD="30.86941" LPS="1.08812" LPV="1" RPCX="0.65110" RPCY="0.50289" RPD="30.61310" RPS="1.08812" RPV="1" LEYEX="-0.02375" LEYEY="0.00123" LEYEZ="0.68260" LPUPILD="0.00665" LPUPILV="1" REYEX="0.04036" REYEY="-0.00192" REYEZ="0.69191" RPUPILD="0.00657" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36232" FPOGY="0.26901" FPOGS="1430.40662" FPOGD="0.07959" FPOGID="1911" FPOGV="1" LPOGX="0.39533" LPOGY="0.33004" LPOGV="1" RPOGX="0.34349" RPOGY="0.27289" RPOGV="1" BPOGX="0.36941" BPOGY="0.30147" BPOGV="1" LPCX="0.40701" LPCY="0.48824" LPD="30.83119" LPS="1.08812" LPV="1" RPCX="0.65122" RPCY="0.50281" RPD="30.72874" RPS="1.08812" RPV="1" LEYEX="-0.02375" LEYEY="0.00123" LEYEZ="0.68260" LPUPILD="0.00664" LPUPILV="1" REYEX="0.04036" REYEY="-0.00192" REYEZ="0.69191" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36280" FPOGY="0.27108" FPOGS="1430.40662" FPOGD="0.08630" FPOGID="1911" FPOGV="1" LPOGX="0.39533" LPOGY="0.33004" LPOGV="1" RPOGX="0.34275" RPOGY="0.26591" RPOGV="1" BPOGX="0.36904" BPOGY="0.29798" BPOGV="1" LPCX="0.40702" LPCY="0.48820" LPD="30.88474" LPS="1.08812" LPV="1" RPCX="0.65121" RPCY="0.50278" RPD="30.75916" RPS="1.09729" RPV="1" LEYEX="-0.02356" LEYEY="0.00123" LEYEZ="0.68297" LPUPILD="0.00663" LPUPILV="1" REYEX="0.04061" REYEY="-0.00182" REYEZ="0.69338" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36234" FPOGY="0.27044" FPOGS="1430.40662" FPOGD="0.09302" FPOGID="1911" FPOGV="1" LPOGX="0.38123" LPOGY="0.29037" LPOGV="1" RPOGX="0.33050" RPOGY="0.23279" RPOGV="1" BPOGX="0.35586" BPOGY="0.26158" BPOGV="1" LPCX="0.40728" LPCY="0.48791" LPD="31.01267" LPS="1.09729" LPV="1" RPCX="0.65146" RPCY="0.50257" RPD="30.75605" RPS="1.10645" RPV="1" LEYEX="-0.02356" LEYEY="0.00123" LEYEZ="0.68297" LPUPILD="0.00664" LPUPILV="1" REYEX="0.04061" REYEY="-0.00182" REYEZ="0.69338" RPUPILD="0.00659" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36263" FPOGY="0.26889" FPOGS="1430.40662" FPOGD="0.09961" FPOGID="1911" FPOGV="1" LPOGX="0.39139" LPOGY="0.27480" LPOGV="1" RPOGX="0.34238" RPOGY="0.21626" RPOGV="1" BPOGX="0.36688" BPOGY="0.24553" BPOGV="1" LPCX="0.40741" LPCY="0.48769" LPD="30.93955" LPS="1.10645" LPV="1" RPCX="0.65159" RPCY="0.50251" RPD="30.75710" RPS="1.11562" RPV="1" LEYEX="-0.02356" LEYEY="0.00123" LEYEZ="0.68297" LPUPILD="0.00664" LPUPILV="1" REYEX="0.04061" REYEY="-0.00182" REYEZ="0.69338" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36279" FPOGY="0.26712" FPOGS="1430.40662" FPOGD="0.10657" FPOGID="1911" FPOGV="1" LPOGX="0.38910" LPOGY="0.26860" LPOGV="1" RPOGX="0.34166" RPOGY="0.20899" RPOGV="1" BPOGX="0.36538" BPOGY="0.23879" BPOGV="1" LPCX="0.40740" LPCY="0.48765" LPD="30.88640" LPS="1.11562" LPV="1" RPCX="0.65165" RPCY="0.50248" RPD="30.72616" RPS="1.12479" RPV="1" LEYEX="-0.02337" LEYEY="0.00142" LEYEZ="0.67752" LPUPILD="0.00663" LPUPILV="1" REYEX="0.04178" REYEY="-0.00187" REYEZ="0.71167" RPUPILD="0.00657" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36329" FPOGY="0.26773" FPOGS="1430.40662" FPOGD="0.11304" FPOGID="1911" FPOGV="1" LPOGX="0.41089" LPOGY="0.29732" LPOGV="1" RPOGX="0.33280" RPOGY="0.25894" RPOGV="1" BPOGX="0.37184" BPOGY="0.27813" BPOGV="1" LPCX="0.40770" LPCY="0.48751" LPD="31.02820" LPS="1.12479" LPV="1" RPCX="0.65191" RPCY="0.50240" RPD="30.56663" RPS="1.12479" RPV="1" LEYEX="-0.02337" LEYEY="0.00142" LEYEZ="0.67752" LPUPILD="0.00665" LPUPILV="1" REYEX="0.04178" REYEY="-0.00187" REYEZ="0.71167" RPUPILD="0.00656" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36358" FPOGY="0.26786" FPOGS="1430.40662" FPOGD="0.11963" FPOGID="1911" FPOGV="1" LPOGX="0.39030" LPOGY="0.27838" LPOGV="1" RPOGX="0.34744" RPOGY="0.26205" RPOGV="1" BPOGX="0.36887" BPOGY="0.27022" BPOGV="1" LPCX="0.40784" LPCY="0.48737" LPD="31.09666" LPS="1.12479" LPV="1" RPCX="0.65204" RPCY="0.50234" RPD="30.59451" RPS="1.12479" RPV="1" LEYEX="-0.02337" LEYEY="0.00142" LEYEZ="0.67752" LPUPILD="0.00663" LPUPILV="1" REYEX="0.04178" REYEY="-0.00187" REYEZ="0.71167" RPUPILD="0.00661" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36387" FPOGY="0.26815" FPOGS="1430.40662" FPOGD="0.12671" FPOGID="1911" FPOGV="1" LPOGX="0.39030" LPOGY="0.27838" LPOGV="1" RPOGX="0.34813" RPOGY="0.26889" RPOGV="1" BPOGX="0.36921" BPOGY="0.27363" BPOGV="1" LPCX="0.40785" LPCY="0.48735" LPD="31.00836" LPS="1.12479" LPV="1" RPCX="0.65204" RPCY="0.50234" RPD="30.59451" RPS="1.11562" RPV="1" LEYEX="-0.02343" LEYEY="0.00144" LEYEZ="0.68524" LPUPILD="0.00665" LPUPILV="1" REYEX="0.03975" REYEY="-0.00172" REYEZ="0.67447" RPUPILD="0.00661" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36358" FPOGY="0.26772" FPOGS="1430.40662" FPOGD="0.13354" FPOGID="1911" FPOGV="1" LPOGX="0.38035" LPOGY="0.26088" LPOGV="1" RPOGX="0.33522" RPOGY="0.25742" RPOGV="1" BPOGX="0.35778" BPOGY="0.25915" BPOGV="1" LPCX="0.40810" LPCY="0.48728" LPD="31.03878" LPS="1.11562" LPV="1" RPCX="0.65227" RPCY="0.50238" RPD="30.86960" RPS="1.10645" RPV="1" LEYEX="-0.02343" LEYEY="0.00144" LEYEZ="0.68524" LPUPILD="0.00665" LPUPILV="1" REYEX="0.03975" REYEY="-0.00172" REYEZ="0.67447" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36398" FPOGY="0.26898" FPOGS="1430.40662" FPOGD="0.13977" FPOGID="1911" FPOGV="1" LPOGX="0.39057" LPOGY="0.32252" LPOGV="1" RPOGX="0.35428" RPOGY="0.26852" RPOGV="1" BPOGX="0.37242" BPOGY="0.29552" BPOGV="1" LPCX="0.40825" LPCY="0.48716" LPD="30.94819" LPS="1.10645" LPV="1" RPCX="0.65249" RPCY="0.50227" RPD="30.82316" RPS="1.09729" RPV="1" LEYEX="-0.02343" LEYEY="0.00144" LEYEZ="0.68524" LPUPILD="0.00664" LPUPILV="1" REYEX="0.03975" REYEY="-0.00172" REYEZ="0.67447" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36440" FPOGY="0.27026" FPOGS="1430.40662" FPOGD="0.14746" FPOGID="1911" FPOGV="1" LPOGX="0.39287" LPOGY="0.32836" LPOGV="1" RPOGX="0.35428" RPOGY="0.26852" RPOGV="1" BPOGX="0.37358" BPOGY="0.29844" BPOGV="1" LPCX="0.40826" LPCY="0.48713" LPD="30.90201" LPS="1.09729" LPV="1" RPCX="0.65248" RPCY="0.50230" RPD="30.79496" RPS="1.09729" RPV="1" LEYEX="-0.02343" LEYEY="0.00144" LEYEZ="0.68524" LPUPILD="0.00664" LPUPILV="1" REYEX="0.04168" REYEY="-0.00180" REYEZ="0.70625" RPUPILD="0.00657" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36502" FPOGY="0.27099" FPOGS="1430.40662" FPOGD="0.15332" FPOGID="1911" FPOGV="1" LPOGX="0.42147" LPOGY="0.31275" LPOGV="1" RPOGX="0.33754" RPOGY="0.26263" RPOGV="1" BPOGX="0.37950" BPOGY="0.28769" BPOGV="1" LPCX="0.40851" LPCY="0.48703" LPD="31.27615" LPS="1.09729" LPV="1" RPCX="0.65275" RPCY="0.50223" RPD="30.73252" RPS="1.10645" RPV="1" LEYEX="-0.02343" LEYEY="0.00144" LEYEZ="0.68524" LPUPILD="0.00663" LPUPILV="1" REYEX="0.04168" REYEY="-0.00180" REYEZ="0.70625" RPUPILD="0.00659" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36457" FPOGY="0.27086" FPOGS="1430.40662" FPOGD="0.16016" FPOGID="1911" FPOGV="1" LPOGX="0.39247" LPOGY="0.29035" LPOGV="1" RPOGX="0.31501" RPOGY="0.24510" RPOGV="1" BPOGX="0.35374" BPOGY="0.26772" BPOGV="1" LPCX="0.40865" LPCY="0.48691" LPD="31.00166" LPS="1.10645" LPV="1" RPCX="0.65286" RPCY="0.50230" RPD="30.61258" RPS="1.11562" RPV="1" LEYEX="-0.02343" LEYEY="0.00144" LEYEZ="0.68524" LPUPILD="0.00668" LPUPILV="1" REYEX="0.04168" REYEY="-0.00180" REYEZ="0.70625" RPUPILD="0.00659" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36411" FPOGY="0.27062" FPOGS="1430.40662" FPOGD="0.16675" FPOGID="1911" FPOGV="1" LPOGX="0.39019" LPOGY="0.28426" LPOGV="1" RPOGX="0.31501" RPOGY="0.24510" RPOGV="1" BPOGX="0.35260" BPOGY="0.26468" BPOGV="1" LPCX="0.40865" LPCY="0.48692" LPD="31.01897" LPS="1.11562" LPV="1" RPCX="0.65286" RPCY="0.50230" RPD="30.61258" RPS="1.11562" RPV="1" LEYEX="-0.02299" LEYEY="0.00163" LEYEZ="0.67845" LPUPILD="0.00666" LPUPILV="1" REYEX="0.04060" REYEY="-0.00175" REYEZ="0.68537" RPUPILD="0.00659" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36393" FPOGY="0.27002" FPOGS="1430.40662" FPOGD="0.17346" FPOGID="1911" FPOGV="1" LPOGX="0.37955" LPOGY="0.26655" LPOGV="1" RPOGX="0.33879" RPOGY="0.24198" RPOGV="1" BPOGX="0.35917" BPOGY="0.25426" BPOGV="1" LPCX="0.40883" LPCY="0.48670" LPD="31.05365" LPS="1.11562" LPV="1" RPCX="0.65312" RPCY="0.50216" RPD="30.69357" RPS="1.10645" RPV="1" LEYEX="-0.02299" LEYEY="0.00163" LEYEZ="0.67845" LPUPILD="0.00666" LPUPILV="1" REYEX="0.04060" REYEY="-0.00175" REYEZ="0.68537" RPUPILD="0.00656" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36415" FPOGY="0.27070" FPOGS="1430.40662" FPOGD="0.18042" FPOGID="1911" FPOGV="1" LPOGX="0.39046" LPOGY="0.26504" LPOGV="1" RPOGX="0.34980" RPOGY="0.31323" RPOGV="1" BPOGX="0.37013" BPOGY="0.28914" BPOGV="1" LPCX="0.40892" LPCY="0.48666" LPD="31.10484" LPS="1.10645" LPV="1" RPCX="0.65322" RPCY="0.50222" RPD="30.89435" RPS="1.09729" RPV="1" LEYEX="-0.02299" LEYEY="0.00163" LEYEZ="0.67845" LPUPILD="0.00664" LPUPILV="1" REYEX="0.04060" REYEY="-0.00175" REYEZ="0.68537" RPUPILD="0.00659" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36440" FPOGY="0.27144" FPOGS="1430.40662" FPOGD="0.18677" FPOGID="1911" FPOGV="1" LPOGX="0.39275" LPOGY="0.27132" LPOGV="1" RPOGX="0.34980" RPOGY="0.31323" RPOGV="1" BPOGX="0.37127" BPOGY="0.29228" BPOGV="1" LPCX="0.40892" LPCY="0.48666" LPD="31.07614" LPS="1.09729" LPV="1" RPCX="0.65323" RPCY="0.50223" RPD="30.86197" RPS="1.09729" RPV="1" LEYEX="-0.02299" LEYEY="0.00163" LEYEZ="0.67845" LPUPILD="0.00664" LPUPILV="1" REYEX="0.04151" REYEY="-0.00178" REYEZ="0.69992" RPUPILD="0.00659" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36447" FPOGY="0.27073" FPOGS="1430.40662" FPOGD="0.19458" FPOGID="1911" FPOGV="1" LPOGX="0.41002" LPOGY="0.25800" LPOGV="1" RPOGX="0.32318" RPOGY="0.24186" RPOGV="1" BPOGX="0.36660" BPOGY="0.24993" BPOGV="1" LPCX="0.40919" LPCY="0.48659" LPD="31.14832" LPS="1.09729" LPV="1" RPCX="0.65337" RPCY="0.50219" RPD="30.88276" RPS="1.10646" RPV="1" LEYEX="-0.02299" LEYEY="0.00163" LEYEZ="0.67845" LPUPILD="0.00667" LPUPILV="1" REYEX="0.04151" REYEY="-0.00178" REYEZ="0.69992" RPUPILD="0.00656" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.36468" FPOGY="0.27081" FPOGS="1430.40662" FPOGD="0.19995" FPOGID="1911" FPOGV="1" LPOGX="0.40840" LPOGY="0.24558" LPOGV="1" RPOGX="0.33353" RPOGY="0.30091" RPOGV="1" BPOGX="0.37097" BPOGY="0.27324" BPOGV="1" LPCX="0.40924" LPCY="0.48659" LPD="31.11548" LPS="1.10646" LPV="1" RPCX="0.65350" RPCY="0.50221" RPD="30.96988" RPS="1.11562" RPV="1" LEYEX="-0.02299" LEYEY="0.00163" LEYEZ="0.67845" LPUPILD="0.00666" LPUPILV="1" REYEX="0.04151" REYEY="-0.00178" REYEZ="0.69992" RPUPILD="0.00657" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
