2025-05-27 10:40:59.366112
YEY="-0.04019" REYEZ="0.63411" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.52212" FPOGY="0.97560" FPOGS="1779.29321" FPOGD="0.25464" FPOGID="4596" FPOGV="0" LPOGX="0.54128" LPOGY="0.59854" LPOGV="1" RPOGX="0.62840" RPOGY="0.50205" RPOGV="1" BPOGX="0.58484" BPOGY="0.55030" BPOGV="1" LPCX="0.20878" LPCY="0.67551" LPD="25.35728" LPS="1.02612" LPV="1" RPCX="0.46629" RPCY="0.70812" RPD="22.84585" RPS="1.04140" RPV="1" LEYEX="-0.07343" LEYEY="-0.03680" LEYEZ="0.65945" LPUPILD="0.00537" LPUPILV="1" REYEX="-0.00931" REYEY="-0.04511" REYEZ="0.68195" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.55289" FPOGY="0.76299" FPOGS="1779.29321" FPOGD="0.25464" FPOGID="4596" FPOGV="0" LPOGX="0.54018" LPOGY="0.59481" LPOGV="1" RPOGX="0.62715" RPOGY="0.50597" RPOGV="1" BPOGX="0.58367" BPOGY="0.55039" BPOGV="1" LPCX="0.20890" LPCY="0.67324" LPD="25.33530" LPS="1.03437" LPV="1" RPCX="0.46574" RPCY="0.70619" RPD="23.65154" RPS="1.03437" RPV="1" LEYEX="-0.07125" LEYEY="-0.03462" LEYEZ="0.64119" LPUPILD="0.00503" LPUPILV="1" REYEX="-0.00908" REYEY="-0.04150" REYEZ="0.64415" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.56054" FPOGY="0.62932" FPOGS="1779.29321" FPOGD="0.25464" FPOGID="4596" FPOGV="0" LPOGX="0.52054" LPOGY="0.36627" LPOGV="1" RPOGX="0.63115" RPOGY="0.35765" RPOGV="1" BPOGX="0.57584" BPOGY="0.36196" BPOGV="1" LPCX="0.20852" LPCY="0.66932" LPD="23.58452" LPS="1.02734" LPV="1" RPCX="0.46555" RPCY="0.70313" RPD="22.55648" RPS="1.01207" RPV="1" LEYEX="-0.07125" LEYEY="-0.03462" LEYEZ="0.64119" LPUPILD="0.00495" LPUPILV="1" REYEX="-0.00908" REYEY="-0.04150" REYEZ="0.64415" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.58190" FPOGY="0.43354" FPOGS="1779.29321" FPOGD="0.25464" FPOGID="4596" FPOGV="0" LPOGX="0.55489" LPOGY="0.43921" LPOGV="1" RPOGX="0.61748" RPOGY="0.33732" RPOGV="1" BPOGX="0.58619" BPOGY="0.38826" BPOGV="1" LPCX="0.20829" LPCY="0.66880" LPD="22.59522" LPS="1.00504" LPV="1" RPCX="0.46535" RPCY="0.70288" RPD="22.73123" RPS="0.98976" RPV="1" LEYEX="-0.07125" LEYEY="-0.03462" LEYEZ="0.64119" LPUPILD="0.00500" LPUPILV="1" REYEX="-0.00908" REYEY="-0.04150" REYEZ="0.64415" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.58451" FPOGY="0.41325" FPOGS="1779.29321" FPOGD="0.25464" FPOGID="4596" FPOGV="0" LPOGX="0.55674" LPOGY="0.44862" LPOGV="1" RPOGX="0.61748" RPOGY="0.33732" RPOGV="1" BPOGX="0.58711" BPOGY="0.39297" BPOGV="1" LPCX="0.20822" LPCY="0.66832" LPD="23.50092" LPS="0.98976" LPV="1" RPCX="0.46527" RPCY="0.70229" RPD="22.71465" RPS="0.98976" RPV="1" LEYEX="-0.07288" LEYEY="-0.03471" LEYEZ="0.65280" LPUPILD="0.00501" LPUPILV="1" REYEX="-0.00978" REYEY="-0.04377" REYEZ="0.68657" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.58066" FPOGY="0.41745" FPOGS="1779.29321" FPOGD="0.25464" FPOGID="4596" FPOGV="0" LPOGX="0.54822" LPOGY="0.47997" LPOGV="1" RPOGX="0.59774" RPOGY="0.37173" RPOGV="1" BPOGX="0.57298" BPOGY="0.42585" BPOGV="1" LPCX="0.20745" LPCY="0.66816" LPD="22.80891" LPS="0.99679" LPV="1" RPCX="0.46513" RPCY="0.70185" RPD="22.50631" RPS="1.01207" RPV="1" LEYEX="-0.07288" LEYEY="-0.03471" LEYEZ="0.65280" LPUPILD="0.00498" LPUPILV="1" REYEX="-0.00978" REYEY="-0.04377" REYEZ="0.68657" RPUPILD="0.00466" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.58060" FPOGY="0.42775" FPOGS="1779.57434" FPOGD="0.01990" FPOGID="4597" FPOGV="1" LPOGX="0.57536" LPOGY="0.50550" LPOGV="1" RPOGX="0.58548" RPOGY="0.41182" RPOGV="1" BPOGX="0.58042" BPOGY="0.45866" BPOGV="1" LPCX="0.20725" LPCY="0.66766" LPD="22.59670" LPS="1.01909" LPV="1" RPCX="0.46498" RPCY="0.70157" RPD="22.30475" RPS="1.03437" RPV="1" LEYEX="-0.07288" LEYEY="-0.03471" LEYEZ="0.65280" LPUPILD="0.00496" LPUPILV="1" REYEX="-0.00978" REYEY="-0.04377" REYEZ="0.68657" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.58051" FPOGY="0.43263" FPOGS="1779.57434" FPOGD="0.02747" FPOGID="4597" FPOGV="1" LPOGX="0.57382" LPOGY="0.49715" LPOGV="1" RPOGX="0.58647" RPOGY="0.40716" RPOGV="1" BPOGX="0.58015" BPOGY="0.45215" BPOGV="1" LPCX="0.20689" LPCY="0.66713" LPD="22.66635" LPS="1.03437" LPV="1" RPCX="0.46496" RPCY="0.70128" RPD="21.95847" RPS="1.04156" RPV="1" LEYEX="-0.07241" LEYEY="-0.03404" LEYEZ="0.64558" LPUPILD="0.00499" LPUPILV="1" REYEX="-0.00956" REYEY="-0.04194" REYEZ="0.66093" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.58273" FPOGY="0.42401" FPOGS="1779.57434" FPOGD="0.03455" FPOGID="4597" FPOGV="1" LPOGX="0.58396" LPOGY="0.45433" LPOGV="1" RPOGX="0.60368" RPOGY="0.30748" RPOGV="1" BPOGX="0.59382" BPOGY="0.38091" BPOGV="1" LPCX="0.20641" LPCY="0.66619" LPD="23.25437" LPS="1.03453" LPV="1" RPCX="0.46448" RPCY="0.70035" RPD="22.23866" RPS="1.02645" RPV="1" LEYEX="-0.07241" LEYEY="-0.03404" LEYEZ="0.64558" LPUPILD="0.00497" LPUPILV="1" REYEX="-0.00956" REYEY="-0.04194" REYEZ="0.66093" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.58003" FPOGY="0.42542" FPOGS="1779.57434" FPOGD="0.04041" FPOGID="4597" FPOGV="1" LPOGX="0.54831" LPOGY="0.47245" LPOGV="1" RPOGX="0.57938" RPOGY="0.39526" RPOGV="1" BPOGX="0.56385" BPOGY="0.43385" BPOGV="1" LPCX="0.20608" LPCY="0.66606" LPD="22.58414" LPS="1.01942" LPV="1" RPCX="0.46430" RPCY="0.70017" RPD="21.94128" RPS="1.01133" RPV="1" LEYEX="-0.07241" LEYEY="-0.03404" LEYEZ="0.64558" LPUPILD="0.00509" LPUPILV="1" REYEX="-0.00956" REYEY="-0.04194" REYEZ="0.66093" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
