2025-05-29 12:58:46.974189
"0.64200" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54802" FPOGY="0.19047" FPOGS="264.84412" FPOGD="0.15402" FPOGID="826" FPOGV="1" LPOGX="0.63680" LPOGY="0.17655" LPOGV="1" RPOGX="0.47175" RPOGY="0.20119" RPOGV="1" BPOGX="0.55428" BPOGY="0.18887" BPOGV="1" LPCX="0.28548" LPCY="0.49747" LPD="29.44569" LPS="1.02359" LPV="1" RPCX="0.56046" RPCY="0.48854" RPD="27.74371" RPS="1.01640" RPV="1" LEYEX="-0.05376" LEYEY="-0.00083" LEYEZ="0.65483" LPUPILD="0.00569" LPUPILV="1" REYEX="0.01478" REYEY="0.00096" REYEZ="0.64003" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54797" FPOGY="0.19019" FPOGS="264.84412" FPOGD="0.16113" FPOGID="826" FPOGV="1" LPOGX="0.63418" LPOGY="0.17212" LPOGV="1" RPOGX="0.45955" RPOGY="0.19481" RPOGV="1" BPOGX="0.54687" BPOGY="0.18347" BPOGV="1" LPCX="0.28545" LPCY="0.49656" LPD="29.33155" LPS="1.01640" LPV="1" RPCX="0.56042" RPCY="0.48769" RPD="27.63603" RPS="1.00921" RPV="1" LEYEX="-0.05376" LEYEY="-0.00083" LEYEZ="0.65483" LPUPILD="0.00572" LPUPILV="1" REYEX="0.01478" REYEY="0.00096" REYEZ="0.64003" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54786" FPOGY="0.19120" FPOGS="264.84412" FPOGD="0.16751" FPOGID="826" FPOGV="1" LPOGX="0.63117" LPOGY="0.24002" LPOGV="1" RPOGX="0.45899" RPOGY="0.19274" RPOGV="1" BPOGX="0.54508" BPOGY="0.21638" BPOGV="1" LPCX="0.28543" LPCY="0.49599" LPD="29.26297" LPS="1.00921" LPV="1" RPCX="0.56036" RPCY="0.48716" RPD="27.77390" RPS="1.00202" RPV="1" LEYEX="-0.05376" LEYEY="-0.00083" LEYEZ="0.65483" LPUPILD="0.00574" LPUPILV="1" REYEX="0.01478" REYEY="0.00096" REYEZ="0.64003" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54776" FPOGY="0.19224" FPOGS="264.84412" FPOGD="0.17416" FPOGID="826" FPOGV="1" LPOGX="0.63151" LPOGY="0.24591" LPOGV="1" RPOGX="0.45899" RPOGY="0.19274" RPOGV="1" BPOGX="0.54525" BPOGY="0.21933" BPOGV="1" LPCX="0.28544" LPCY="0.49594" LPD="29.27655" LPS="1.00202" LPV="1" RPCX="0.56031" RPCY="0.48701" RPD="27.93643" RPS="1.00202" RPV="1" LEYEX="-0.05407" LEYEY="-0.00059" LEYEZ="0.65854" LPUPILD="0.00573" LPUPILV="1" REYEX="0.01503" REYEY="0.00132" REYEZ="0.65307" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54749" FPOGY="0.19269" FPOGS="264.84412" FPOGD="0.18091" FPOGID="826" FPOGV="1" LPOGX="0.62958" LPOGY="0.23297" LPOGV="1" RPOGX="0.45084" RPOGY="0.17667" RPOGV="1" BPOGX="0.54021" BPOGY="0.20482" BPOGV="1" LPCX="0.28542" LPCY="0.49495" LPD="29.25819" LPS="1.00202" LPV="1" RPCX="0.56024" RPCY="0.48597" RPD="27.94266" RPS="1.00921" RPV="1" LEYEX="-0.05407" LEYEY="-0.00059" LEYEZ="0.65854" LPUPILD="0.00572" LPUPILV="1" REYEX="0.01503" REYEY="0.00132" REYEZ="0.65307" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54727" FPOGY="0.19344" FPOGS="264.84412" FPOGD="0.18756" FPOGID="826" FPOGV="1" LPOGX="0.63152" LPOGY="0.21094" LPOGV="1" RPOGX="0.45047" RPOGY="0.21810" RPOGV="1" BPOGX="0.54100" BPOGY="0.21452" BPOGV="1" LPCX="0.28535" LPCY="0.49434" LPD="29.42476" LPS="1.00921" LPV="1" RPCX="0.56017" RPCY="0.48553" RPD="27.73894" RPS="1.01640" RPV="1" LEYEX="-0.05407" LEYEY="-0.00059" LEYEZ="0.65854" LPUPILD="0.00570" LPUPILV="1" REYEX="0.01503" REYEY="0.00132" REYEZ="0.65307" RPUPILD="0.00557" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54706" FPOGY="0.19394" FPOGS="264.84412" FPOGD="0.19427" FPOGID="826" FPOGV="1" LPOGX="0.63118" LPOGY="0.20485" LPOGV="1" RPOGX="0.45057" RPOGY="0.21192" RPOGV="1" BPOGX="0.54087" BPOGY="0.20838" BPOGV="1" LPCX="0.28539" LPCY="0.49424" LPD="29.40823" LPS="1.01640" LPV="1" RPCX="0.56016" RPCY="0.48537" RPD="27.88833" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00020" LEYEZ="0.65908" LPUPILD="0.00573" LPUPILV="1" REYEX="0.01503" REYEY="0.00162" REYEZ="0.65307" RPUPILD="0.00555" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54727" FPOGY="0.19382" FPOGS="264.84412" FPOGD="0.20090" FPOGID="826" FPOGV="1" LPOGX="0.63214" LPOGY="0.18966" LPOGV="1" RPOGX="0.47536" RPOGY="0.19106" RPOGV="1" BPOGX="0.55375" BPOGY="0.19036" BPOGV="1" LPCX="0.28542" LPCY="0.49327" LPD="29.35258" LPS="1.02359" LPV="1" RPCX="0.56007" RPCY="0.48433" RPD="27.99269" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00020" LEYEZ="0.65908" LPUPILD="0.00574" LPUPILV="1" REYEX="0.01503" REYEY="0.00162" REYEZ="0.65307" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54705" FPOGY="0.19277" FPOGS="264.84412" FPOGD="0.20761" FPOGID="826" FPOGV="1" LPOGX="0.63923" LPOGY="0.18205" LPOGV="1" RPOGX="0.44097" RPOGY="0.13809" RPOGV="1" BPOGX="0.54010" BPOGY="0.16007" BPOGV="1" LPCX="0.28540" LPCY="0.49281" LPD="29.63545" LPS="1.02359" LPV="1" RPCX="0.56007" RPCY="0.48389" RPD="27.93537" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00020" LEYEZ="0.65908" LPUPILD="0.00572" LPUPILV="1" REYEX="0.01503" REYEY="0.00162" REYEZ="0.65307" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54684" FPOGY="0.19188" FPOGS="264.84412" FPOGD="0.21432" FPOGID="826" FPOGV="1" LPOGX="0.63923" LPOGY="0.18205" LPOGV="1" RPOGX="0.44094" RPOGY="0.14480" RPOGV="1" BPOGX="0.54008" BPOGY="0.16342" BPOGV="1" LPCX="0.28546" LPCY="0.49264" LPD="29.40024" LPS="1.02359" LPV="1" RPCX="0.56010" RPCY="0.48377" RPD="27.93729" RPS="1.01640" RPV="1" LEYEX="-0.05411" LEYEY="0.00010" LEYEZ="0.65908" LPUPILD="0.00568" LPUPILV="1" REYEX="0.01466" REYEY="0.00192" REYEZ="0.63892" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
