2025-05-22 11:24:54.093947
"0.68434" RPUPILD="0.00588" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<REC FPOGX="0.50799" FPOGY="0.46077" FPOGS="1154.25049" FPOGD="0.03357" FPOGID="1008" FPOGV="1" LPOGX="0.55842" LPOGY="0.47927" LPOGV="1" RPOGX="0.45800" RPOGY="0.48676" RPOGV="1" BPOGX="0.50821" BPOGY="0.48301" BPOGV="1" LPCX="0.35953" LPCY="0.43977" LPD="30.93301" LPS="1.06356" LPV="1" RPCX="0.60962" RPCY="0.44944" RPD="30.31737" RPS="1.05547" RPV="1" LEYEX="-0.03536" LEYEY="0.01133" LEYEZ="0.66230" LPUPILD="0.00633" LPUPILV="1" REYEX="0.02734" REYEY="0.00910" REYEZ="0.65221" RPUPILD="0.00621" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50667" FPOGY="0.45845" FPOGS="1154.25049" FPOGD="0.03943" FPOGID="1008" FPOGV="1" LPOGX="0.54112" LPOGY="0.47747" LPOGV="1" RPOGX="0.45635" RPOGY="0.41156" RPOGV="1" BPOGX="0.49873" BPOGY="0.44451" BPOGV="1" LPCX="0.35941" LPCY="0.43975" LPD="30.79664" LPS="1.05547" LPV="1" RPCX="0.60953" RPCY="0.44943" RPD="30.35976" RPS="1.05547" RPV="1" LEYEX="-0.03536" LEYEY="0.01133" LEYEZ="0.66230" LPUPILD="0.00635" LPUPILV="1" REYEX="0.02734" REYEY="0.00910" REYEZ="0.65221" RPUPILD="0.00618" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50507" FPOGY="0.46065" FPOGS="1154.25049" FPOGD="0.04651" FPOGID="1008" FPOGV="1" LPOGX="0.53481" LPOGY="0.46695" LPOGV="1" RPOGX="0.45296" RPOGY="0.48513" RPOGV="1" BPOGX="0.49388" BPOGY="0.47604" BPOGV="1" LPCX="0.35936" LPCY="0.43974" LPD="30.81609" LPS="1.05547" LPV="1" RPCX="0.60945" RPCY="0.44934" RPD="30.56254" RPS="1.05547" RPV="1" LEYEX="-0.03536" LEYEY="0.01133" LEYEZ="0.66230" LPUPILD="0.00635" LPUPILV="1" REYEX="0.02734" REYEY="0.00910" REYEZ="0.65221" RPUPILD="0.00618" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50388" FPOGY="0.46286" FPOGS="1154.25049" FPOGD="0.05347" FPOGID="1008" FPOGV="1" LPOGX="0.53587" LPOGY="0.47137" LPOGV="1" RPOGX="0.45284" RPOGY="0.48967" RPOGV="1" BPOGX="0.49435" BPOGY="0.48052" BPOGV="1" LPCX="0.35930" LPCY="0.43974" LPD="30.76339" LPS="1.04756" LPV="1" RPCX="0.60945" RPCY="0.44936" RPD="30.50225" RPS="1.04756" RPV="1" LEYEX="-0.03535" LEYEY="0.01131" LEYEZ="0.66126" LPUPILD="0.00637" LPUPILV="1" REYEX="0.02734" REYEY="0.00910" REYEZ="0.65221" RPUPILD="0.00618" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50337" FPOGY="0.46458" FPOGS="1154.25049" FPOGD="0.05981" FPOGID="1008" FPOGV="1" LPOGX="0.55634" LPOGY="0.48050" LPOGV="1" RPOGX="0.44130" RPOGY="0.47963" RPOGV="1" BPOGX="0.49882" BPOGY="0.48006" BPOGV="1" LPCX="0.35909" LPCY="0.43965" LPD="30.76984" LPS="1.03966" LPV="1" RPCX="0.60942" RPCY="0.44936" RPD="30.53737" RPS="1.03966" RPV="1" LEYEX="-0.03535" LEYEY="0.01131" LEYEZ="0.66126" LPUPILD="0.00635" LPUPILV="1" REYEX="0.02734" REYEY="0.00910" REYEZ="0.65221" RPUPILD="0.00613" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50578" FPOGY="0.46576" FPOGS="1154.25049" FPOGD="0.06628" FPOGID="1008" FPOGV="1" LPOGX="0.55107" LPOGY="0.47811" LPOGV="1" RPOGX="0.50869" RPOGY="0.47716" RPOGV="1" BPOGX="0.52988" BPOGY="0.47763" BPOGV="1" LPCX="0.35904" LPCY="0.43972" LPD="30.67886" LPS="1.03176" LPV="1" RPCX="0.60939" RPCY="0.44937" RPD="30.50636" RPS="1.03176" RPV="1" LEYEX="-0.03535" LEYEY="0.01131" LEYEZ="0.66126" LPUPILD="0.00633" LPUPILV="1" REYEX="0.02734" REYEY="0.00910" REYEZ="0.65221" RPUPILD="0.00614" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50779" FPOGY="0.46675" FPOGS="1154.25049" FPOGD="0.07300" FPOGID="1008" FPOGV="1" LPOGX="0.55107" LPOGY="0.47811" LPOGV="1" RPOGX="0.50869" RPOGY="0.47716" RPOGV="1" BPOGX="0.52988" BPOGY="0.47763" BPOGV="1" LPCX="0.35899" LPCY="0.43969" LPD="30.71248" LPS="1.03176" LPV="1" RPCX="0.60937" RPCY="0.44939" RPD="30.48167" RPS="1.03176" RPV="1" LEYEX="-0.03676" LEYEY="0.01171" LEYEZ="0.68471" LPUPILD="0.00633" LPUPILV="1" REYEX="0.02742" REYEY="0.00921" REYEZ="0.65661" RPUPILD="0.00616" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50976" FPOGY="0.46692" FPOGS="1154.25049" FPOGD="0.07959" FPOGID="1008" FPOGV="1" LPOGX="0.56850" LPOGY="0.47526" LPOGV="1" RPOGX="0.49821" RPOGY="0.46270" RPOGV="1" BPOGX="0.53336" BPOGY="0.46898" BPOGV="1" LPCX="0.35889" LPCY="0.43962" LPD="30.67391" LPS="1.03966" LPV="1" RPCX="0.60920" RPCY="0.44934" RPD="30.29852" RPS="1.03966" RPV="1" LEYEX="-0.03676" LEYEY="0.01171" LEYEZ="0.68471" LPUPILD="0.00631" LPUPILV="1" REYEX="0.02742" REYEY="0.00921" REYEZ="0.65661" RPUPILD="0.00616" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.51119" FPOGY="0.46681" FPOGS="1154.25049" FPOGD="0.08679" FPOGID="1008" FPOGV="1" LPOGX="0.56372" LPOGY="0.47627" LPOGV="1" RPOGX="0.49588" RPOGY="0.45430" RPOGV="1" BPOGX="0.52980" BPOGY="0.46528" BPOGV="1" LPCX="0.35885" LPCY="0.43964" LPD="30.65783" LPS="1.04756" LPV="1" RPCX="0.60920" RPCY="0.44930" RPD="30.34527" RPS="1.04756" RPV="1" LEYEX="-0.03676" LEYEY="0.01171" LEYEZ="0.68471" LPUPILD="0.00632" LPUPILV="1" REYEX="0.02742" REYEY="0.00921" REYEZ="0.65661" RPUPILD="0.00617" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.51241" FPOGY="0.46640" FPOGS="1154.25049" FPOGD="0.09302" FPOGID="1008" FPOGV="1" LPOGX="0.56286" LPOGY="0.47186" LPOGV="1" RPOGX="0.49631" RPOGY="0.44951" RPOGV="1" BPOGX="0.52959" BPOGY="0.46069" BPOGV="1" LPCX="0.35882" LPCY="0.43964" LPD="30.65277" LPS="1.05547" LPV="1" RPCX="0.60920" RPCY="0.44930" RPD="30.34527" RPS="1.05547" RPV="1" LEYEX="-0.03676" LEYEY="0.01171" LEYEZ="0.68471" LPUPILD="0.00630" LPUPILV="1" REYEX="0.02742" REYEY="0.00916" REYEZ="0.65661" RPUPILD="0.00617" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
