2025-05-28 14:44:12.255000
00407" REYEZ="0.49326" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52333" FPOGY="-0.03769" FPOGS="2712.98413" FPOGD="0.05347" FPOGID="5413" FPOGV="1" LPOGX="0.51633" LPOGY="-0.00618" LPOGV="1" RPOGX="0.52554" RPOGY="-0.10251" RPOGV="1" BPOGX="0.52093" BPOGY="-0.05435" BPOGV="1" LPCX="0.19591" LPCY="0.46807" LPD="22.94226" LPS="0.61140" LPV="1" RPCX="0.50335" RPCY="0.45966" RPD="25.60824" RPS="0.61702" RPV="1" LEYEX="-0.05815" LEYEY="0.00286" LEYEZ="0.50149" LPUPILD="0.00428" LPUPILV="1" REYEX="0.00028" REYEY="0.00425" REYEZ="0.52936" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52305" FPOGY="-0.03964" FPOGS="2712.98413" FPOGD="0.06055" FPOGID="5413" FPOGV="1" LPOGX="0.51553" LPOGY="-0.01154" LPOGV="1" RPOGX="0.52557" RPOGY="-0.10297" RPOGV="1" BPOGX="0.52055" BPOGY="-0.05726" BPOGV="1" LPCX="0.19625" LPCY="0.46786" LPD="22.71906" LPS="0.61455" LPV="1" RPCX="0.50395" RPCY="0.45972" RPD="25.43769" RPS="0.61726" RPV="1" LEYEX="-0.05736" LEYEY="0.00287" LEYEZ="0.49693" LPUPILD="0.00426" LPUPILV="1" REYEX="0.00046" REYEY="0.00401" REYEZ="0.51468" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52290" FPOGY="-0.03922" FPOGS="2712.98413" FPOGD="0.06689" FPOGID="5413" FPOGV="1" LPOGX="0.51879" LPOGY="0.00149" LPOGV="1" RPOGX="0.52395" RPOGY="-0.07137" RPOGV="1" BPOGX="0.52137" BPOGY="-0.03494" BPOGV="1" LPCX="0.19693" LPCY="0.46808" LPD="22.85967" LPS="0.61479" LPV="1" RPCX="0.50427" RPCY="0.45982" RPD="25.64704" RPS="0.61188" RPV="1" LEYEX="-0.05736" LEYEY="0.00287" LEYEZ="0.49693" LPUPILD="0.00440" LPUPILV="1" REYEX="0.00046" REYEY="0.00401" REYEZ="0.51468" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52294" FPOGY="-0.03817" FPOGS="2712.98413" FPOGD="0.07422" FPOGID="5413" FPOGV="1" LPOGX="0.50405" LPOGY="0.00212" LPOGV="1" RPOGX="0.54268" RPOGY="-0.05544" RPOGV="1" BPOGX="0.52337" BPOGY="-0.02666" BPOGV="1" LPCX="0.19698" LPCY="0.46773" LPD="22.35807" LPS="0.60941" LPV="1" RPCX="0.50456" RPCY="0.46032" RPD="25.36692" RPS="0.60650" RPV="1" LEYEX="-0.05736" LEYEY="0.00287" LEYEZ="0.49693" LPUPILD="0.00434" LPUPILV="1" REYEX="0.00046" REYEY="0.00401" REYEZ="0.51468" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52299" FPOGY="-0.03689" FPOGS="2712.98413" FPOGD="0.08008" FPOGID="5413" FPOGV="1" LPOGX="0.50484" LPOGY="0.00704" LPOGV="1" RPOGX="0.54221" RPOGY="-0.04999" RPOGV="1" BPOGX="0.52353" BPOGY="-0.02147" BPOGV="1" LPCX="0.19733" LPCY="0.46782" LPD="22.59880" LPS="0.60650" LPV="1" RPCX="0.50492" RPCY="0.46013" RPD="25.15983" RPS="0.60359" RPV="1" LEYEX="-0.05788" LEYEY="0.00298" LEYEZ="0.50302" LPUPILD="0.00440" LPUPILV="1" REYEX="0.00000" REYEY="0.00000" REYEZ="0.00000" RPUPILD="0.00457" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52298" FPOGY="-0.03716" FPOGS="2712.98413" FPOGD="0.08691" FPOGID="5413" FPOGV="1" LPOGX="0.50345" LPOGY="-0.01140" LPOGV="1" RPOGX="0.54239" RPOGY="-0.07019" RPOGV="1" BPOGX="0.52292" BPOGY="-0.04080" BPOGV="1" LPCX="0.19782" LPCY="0.46715" LPD="22.48630" LPS="0.60606" LPV="1" RPCX="0.50552" RPCY="0.46016" RPD="25.69882" RPS="0.60606" RPV="1" LEYEX="-0.05788" LEYEY="0.00298" LEYEZ="0.50302" LPUPILD="0.00427" LPUPILV="1" REYEX="0.00000" REYEY="0.00000" REYEZ="0.00000" RPUPILD="0.00455" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52276" FPOGY="-0.03731" FPOGS="2712.98413" FPOGD="0.09375" FPOGID="5413" FPOGV="1" LPOGX="0.51961" LPOGY="-0.02267" LPOGV="1" RPOGX="0.51981" RPOGY="-0.05602" RPOGV="1" BPOGX="0.51971" BPOGY="-0.03935" BPOGV="1" LPCX="0.19799" LPCY="0.46727" LPD="22.82836" LPS="0.60853" LPV="1" RPCX="0.50578" RPCY="0.46039" RPD="25.42250" RPS="0.60853" RPV="1" LEYEX="-0.05788" LEYEY="0.00298" LEYEZ="0.50302" LPUPILD="0.00415" LPUPILV="1" REYEX="0.00000" REYEY="0.00000" REYEZ="0.00000" RPUPILD="0.00449" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52257" FPOGY="-0.03744" FPOGS="2712.98413" FPOGD="0.10034" FPOGID="5413" FPOGV="1" LPOGX="0.51961" LPOGY="-0.02267" LPOGV="1" RPOGX="0.51981" RPOGY="-0.05602" RPOGV="1" BPOGX="0.51971" BPOGY="-0.03935" BPOGV="1" LPCX="0.19835" LPCY="0.46702" LPD="22.42130" LPS="0.60853" LPV="1" RPCX="0.50582" RPCY="0.46046" RPD="24.77898" RPS="0.60853" RPV="1" LEYEX="-0.05711" LEYEY="0.00299" LEYEZ="0.49862" LPUPILD="0.00418" LPUPILV="1" REYEX="0.00093" REYEY="0.00398" REYEZ="0.51480" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52213" FPOGY="-0.03736" FPOGS="2712.98413" FPOGD="0.10718" FPOGID="5413" FPOGV="1" LPOGX="0.51340" LPOGY="0.00701" LPOGV="1" RPOGX="0.51657" RPOGY="-0.07940" RPOGV="1" BPOGX="0.51499" BPOGY="-0.03620" BPOGV="1" LPCX="0.19885" LPCY="0.46701" LPD="23.11696" LPS="0.60606" LPV="1" RPCX="0.50661" RPCY="0.46098" RPD="25.72991" RPS="0.60606" RPV="1" LEYEX="-0.05711" LEYEY="0.00299" LEYEZ="0.49862" LPUPILD="0.00418" LPUPILV="1" REYEX="0.00093" REYEY="0.00398" REYEZ="0.51480" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52248" FPOGY="-0.03673" FPOGS="2712.98413" FPOGD="0.11377" FPOGID="5413" FPOGV="1" LPOGX="0.51823" LPOGY="0.01366" LPOGV="1" RPOGX="0.53859" RPOGY="-0.06540" RPOGV="1" BPOGX="0.52841" BPOGY="-0.02587" BPOGV="1" LPCX="0.19920" LPCY="0.46688" LPD="22.25007" LPS="0.60359" LPV="1" RPCX="0.50685" RPCY="0.46056" RPD="25.57042" RPS="0.60359" RPV="1" LEYEX="-0.05711" LEYEY="0.00299" LEYEZ="0.49862" LPUPILD="0.00437" LPUPILV="1" REYEX="0.00093" REYEY="0.00398" REYEZ="0.51480" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
