Model,Animation,Best Parameters,Train Accuracy,Test Accuracy,Precision,Recall,Specificity,Roc Auc,EER
KNN,VB_FA_LIT,"{'feature_selection__k': 60, 'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",1.0,0.7438,0.6902,0.9981,0.4895,0.9428,0.0986
Logistic Regression,VB_FA_LIT,"{'feature_selection__k': 50, 'logreg__C': 1, 'scaler': RobustScaler()}",1.0,0.8502,0.8218,0.9567,0.7438,0.913,0.1262
NuSVC,VB_FA_LIT,"{'feature_selection__k': 60, 'nusvc__gamma': 'auto', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': RobustScaler()}",1.0,0.8855,0.9149,0.8514,0.9195,0.9537,0.0776
Random Forest,VB_FA_LIT,"{'feature_selection__k': 60, 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': StandardScaler()}",1.0,0.8695,0.8423,0.9519,0.7871,0.9571,0.0705
SVC,VB_FA_LIT,"{'feature_selection__k': 60, 'scaler': RobustScaler(), 'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",1.0,0.89,0.9056,0.8876,0.8924,0.9562,0.0767
MLP,VB_FA_LIT,"{'feature_selection__k': 70, 'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': RobustScaler()}",1.0,0.851,0.8348,0.9219,0.78,0.9256,0.1214
Naive Bayes,HS_FA_LIT,"{'feature_selection__k': 20, 'scaler': MinMaxScaler()}",0.971,0.8219,0.8036,0.7395,0.9043,0.9258,0.1095
KNN,HS_FA_LIT,"{'feature_selection__k': 30, 'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': RobustScaler()}",1.0,0.691,0.6492,0.9795,0.4024,0.9124,0.1238
Logistic Regression,HS_FA_LIT,"{'feature_selection__k': 70, 'logreg__C': 100, 'scaler': RobustScaler()}",1.0,0.8083,0.7865,0.9114,0.7052,0.8638,0.1795
NuSVC,HS_FA_LIT,"{'feature_selection__k': 30, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': StandardScaler()}",0.9999,0.8857,0.8904,0.8905,0.881,0.943,0.0824
Random Forest,HS_FA_LIT,"{'feature_selection__k': 70, 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 100, 'scaler': RobustScaler()}",1.0,0.8355,0.8109,0.9124,0.7586,0.9156,0.1343
SVC,HS_FA_LIT,"{'feature_selection__k': 60, 'scaler': StandardScaler(), 'svc__C': 100, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9999,0.8226,0.806,0.9038,0.7414,0.8922,0.1543
MLP,HS_FA_LIT,"{'feature_selection__k': 40, 'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",1.0,0.8317,0.815,0.9119,0.7514,0.8854,0.1581
Naive Bayes,VB_FA_BIG,"{'feature_selection__k': 60, 'scaler': MinMaxScaler()}",0.9976,0.8995,0.946,0.8338,0.9652,0.9678,0.06
KNN,VB_FA_BIG,"{'feature_selection__k': 60, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.824,0.7708,0.9957,0.6524,0.9261,0.1438
Logistic Regression,VB_FA_BIG,"{'feature_selection__k': 60, 'logreg__C': 10, 'scaler': RobustScaler()}",1.0,0.8595,0.8274,0.9619,0.7571,0.9271,0.101
NuSVC,VB_FA_BIG,"{'feature_selection__k': 60, 'nusvc__gamma': 'scale', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': MinMaxScaler()}",1.0,0.9152,0.9348,0.9124,0.9181,0.973,0.0529
Random Forest,VB_FA_BIG,"{'feature_selection__k': 70, 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': RobustScaler()}",1.0,0.9093,0.8875,0.9767,0.8419,0.9783,0.0414
SVC,VB_FA_BIG,"{'feature_selection__k': 60, 'scaler': RobustScaler(), 'svc__C': 100, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",1.0,0.8671,0.8427,0.95,0.7843,0.9376,0.0905
MLP,VB_FA_BIG,"{'feature_selection__k': 70, 'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': RobustScaler()}",1.0,0.8688,0.8617,0.911,0.8267,0.9387,0.0967
Naive Bayes,HS_FA_BIG,"{'feature_selection__k': 40, 'scaler': MinMaxScaler()}",0.9858,0.8481,0.9043,0.7548,0.9414,0.9556,0.0733
KNN,HS_FA_BIG,"{'feature_selection__k': 40, 'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': StandardScaler()}",1.0,0.7862,0.7422,0.9638,0.6086,0.8963,0.1686
Logistic Regression,HS_FA_BIG,"{'feature_selection__k': 40, 'logreg__C': 100, 'scaler': MinMaxScaler()}",1.0,0.8305,0.8119,0.8986,0.7624,0.8889,0.1533
NuSVC,HS_FA_BIG,"{'feature_selection__k': 60, 'nusvc__gamma': 'auto', 'nusvc__kernel': 'rbf', 'nusvc__nu': 0.25, 'scaler': MinMaxScaler()}",0.9996,0.8581,0.8505,0.9033,0.8129,0.9322,0.1043
Random Forest,HS_FA_BIG,"{'feature_selection__k': 70, 'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",1.0,0.844,0.8307,0.911,0.7771,0.9324,0.1076
SVC,HS_FA_BIG,"{'feature_selection__k': 60, 'scaler': StandardScaler(), 'svc__C': 100, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9999,0.8536,0.8394,0.9024,0.8048,0.9244,0.1157
MLP,HS_FA_BIG,"{'feature_selection__k': 60, 'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",1.0,0.8357,0.8131,0.911,0.7605,0.921,0.1281
