2025-07-14 11:18:16.993420
 REYEZ="0.71832" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.30957" FPOGY="0.10580" FPOGS="508.59784" FPOGD="0.12772" FPOGID="1735" FPOGV="1" LPOGX="0.29726" LPOGY="0.08507" LPOGV="1" RPOGX="0.29309" RPOGY="0.05190" RPOGV="1" BPOGX="0.29518" BPOGY="0.06848" BPOGV="1" LPCX="0.24431" LPCY="0.93906" LPD="21.10751" LPS="1.06388" LPV="1" RPCX="0.47895" RPCY="0.93399" RPD="18.17888" RPS="1.05580" RPV="1" LEYEX="-0.06463" LEYEY="-0.09179" LEYEZ="0.66917" LPUPILD="0.00467" LPUPILV="1" REYEX="-0.00487" REYEY="-0.08921" REYEZ="0.65643" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.30905" FPOGY="0.10469" FPOGS="508.59784" FPOGD="0.13437" FPOGID="1735" FPOGV="1" LPOGX="0.30239" LPOGY="0.09791" LPOGV="1" RPOGX="0.29499" RPOGY="0.06702" RPOGV="1" BPOGX="0.29869" BPOGY="0.08246" BPOGV="1" LPCX="0.24438" LPCY="0.93903" LPD="20.86265" LPS="1.04877" LPV="1" RPCX="0.47914" RPCY="0.93397" RPD="18.39551" RPS="1.04068" RPV="1" LEYEX="-0.06111" LEYEY="-0.08689" LEYEZ="0.63374" LPUPILD="0.00481" LPUPILV="1" REYEX="-0.00482" REYEY="-0.08999" REYEZ="0.66219" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.30877" FPOGY="0.10479" FPOGS="508.59784" FPOGD="0.14105" FPOGID="1735" FPOGV="1" LPOGX="0.32234" LPOGY="0.15453" LPOGV="1" RPOGX="0.28365" RPOGY="0.05966" RPOGV="1" BPOGX="0.30300" BPOGY="0.10709" BPOGV="1" LPCX="0.24452" LPCY="0.93888" LPD="21.12490" LPS="1.02575" LPV="1" RPCX="0.47919" RPCY="0.93390" RPD="18.24190" RPS="1.02575" RPV="1" LEYEX="-0.06111" LEYEY="-0.08689" LEYEZ="0.63374" LPUPILD="0.00469" LPUPILV="1" REYEX="-0.00482" REYEY="-0.08999" REYEZ="0.66219" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.30909" FPOGY="0.10634" FPOGS="508.59784" FPOGD="0.14777" FPOGID="1735" FPOGV="1" LPOGX="0.34235" LPOGY="0.20477" LPOGV="1" RPOGX="0.28972" RPOGY="0.07574" RPOGV="1" BPOGX="0.31604" BPOGY="0.14026" BPOGV="1" LPCX="0.24455" LPCY="0.93885" LPD="21.01539" LPS="1.01082" LPV="1" RPCX="0.47929" RPCY="0.93405" RPD="18.39843" RPS="1.01082" RPV="1" LEYEX="-0.06111" LEYEY="-0.08689" LEYEZ="0.63374" LPUPILD="0.00471" LPUPILV="1" REYEX="-0.00482" REYEY="-0.08999" REYEZ="0.66219" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.30950" FPOGY="0.10814" FPOGS="508.59784" FPOGD="0.15454" FPOGID="1735" FPOGV="1" LPOGX="0.34710" LPOGY="0.21666" LPOGV="1" RPOGX="0.29064" RPOGY="0.08273" RPOGV="1" BPOGX="0.31887" BPOGY="0.14970" BPOGV="1" LPCX="0.24462" LPCY="0.93875" LPD="20.96689" LPS="0.99589" LPV="1" RPCX="0.47936" RPCY="0.93403" RPD="18.40507" RPS="1.00398" RPV="1" LEYEX="-0.06070" LEYEY="-0.08625" LEYEZ="0.62948" LPUPILD="0.00478" LPUPILV="1" REYEX="-0.00490" REYEY="-0.09242" REYEZ="0.68006" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.30993" FPOGY="0.10917" FPOGS="508.59784" FPOGD="0.16113" FPOGID="1735" FPOGV="1" LPOGX="0.34462" LPOGY="0.18661" LPOGV="1" RPOGX="0.29599" RPOGY="0.08078" RPOGV="1" BPOGX="0.32030" BPOGY="0.13370" BPOGV="1" LPCX="0.24462" LPCY="0.93848" LPD="21.01637" LPS="1.00398" LPV="1" RPCX="0.47939" RPCY="0.93400" RPD="18.27942" RPS="1.01207" RPV="1" LEYEX="-0.06070" LEYEY="-0.08625" LEYEZ="0.62948" LPUPILD="0.00472" LPUPILV="1" REYEX="-0.00490" REYEY="-0.09242" REYEZ="0.68006" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31038" FPOGY="0.10964" FPOGS="508.59784" FPOGD="0.16776" FPOGID="1735" FPOGV="1" LPOGX="0.34043" LPOGY="0.15467" LPOGV="1" RPOGX="0.30307" RPOGY="0.08827" RPOGV="1" BPOGX="0.32175" BPOGY="0.12147" BPOGV="1" LPCX="0.24486" LPCY="0.93797" LPD="20.70149" LPS="1.01207" LPV="1" RPCX="0.47939" RPCY="0.93400" RPD="18.27942" RPS="1.02015" RPV="1" LEYEX="-0.06070" LEYEY="-0.08625" LEYEZ="0.62948" LPUPILD="0.00474" LPUPILV="1" REYEX="-0.00490" REYEY="-0.09242" REYEZ="0.68006" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31068" FPOGY="0.10956" FPOGS="508.59784" FPOGD="0.17456" FPOGID="1735" FPOGV="1" LPOGX="0.33563" LPOGY="0.14200" LPOGV="1" RPOGX="0.30124" RPOGY="0.07317" RPOGV="1" BPOGX="0.31844" BPOGY="0.10758" BPOGV="1" LPCX="0.24470" LPCY="0.93825" LPD="20.97775" LPS="1.02718" LPV="1" RPCX="0.47948" RPCY="0.93393" RPD="18.47004" RPS="1.03527" RPV="1" LEYEX="-0.06319" LEYEY="-0.08982" LEYEZ="0.65585" LPUPILD="0.00476" LPUPILV="1" REYEX="-0.00490" REYEY="-0.09242" REYEZ="0.68006" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31117" FPOGY="0.10836" FPOGS="508.59784" FPOGD="0.18127" FPOGID="1735" FPOGV="1" LPOGX="0.34321" LPOGY="0.11514" LPOGV="1" RPOGX="0.30546" RPOGY="0.03691" RPOGV="1" BPOGX="0.32433" BPOGY="0.07602" BPOGV="1" LPCX="0.24473" LPCY="0.93822" LPD="21.12191" LPS="1.04229" LPV="1" RPCX="0.47965" RPCY="0.93393" RPD="18.52073" RPS="1.04229" RPV="1" LEYEX="-0.06319" LEYEY="-0.08982" LEYEZ="0.65585" LPUPILD="0.00475" LPUPILV="1" REYEX="-0.00490" REYEY="-0.09242" REYEZ="0.68006" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31142" FPOGY="0.10764" FPOGS="508.59784" FPOGD="0.18765" FPOGID="1735" FPOGV="1" LPOGX="0.33818" LPOGY="0.15908" LPOGV="1" RPOGX="0.29870" RPOGY="0.01571" RPOGV="1" BPOGX="0.31844" BPOGY="0.08739" BPOGV="1" LPCX="0.24476" LPCY="0.93803" LPD="21.16699" LPS="1.04932" LPV="1" RPCX="0.47952" RPCY="0.93389" RPD="18.41593" RPS="1.04932" RPV="1" LEYEX="-0.06319" LEYEY="-0.08982" LEYEZ="0.65585" LPUPILD="0.00473" LPUPILV="1" REYEX="-0.00490" REYEY="-0.09242" REYEZ="0.68006" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
