2025-06-26 11:47:28.133717
EYEZ="0.54761" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.55533" FPOGY="0.14973" FPOGS="462.95792" FPOGD="0.25394" FPOGID="1456" FPOGV="1" LPOGX="0.56758" LPOGY="0.12409" LPOGV="1" RPOGX="0.51473" RPOGY="0.12570" RPOGV="1" BPOGX="0.54115" BPOGY="0.12489" BPOGV="1" LPCX="0.39435" LPCY="0.87288" LPD="24.87922" LPS="0.88159" LPV="1" RPCX="0.64709" RPCY="0.89755" RPD="23.09212" RPS="0.88738" RPV="1" LEYEX="-0.02387" LEYEY="-0.07025" LEYEZ="0.59850" LPUPILD="0.00545" LPUPILV="1" REYEX="0.03511" REYEY="-0.07811" REYEZ="0.62515" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55497" FPOGY="0.14903" FPOGS="462.95792" FPOGD="0.26111" FPOGID="1456" FPOGV="1" LPOGX="0.56687" LPOGY="0.11800" LPOGV="1" RPOGX="0.51473" RPOGY="0.12570" RPOGV="1" BPOGX="0.54080" BPOGY="0.12185" BPOGV="1" LPCX="0.39429" LPCY="0.87292" LPD="24.95257" LPS="0.88738" LPV="1" RPCX="0.64700" RPCY="0.89808" RPD="24.10798" RPS="0.88738" RPV="1" LEYEX="-0.02427" LEYEY="-0.07120" LEYEZ="0.60620" LPUPILD="0.00548" LPUPILV="1" REYEX="0.03511" REYEY="-0.07811" REYEZ="0.62515" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55453" FPOGY="0.14857" FPOGS="462.95792" FPOGD="0.26755" FPOGID="1456" FPOGV="1" LPOGX="0.57371" LPOGY="0.12528" LPOGV="1" RPOGX="0.50071" RPOGY="0.13442" RPOGV="1" BPOGX="0.53721" BPOGY="0.12985" BPOGV="1" LPCX="0.39399" LPCY="0.87300" LPD="25.22526" LPS="0.88738" LPV="1" RPCX="0.64671" RPCY="0.89766" RPD="23.59041" RPS="0.88159" RPV="1" LEYEX="-0.02427" LEYEY="-0.07120" LEYEZ="0.60620" LPUPILD="0.00545" LPUPILV="1" REYEX="0.03511" REYEY="-0.07811" REYEZ="0.62515" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55422" FPOGY="0.14836" FPOGS="462.95792" FPOGD="0.27405" FPOGID="1456" FPOGV="1" LPOGX="0.59045" LPOGY="0.15010" LPOGV="1" RPOGX="0.49199" RPOGY="0.12948" RPOGV="1" BPOGX="0.54122" BPOGY="0.13979" BPOGV="1" LPCX="0.39388" LPCY="0.87314" LPD="25.06971" LPS="0.88159" LPV="1" RPCX="0.64655" RPCY="0.89773" RPD="23.44703" RPS="0.87580" RPV="1" LEYEX="-0.02427" LEYEY="-0.07120" LEYEZ="0.60620" LPUPILD="0.00546" LPUPILV="1" REYEX="0.03511" REYEY="-0.07811" REYEZ="0.62515" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55392" FPOGY="0.14830" FPOGS="462.95792" FPOGD="0.28094" FPOGID="1456" FPOGV="1" LPOGX="0.59102" LPOGY="0.15605" LPOGV="1" RPOGX="0.49165" RPOGY="0.13581" RPOGV="1" BPOGX="0.54133" BPOGY="0.14593" BPOGV="1" LPCX="0.39385" LPCY="0.87311" LPD="25.09279" LPS="0.87580" LPV="1" RPCX="0.64662" RPCY="0.89802" RPD="24.06844" RPS="0.87001" RPV="1" LEYEX="-0.02443" LEYEY="-0.07140" LEYEZ="0.60789" LPUPILD="0.00547" LPUPILV="1" REYEX="0.03511" REYEY="-0.07811" REYEZ="0.62515" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55388" FPOGY="0.14824" FPOGS="462.95792" FPOGD="0.28741" FPOGID="1456" FPOGV="1" LPOGX="0.57658" LPOGY="0.15457" LPOGV="1" RPOGX="0.52807" RPOGY="0.13643" RPOGV="1" BPOGX="0.55233" BPOGY="0.14550" BPOGV="1" LPCX="0.39372" LPCY="0.87311" LPD="25.34975" LPS="0.87001" LPV="1" RPCX="0.64650" RPCY="0.89803" RPD="23.97801" RPS="0.87001" RPV="1" LEYEX="-0.02443" LEYEY="-0.07140" LEYEZ="0.60789" LPUPILD="0.00547" LPUPILV="1" REYEX="0.03511" REYEY="-0.07811" REYEZ="0.62515" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55364" FPOGY="0.14800" FPOGS="462.95792" FPOGD="0.29498" FPOGID="1456" FPOGV="1" LPOGX="0.56194" LPOGY="0.15153" LPOGV="1" RPOGX="0.52431" RPOGY="0.12367" RPOGV="1" BPOGX="0.54312" BPOGY="0.13760" BPOGV="1" LPCX="0.39359" LPCY="0.87309" LPD="25.36580" LPS="0.87001" LPV="1" RPCX="0.64644" RPCY="0.89802" RPD="23.89185" RPS="0.87001" RPV="1" LEYEX="-0.02443" LEYEY="-0.07140" LEYEZ="0.60789" LPUPILD="0.00544" LPUPILV="1" REYEX="0.03511" REYEY="-0.07811" REYEZ="0.62515" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55343" FPOGY="0.14763" FPOGS="462.95792" FPOGD="0.30115" FPOGID="1456" FPOGV="1" LPOGX="0.56194" LPOGY="0.15153" LPOGV="1" RPOGX="0.52546" RPOGY="0.11017" RPOGV="1" BPOGX="0.54370" BPOGY="0.13085" BPOGV="1" LPCX="0.39354" LPCY="0.87312" LPD="25.21018" LPS="0.87001" LPV="1" RPCX="0.64640" RPCY="0.89782" RPD="23.49265" RPS="0.88223" RPV="1" LEYEX="-0.02452" LEYEY="-0.07140" LEYEZ="0.60795" LPUPILD="0.00549" LPUPILV="1" REYEX="0.03568" REYEY="-0.07987" REYEZ="0.63957" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55320" FPOGY="0.14719" FPOGS="462.95792" FPOGD="0.30750" FPOGID="1456" FPOGV="1" LPOGX="0.57933" LPOGY="0.14798" LPOGV="1" RPOGX="0.50602" RPOGY="0.10598" RPOGV="1" BPOGX="0.54267" BPOGY="0.12698" BPOGV="1" LPCX="0.39326" LPCY="0.87316" LPD="24.96897" LPS="0.88223" LPV="1" RPCX="0.64623" RPCY="0.89772" RPD="23.48547" RPS="0.89446" RPV="1" LEYEX="-0.02452" LEYEY="-0.07140" LEYEZ="0.60795" LPUPILD="0.00541" LPUPILV="1" REYEX="0.03568" REYEY="-0.07987" REYEZ="0.63957" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55268" FPOGY="0.14642" FPOGS="462.95792" FPOGD="0.31464" FPOGID="1456" FPOGV="1" LPOGX="0.56360" LPOGY="0.13783" LPOGV="1" RPOGX="0.49280" RPOGY="0.08283" RPOGV="1" BPOGX="0.52820" BPOGY="0.11033" BPOGV="1" LPCX="0.39312" LPCY="0.87318" LPD="24.97234" LPS="0.89446" LPV="1" RPCX="0.64611" RPCY="0.89743" RPD="23.20333" RPS="0.90668" RPV="1" LEYEX="-0.02452" LEYEY="-0.07140" LEYEZ="0.60795" LPUPILD="0.00546" LPUPILV="1" REYEX="0.03568" REYEY="-0.07987" REYEZ="0.63957" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
