2025-05-28 14:57:17.350129
2032" REYEZ="0.59162" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57179" FPOGY="0.12246" FPOGS="3497.97266" FPOGD="0.15381" FPOGID="6976" FPOGV="1" LPOGX="0.66219" LPOGY="0.19346" LPOGV="1" RPOGX="0.48584" RPOGY="0.05728" RPOGV="1" BPOGX="0.57402" BPOGY="0.12537" BPOGV="1" LPCX="0.30090" LPCY="0.61765" LPD="20.23590" LPS="0.89331" LPV="1" RPCX="0.57361" RPCY="0.60432" RPD="21.30257" RPS="0.89331" RPV="1" LEYEX="-0.04595" LEYEY="-0.02339" LEYEZ="0.60210" LPUPILD="0.00401" LPUPILV="1" REYEX="0.01749" REYEY="-0.02170" REYEZ="0.62210" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57236" FPOGY="0.12282" FPOGS="3497.97266" FPOGD="0.16016" FPOGID="6976" FPOGV="1" LPOGX="0.67250" LPOGY="0.19252" LPOGV="1" RPOGX="0.49956" RPOGY="0.07046" RPOGV="1" BPOGX="0.58603" BPOGY="0.13149" BPOGV="1" LPCX="0.30103" LPCY="0.61765" LPD="20.32572" LPS="0.89331" LPV="1" RPCX="0.57371" RPCY="0.60431" RPD="21.18965" RPS="0.89331" RPV="1" LEYEX="-0.04595" LEYEY="-0.02339" LEYEZ="0.60210" LPUPILD="0.00403" LPUPILV="1" REYEX="0.01749" REYEY="-0.02170" REYEZ="0.62210" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57296" FPOGY="0.12311" FPOGS="3497.97266" FPOGD="0.16724" FPOGID="6976" FPOGV="1" LPOGX="0.67275" LPOGY="0.19145" LPOGV="1" RPOGX="0.50335" RPOGY="0.06922" RPOGV="1" BPOGX="0.58805" BPOGY="0.13034" BPOGV="1" LPCX="0.30107" LPCY="0.61761" LPD="20.17751" LPS="0.89331" LPV="1" RPCX="0.57377" RPCY="0.60428" RPD="21.30569" RPS="0.89331" RPV="1" LEYEX="-0.04595" LEYEY="-0.02339" LEYEZ="0.60210" LPUPILD="0.00404" LPUPILV="1" REYEX="0.01749" REYEY="-0.02170" REYEZ="0.62210" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57351" FPOGY="0.12350" FPOGS="3497.97266" FPOGD="0.17383" FPOGID="6976" FPOGV="1" LPOGX="0.67275" LPOGY="0.19145" LPOGV="1" RPOGX="0.50294" RPOGY="0.07581" RPOGV="1" BPOGX="0.58785" BPOGY="0.13363" BPOGV="1" LPCX="0.30106" LPCY="0.61760" LPD="20.20131" LPS="0.89331" LPV="1" RPCX="0.57397" RPCY="0.60418" RPD="21.59840" RPS="0.88752" RPV="1" LEYEX="-0.04595" LEYEY="-0.02339" LEYEZ="0.60210" LPUPILD="0.00404" LPUPILV="1" REYEX="0.01700" REYEY="-0.02103" REYEZ="0.60298" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57348" FPOGY="0.12409" FPOGS="3497.97266" FPOGD="0.18091" FPOGID="6976" FPOGV="1" LPOGX="0.65387" LPOGY="0.19984" LPOGV="1" RPOGX="0.49115" RPOGY="0.07997" RPOGV="1" BPOGX="0.57251" BPOGY="0.13991" BPOGV="1" LPCX="0.30116" LPCY="0.61757" LPD="20.25462" LPS="0.88752" LPV="1" RPCX="0.57402" RPCY="0.60444" RPD="21.48027" RPS="0.88173" RPV="1" LEYEX="-0.04595" LEYEY="-0.02339" LEYEZ="0.60210" LPUPILD="0.00404" LPUPILV="1" REYEX="0.01700" REYEY="-0.02103" REYEZ="0.60298" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57330" FPOGY="0.12513" FPOGS="3497.97266" FPOGD="0.18726" FPOGID="6976" FPOGV="1" LPOGX="0.66244" LPOGY="0.22258" LPOGV="1" RPOGX="0.47429" RPOGY="0.08638" RPOGV="1" BPOGX="0.56837" BPOGY="0.15448" BPOGV="1" LPCX="0.30121" LPCY="0.61756" LPD="20.27700" LPS="0.88173" LPV="1" RPCX="0.57412" RPCY="0.60440" RPD="21.43564" RPS="0.87594" RPV="1" LEYEX="-0.04595" LEYEY="-0.02339" LEYEZ="0.60210" LPUPILD="0.00404" LPUPILV="1" REYEX="0.01700" REYEY="-0.02103" REYEZ="0.60298" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57314" FPOGY="0.12579" FPOGS="3497.97266" FPOGD="0.19385" FPOGID="6976" FPOGV="1" LPOGX="0.66232" LPOGY="0.21664" LPOGV="1" RPOGX="0.47477" RPOGY="0.07271" RPOGV="1" BPOGX="0.56854" BPOGY="0.14467" BPOGV="1" LPCX="0.30114" LPCY="0.61753" LPD="20.33769" LPS="0.88788" LPV="1" RPCX="0.57415" RPCY="0.60453" RPD="21.48095" RPS="0.88788" RPV="1" LEYEX="-0.04884" LEYEY="-0.02491" LEYEZ="0.64111" LPUPILD="0.00395" LPUPILV="1" REYEX="0.01745" REYEY="-0.02157" REYEZ="0.61722" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57261" FPOGY="0.12611" FPOGS="3497.97266" FPOGD="0.20068" FPOGID="6976" FPOGV="1" LPOGX="0.63993" LPOGY="0.18942" LPOGV="1" RPOGX="0.47315" RPOGY="0.08238" RPOGV="1" BPOGX="0.55654" BPOGY="0.13590" BPOGV="1" LPCX="0.30132" LPCY="0.61775" LPD="20.66886" LPS="0.89983" LPV="1" RPCX="0.57422" RPCY="0.60443" RPD="21.30925" RPS="0.90562" RPV="1" LEYEX="-0.04884" LEYEY="-0.02491" LEYEZ="0.64111" LPUPILD="0.00402" LPUPILV="1" REYEX="0.01745" REYEY="-0.02157" REYEZ="0.61722" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57227" FPOGY="0.12611" FPOGS="3497.97266" FPOGD="0.20776" FPOGID="6976" FPOGV="1" LPOGX="0.64259" LPOGY="0.18099" LPOGV="1" RPOGX="0.48127" RPOGY="0.07100" RPOGV="1" BPOGX="0.56193" BPOGY="0.12599" BPOGV="1" LPCX="0.30137" LPCY="0.61782" LPD="20.54591" LPS="0.91756" LPV="1" RPCX="0.57428" RPCY="0.60448" RPD="21.20815" RPS="0.92335" RPV="1" LEYEX="-0.04884" LEYEY="-0.02491" LEYEZ="0.64111" LPUPILD="0.00400" LPUPILV="1" REYEX="0.01745" REYEY="-0.02157" REYEZ="0.61722" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57196" FPOGY="0.12592" FPOGS="3497.97266" FPOGD="0.21436" FPOGID="6976" FPOGV="1" LPOGX="0.64235" LPOGY="0.17538" LPOGV="1" RPOGX="0.48153" RPOGY="0.06462" RPOGV="1" BPOGX="0.56194" BPOGY="0.12000" BPOGV="1" LPCX="0.30146" LPCY="0.61783" LPD="20.39203" LPS="0.92335" LPV="1" RPCX="0.57429" RPCY="0.60448" RPD="20.64754" RPS="0.92914" RPV="1" LEYEX="-0.04639" LEYEY="-0.02371" LEYEZ="0.61017" LPUPILD="0.00394" LPUPILV="1" REYEX="0.01745" REYEY="-0.02157" REYEZ="0.61722" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
