2025-07-01 13:32:38.248381
.66308" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.12656" FPOGY="0.43757" FPOGS="81.85233" FPOGD="0.38078" FPOGID="217" FPOGV="1" LPOGX="0.24325" LPOGY="0.49163" LPOGV="1" RPOGX="0.04287" RPOGY="0.34610" RPOGV="1" BPOGX="0.14306" BPOGY="0.41886" BPOGV="1" LPCX="0.49783" LPCY="0.87120" LPD="19.71286" LPS="1.08758" LPV="1" RPCX="0.76040" RPCY="0.90792" RPD="19.38876" RPS="1.08758" RPV="1" LEYEX="0.00101" LEYEY="-0.07750" LEYEZ="0.67364" LPUPILD="0.00410" LPUPILV="1" REYEX="0.06889" REYEY="-0.08543" REYEZ="0.67559" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12711" FPOGY="0.43679" FPOGS="81.85233" FPOGD="0.38766" FPOGID="217" FPOGV="1" LPOGX="0.21444" LPOGY="0.44028" LPOGV="1" RPOGX="0.05312" RPOGY="0.36152" RPOGV="1" BPOGX="0.13378" BPOGY="0.40090" BPOGV="1" LPCX="0.49697" LPCY="0.87242" LPD="19.67972" LPS="1.08758" LPV="1" RPCX="0.75941" RPCY="0.90884" RPD="19.28086" RPS="1.08758" RPV="1" LEYEX="0.00101" LEYEY="-0.07750" LEYEZ="0.67364" LPUPILD="0.00411" LPUPILV="1" REYEX="0.06889" REYEY="-0.08543" REYEZ="0.67559" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12759" FPOGY="0.43589" FPOGS="81.85233" FPOGD="0.39414" FPOGID="217" FPOGV="1" LPOGX="0.21444" LPOGY="0.44028" LPOGV="1" RPOGX="0.05005" RPOGY="0.35512" RPOGV="1" BPOGX="0.13224" BPOGY="0.39770" BPOGV="1" LPCX="0.49672" LPCY="0.87272" LPD="19.36086" LPS="1.08758" LPV="1" RPCX="0.75897" RPCY="0.90883" RPD="18.30843" RPS="1.09675" RPV="1" LEYEX="0.00041" LEYEY="-0.07887" LEYEZ="0.67885" LPUPILD="0.00414" LPUPILV="1" REYEX="0.07033" REYEY="-0.08904" REYEZ="0.69836" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12704" FPOGY="0.43645" FPOGS="81.85233" FPOGD="0.40094" FPOGID="217" FPOGV="1" LPOGX="0.21324" LPOGY="0.46709" LPOGV="1" RPOGX="0.02078" RPOGY="0.39273" RPOGV="1" BPOGX="0.11701" BPOGY="0.42991" BPOGV="1" LPCX="0.49532" LPCY="0.87489" LPD="19.56108" LPS="1.09675" LPV="1" RPCX="0.75706" RPCY="0.91125" RPD="19.04652" RPS="1.10591" RPV="1" LEYEX="0.00041" LEYEY="-0.07887" LEYEZ="0.67885" LPUPILD="0.00414" LPUPILV="1" REYEX="0.07033" REYEY="-0.08904" REYEZ="0.69836" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12714" FPOGY="0.43653" FPOGS="81.85233" FPOGD="0.40787" FPOGID="217" FPOGV="1" LPOGX="0.18193" LPOGY="0.43614" LPOGV="1" RPOGX="0.05276" RPOGY="0.41263" RPOGV="1" BPOGX="0.11734" BPOGY="0.42439" BPOGV="1" LPCX="0.49451" LPCY="0.87633" LPD="19.48385" LPS="1.10591" LPV="1" RPCX="0.75614" RPCY="0.91222" RPD="19.05799" RPS="1.11508" RPV="1" LEYEX="0.00041" LEYEY="-0.07887" LEYEZ="0.67885" LPUPILD="0.00416" LPUPILV="1" REYEX="0.07033" REYEY="-0.08904" REYEZ="0.69836" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12727" FPOGY="0.43666" FPOGS="81.85233" FPOGD="0.41458" FPOGID="217" FPOGV="1" LPOGX="0.17793" LPOGY="0.43138" LPOGV="1" RPOGX="0.05276" RPOGY="0.41263" RPOGV="1" BPOGX="0.11534" BPOGY="0.42201" BPOGV="1" LPCX="0.49412" LPCY="0.87674" LPD="19.46239" LPS="1.11508" LPV="1" RPCX="0.75577" RPCY="0.91230" RPD="18.52346" RPS="1.11508" RPV="1" LEYEX="-0.00041" LEYEY="-0.07938" LEYEZ="0.67590" LPUPILD="0.00412" LPUPILV="1" REYEX="0.06629" REYEY="-0.08571" REYEZ="0.66676" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12743" FPOGY="0.43527" FPOGS="81.85233" FPOGD="0.42111" FPOGID="217" FPOGV="1" LPOGX="0.22498" LPOGY="0.40657" LPOGV="1" RPOGX="0.04863" RPOGY="0.34139" RPOGV="1" BPOGX="0.13680" BPOGY="0.37398" BPOGV="1" LPCX="0.49233" LPCY="0.87917" LPD="19.65100" LPS="1.11508" LPV="1" RPCX="0.75354" RPCY="0.91459" RPD="19.36663" RPS="1.10591" RPV="1" LEYEX="-0.00041" LEYEY="-0.07938" LEYEZ="0.67590" LPUPILD="0.00411" LPUPILV="1" REYEX="0.06629" REYEY="-0.08571" REYEZ="0.66676" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12712" FPOGY="0.43460" FPOGS="81.85233" FPOGD="0.42720" FPOGID="217" FPOGV="1" LPOGX="0.19976" LPOGY="0.44578" LPOGV="1" RPOGX="0.05106" RPOGY="0.37307" RPOGV="1" BPOGX="0.12541" BPOGY="0.40943" BPOGV="1" LPCX="0.49133" LPCY="0.88048" LPD="19.77003" LPS="1.10591" LPV="1" RPCX="0.75245" RPCY="0.91558" RPD="18.56653" RPS="1.09675" RPV="1" LEYEX="-0.00041" LEYEY="-0.07938" LEYEZ="0.67590" LPUPILD="0.00413" LPUPILV="1" REYEX="0.06629" REYEY="-0.08571" REYEZ="0.66676" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12688" FPOGY="0.43404" FPOGS="81.85233" FPOGD="0.43578" FPOGID="217" FPOGV="1" LPOGX="0.20362" LPOGY="0.45050" LPOGV="1" RPOGX="0.05106" RPOGY="0.37307" RPOGV="1" BPOGX="0.12734" BPOGY="0.41178" BPOGV="1" LPCX="0.49101" LPCY="0.88087" LPD="19.36443" LPS="1.09675" LPV="1" RPCX="0.75187" RPCY="0.91574" RPD="17.73751" RPS="1.09675" RPV="1" LEYEX="-0.00122" LEYEY="-0.08075" LEYEZ="0.68058" LPUPILD="0.00413" LPUPILV="1" REYEX="0.06910" REYEY="-0.09137" REYEZ="0.70503" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12723" FPOGY="0.43476" FPOGS="81.85233" FPOGD="0.44074" FPOGID="217" FPOGV="1" LPOGX="0.24259" LPOGY="0.46805" LPOGV="1" RPOGX="0.06279" RPOGY="0.45252" RPOGV="1" BPOGX="0.15269" BPOGY="0.46028" BPOGV="1" LPCX="0.48926" LPCY="0.88346" LPD="19.47281" LPS="1.09675" LPV="1" RPCX="0.74959" RPCY="0.91820" RPD="18.77011" RPS="1.10591" RPV="1" LEYEX="-0.00122" LEYEY="-0.08075" LEYEZ="0.68058" LPUPILD="0.00409" LPUPILV="1" REYEX="0.06910" REYEY="-0.09137" REYEZ="0.70503" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
