2025-05-27 11:34:25.568261
179" LEYEY="0.00307" LEYEZ="0.51219" LPUPILD="0.00420" LPUPILV="1" REYEX="0.02536" REYEY="0.00517" REYEZ="0.52620" RPUPILD="0.00385" RPUPILV="1" BKID="972" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4984.30615" FPOGD="0.37305" FPOGID="14364" FPOGV="0" LPOGX="0.63393" LPOGY="0.00353" LPOGV="0" RPOGX="0.62795" RPOGY="-0.17038" RPOGV="0" BPOGX="0.62795" BPOGY="-0.17038" BPOGV="0" LPCX="0.17452" LPCY="0.92205" LPD="16.84113" LPS="0.63703" LPV="1" RPCX="0.62933" RPCY="0.45380" RPD="12.21589" RPS="0.63703" RPV="0" LEYEX="-0.03179" LEYEY="0.00307" LEYEZ="0.51219" LPUPILD="0.00482" LPUPILV="1" REYEX="0.02536" REYEY="0.00517" REYEZ="0.52620" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.02844" BKPMIN="22" />
<REC FPOGX="0.68725" FPOGY="-0.10079" FPOGS="4985.59863" FPOGD="0.09424" FPOGID="14368" FPOGV="1" LPOGX="0.69762" LPOGY="-0.03174" LPOGV="1" RPOGX="0.70896" RPOGY="-0.14723" RPOGV="1" BPOGX="0.70329" BPOGY="-0.08948" BPOGV="1" LPCX="0.39710" LPCY="0.47086" LPD="23.60973" LPS="0.63748" LPV="1" RPCX="0.69388" RPCY="0.46558" RPD="22.91604" RPS="0.64352" RPV="1" LEYEX="-0.02037" LEYEY="0.00243" LEYEZ="0.51470" LPUPILD="0.00424" LPUPILV="1" REYEX="0.03836" REYEY="0.00306" REYEZ="0.52974" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68829" FPOGY="-0.10074" FPOGS="4985.59863" FPOGD="0.10059" FPOGID="14368" FPOGV="1" LPOGX="0.69782" LPOGY="-0.04727" LPOGV="1" RPOGX="0.71006" RPOGY="-0.15256" RPOGV="1" BPOGX="0.70394" BPOGY="-0.09991" BPOGV="1" LPCX="0.39735" LPCY="0.47116" LPD="23.73843" LPS="0.64637" LPV="1" RPCX="0.69404" RPCY="0.46572" RPD="22.99069" RPS="0.64637" RPV="1" LEYEX="-0.02061" LEYEY="0.00235" LEYEZ="0.52168" LPUPILD="0.00428" LPUPILV="1" REYEX="0.03716" REYEY="0.00292" REYEZ="0.51215" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68843" FPOGY="-0.10190" FPOGS="4985.59863" FPOGD="0.10742" FPOGID="14368" FPOGV="1" LPOGX="0.67423" LPOGY="-0.02975" LPOGV="1" RPOGX="0.70707" RPOGY="-0.21140" RPOGV="1" BPOGX="0.69065" BPOGY="-0.12057" BPOGV="1" LPCX="0.39745" LPCY="0.47153" LPD="22.68868" LPS="0.64921" LPV="1" RPCX="0.69432" RPCY="0.46577" RPD="23.09677" RPS="0.64317" RPV="1" LEYEX="-0.02061" LEYEY="0.00235" LEYEZ="0.52168" LPUPILD="0.00452" LPUPILV="1" REYEX="0.03716" REYEY="0.00292" REYEZ="0.51215" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68857" FPOGY="-0.10192" FPOGS="4985.59863" FPOGD="0.11377" FPOGID="14368" FPOGV="1" LPOGX="0.68933" LPOGY="-0.01370" LPOGV="1" RPOGX="0.69235" RPOGY="-0.19077" RPOGV="1" BPOGX="0.69084" BPOGY="-0.10224" BPOGV="1" LPCX="0.39793" LPCY="0.47169" LPD="23.67605" LPS="0.64601" LPV="1" RPCX="0.69445" RPCY="0.46585" RPD="23.20390" RPS="0.63997" RPV="1" LEYEX="-0.02061" LEYEY="0.00235" LEYEZ="0.52168" LPUPILD="0.00440" LPUPILV="1" REYEX="0.03716" REYEY="0.00292" REYEZ="0.51215" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68863" FPOGY="-0.10136" FPOGS="4985.59863" FPOGD="0.12061" FPOGID="14368" FPOGV="1" LPOGX="0.68926" LPOGY="-0.00348" LPOGV="1" RPOGX="0.69015" RPOGY="-0.17896" RPOGV="1" BPOGX="0.68970" BPOGY="-0.09122" BPOGV="1" LPCX="0.39797" LPCY="0.47178" LPD="23.88496" LPS="0.63997" LPV="1" RPCX="0.69460" RPCY="0.46603" RPD="23.27051" RPS="0.63392" RPV="1" LEYEX="-0.01998" LEYEY="0.00229" LEYEZ="0.50864" LPUPILD="0.00436" LPUPILV="1" REYEX="0.03749" REYEY="0.00289" REYEZ="0.51459" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68842" FPOGY="-0.10105" FPOGS="4985.59863" FPOGD="0.12744" FPOGID="14368" FPOGV="1" LPOGX="0.67245" LPOGY="-0.03768" LPOGV="1" RPOGX="0.69641" RPOGY="-0.15292" RPOGV="1" BPOGX="0.68443" BPOGY="-0.09530" BPOGV="1" LPCX="0.39808" LPCY="0.47160" LPD="23.47937" LPS="0.63108" LPV="1" RPCX="0.69490" RPCY="0.46614" RPD="23.14907" RPS="0.63108" RPV="1" LEYEX="-0.01998" LEYEY="0.00229" LEYEZ="0.50864" LPUPILD="0.00436" LPUPILV="1" REYEX="0.03749" REYEY="0.00289" REYEZ="0.51459" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68800" FPOGY="-0.10002" FPOGS="4985.59863" FPOGD="0.13379" FPOGID="14368" FPOGV="1" LPOGX="0.67808" LPOGY="-0.01108" LPOGV="1" RPOGX="0.68117" RPOGY="-0.14751" RPOGV="1" BPOGX="0.67963" BPOGY="-0.07930" BPOGV="1" LPCX="0.39843" LPCY="0.47173" LPD="23.82734" LPS="0.62823" LPV="1" RPCX="0.69499" RPCY="0.46625" RPD="23.11479" RPS="0.62823" RPV="1" LEYEX="-0.01998" LEYEY="0.00229" LEYEZ="0.50864" LPUPILD="0.00421" LPUPILV="1" REYEX="0.03749" REYEY="0.00289" REYEZ="0.51459" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68762" FPOGY="-0.09908" FPOGS="4985.59863" FPOGD="0.14111" FPOGID="14368" FPOGV="1" LPOGX="0.67808" LPOGY="-0.01108" LPOGV="1" RPOGX="0.68117" RPOGY="-0.14751" RPOGV="1" BPOGX="0.67963" BPOGY="-0.07930" BPOGV="1" LPCX="0.39867" LPCY="0.47188" LPD="23.49240" LPS="0.62823" LPV="1" RPCX="0.69527" RPCY="0.46641" RPD="23.07878" RPS="0.62823" RPV="1" LEYEX="-0.02024" LEYEY="0.00219" LEYEZ="0.52036" LPUPILD="0.00419" LPUPILV="1" REYEX="0.03811" REYEY="0.00285" REYEZ="0.52085" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68728" FPOGY="-0.09824" FPOGS="4985.59863" FPOGD="0.14746" FPOGID="14368" FPOGV="1" LPOGX="0.66989" LPOGY="-0.02183" LPOGV="1" RPOGX="0.68977" RPOGY="-0.13795" RPOGV="1" BPOGX="0.67983" BPOGY="-0.07989" BPOGV="1" LPCX="0.39876" LPCY="0.47258" LPD="23.39008" LPS="0.63108" LPV="1" RPCX="0.69555" RPCY="0.46654" RPD="23.06602" RPS="0.63108" RPV="1" LEYEX="-0.02024" LEYEY="0.00219" LEYEZ="0.52036" LPUPILD="0.00439" LPUPILV="1" REYEX="0.03811" REYEY="0.00285" REYEZ="0.52085" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68721" FPOGY="-0.09768" FPOGS="4985.59863" FPOGD="0.15381" FPOGID="14368" FPOGV="1" LPOGX="0.68649" LPOGY="-0.04842" LPOGV="1" RPOGX="0.68455" RPOGY="-0.12104" RPOGV="1" BPOGX="0.68552" BPOGY="-0.08473" BPOGV="1" LPCX="0.39901" LPCY="0.47292" LPD="23.89515" LPS="0.63392" LPV="1" RPCX="0.69583" RPCY="0.46669" RPD="23.02527" RPS="0.63392" RPV="1" LEYEX="-0.02024" LEYEY="0.00219" LEYEZ="0.52036" LPUPILD="0.00434" LPUPILV="1" REYEX="0.03811" REYEY="0.00285" REYEZ="0.52085" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68716" FPOGY="-0.09737" FPOGS="4985.59863" FPOGD="0.16064" FPOGID="14368" FPOGV="1" LPOGX="0.68651" LPOGY="-0.05347" LPOGV="1" RPOGX="0.68557" RPOGY="-0.12635" RPOGV="1" BPOGX="0.68604" BPOGY="-0.08991" BPOGV="1" LPCX="0.39943" LPCY="0.47274" LPD="23.35249" LPS="0.63677" LPV="1" RPCX="0.69597" RPCY="0.46678" RPD="23.15560" RPS="0.63677" RPV="1" LEYEX="-0.02016" LEYEY="0.00212" LEYEZ="0.52222" LPUPILD="0.00448" LPUPILV="1" REYEX="0.03755" REYEY="0.00272" REYEZ="0.51122" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68689" FPOGY="-0.09716" FPOGS="4985.59863" FPOGD="0.16748" FPOGID="14368" FPOGV="1" LPOGX="0.66632" LPOGY="-0.01616" LPOGV="1" RPOGX="0.69408" RPOGY="-0.16765" RPOGV="1" BPOGX="0.68020" BPOGY="-0.09190" BPOGV="1" LPCX="0.39974" LPCY="0.47337" LPD="23.78438" LPS="0.63677" LPV="1" RPCX="0.69643" RPCY="0.46713" RPD="23.22639" RPS="0.63677" RPV="1" LEYEX="-0.02016" LEYEY="0.00212" LEYEZ="0.52222" LPUPILD="0.00443" LPUPILV="1" REYEX="0.03755" REYEY="0.00272" REYEZ="0.51122" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68682" FPOGY="-0.09702" FPOGS="4985.59863" FPOGD="0.17432" FPOGID="14368" FPOGV="1" LPOGX="0.68634" LPOGY="-0.03321" LPOGV="1" RPOGX="0.68353" RPOGY="-0.15345" RPOGV="1" BPOGX="0.68494" BPOGY="-0.09333" BPOGV="1" LPCX="0.39993" LPCY="0.47357" LPD="22.80882" LPS="0.63677" LPV="1" RPCX="0.69660" RPCY="0.46732" RPD="23.07333" RPS="0.63677" RPV="1" LEYEX="-0.02016" LEYEY="0.00212" LEYEZ="0.52222" LPUPILD="0.00436" LPUPILV="1" REYEX="0.03755" REYEY="0.00272" REYEZ="0.51122" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68675" FPOGY="-0.09688" FPOGS="4985.59863" FPOGD="0.18115" FPOGID="14368" FPOGV="1" LPOGX="0.68634" LPOGY="-0.03321" LPOGV="1" RPOGX="0.68353" RPOGY="-0.15345" RPOGV="1" BPOGX="0.68494" BPOGY="-0.09333" BPOGV="1" LPCX="0.40020" LPCY="0.47407" LPD="23.51659" LPS="0.63677" LPV="1" RPCX="0.69678" RPCY="0.46753" RPD="23.23622" RPS="0.63677" RPV="1" LEYEX="-0.02039" LEYEY="0.00204" LEYEZ="0.53230" LPUPILD="0.00437" LPUPILV="1" REYEX="0.03806" REYEY="0.00263" REYEZ="0.51597" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68621" FPOGY="-0.09592" FPOGS="4985.59863" FPOGD="0.18750" FPOGID="14368" FPOGV="1" LPOGX="0.65936" LPOGY="-0.00244" LPOGV="1" RPOGX="0.68293" RPOGY="-0.13533" RPOGV="1" BPOGX="0.67115" BPOGY="-0.06888" BPOGV="1" LPCX="0.40041" LPCY="0.47424" LPD="24.05916" LPS="0.63677" LPV="1" RPCX="0.69694" RPCY="0.46804" RPD="23.31856" RPS="0.63677" RPV="1" LEYEX="-0.02039" LEYEY="0.00204" LEYEZ="0.53230" LPUPILD="0.00420" LPUPILV="1" REYEX="0.03806" REYEY="0.00263" REYEZ="0.51597" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68591" FPOGY="-0.09584" FPOGS="4985.59863" FPOGD="0.19434" FPOGID="14368" FPOGV="1" LPOGX="0.67828" LPOGY="-0.02743" LPOGV="1" RPOGX="0.67595" RPOGY="-0.15962" RPOGV="1" BPOGX="0.67712" BPOGY="-0.09353" BPOGV="1" LPCX="0.40044" LPCY="0.47469" LPD="23.73757" LPS="0.63677" LPV="1" RPCX="0.69720" RPCY="0.46810" RPD="23.21681" RPS="0.63677" RPV="1" LEYEX="-0.02039" LEYEY="0.00204" LEYEZ="0.53230" LPUPILD="0.00438" LPUPILV="1" REYEX="0.03806" REYEY="0.00263" REYEZ="0.51597" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68563" FPOGY="-0.09576" FPOGS="4985.59863" FPOGD="0.20117" FPOGID="14368" FPOGV="1" LPOGX="0.67828" LPOGY="-0.02743" LPOGV="1" RPOGX="0.67595" RPOGY="-0.15962" RPOGV="1" BPOGX="0.67712" BPOGY="-0.09353" BPOGV="1" LPCX="0.40093" LPCY="0.47516" LPD="23.82599" LPS="0.63677" LPV="1" RPCX="0.69712" RPCY="0.46962" RPD="25.15656" RPS="0.63677" RPV="1" LEYEX="-0.02001" LEYEY="0.00190" LEYEZ="0.52663" LPUPILD="0.00437" LPUPILV="1" REYEX="0.03855" REYEY="0.00254" REYEZ="0.52048" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68514" FPOGY="-0.09505" FPOGS="4985.59863" FPOGD="0.20752" FPOGID="14368" FPOGV="1" LPOGX="0.67188" LPOGY="-0.01129" LPOGV="1" RPOGX="0.66847" RPOGY="-0.13421" RPOGV="1" BPOGX="0.67017" BPOGY="-0.07275" BPOGV="1" LPCX="0.40135" LPCY="0.47489" LPD="24.01663" LPS="0.63677" LPV="1" RPCX="0.69802" RPCY="0.46878" RPD="23.12964" RPS="0.63677" RPV="1" LEYEX="-0.02001" LEYEY="0.00190" LEYEZ="0.52663" LPUPILD="0.00414" LPUPILV="1" REYEX="0.03855" REYEY="0.00254" REYEZ="0.52048" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68503" FPOGY="-0.09423" FPOGS="4985.59863" FPOGD="0.21436" FPOGID="14368" FPOGV="1" LPOGX="0.67031" LPOGY="0.00393" LPOGV="1" RPOGX="0.69266" RPOGY="-0.14023" RPOGV="1" BPOGX="0.68148" BPOGY="-0.06815" BPOGV="1" LPCX="0.40175" LPCY="0.47561" LPD="23.69901" LPS="0.63677" LPV="1" RPCX="0.69830" RPCY="0.46880" RPD="23.37721" RPS="0.63677" RPV="1" LEYEX="-0.02001" LEYEY="0.00190" LEYEZ="0.52663" LPUPILD="0.00426" LPUPILV="1" REYEX="0.03855" REYEY="0.00254" REYEZ="0.52048" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68493" FPOGY="-0.09340" FPOGS="4985.59863" FPOGD="0.22070" FPOGID="14368" FPOGV="1" LPOGX="0.67036" LPOGY="0.00871" LPOGV="1" RPOGX="0.69268" RPOGY="-0.14036" RPOGV="1" BPOGX="0.68152" BPOGY="-0.06582" BPOGV="1" LPCX="0.40195" LPCY="0.47571" LPD="23.58871" LPS="0.63392" LPV="1" RPCX="0.69789" RPCY="0.47048" RPD="25.02390" RPS="0.63683" RPV="1" LEYEX="-0.01918" LEYEY="0.00169" LEYEZ="0.51175" LPUPILD="0.00423" LPUPILV="1" REYEX="0.03908" REYEY="0.00248" REYEZ="0.52502" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68506" FPOGY="-0.09289" FPOGS="4985.59863" FPOGD="0.22754" FPOGID="14368" FPOGV="1" LPOGX="0.68841" LPOGY="-0.01452" LPOGV="1" RPOGX="0.69048" RPOGY="-0.13702" RPOGV="1" BPOGX="0.68944" BPOGY="-0.07577" BPOGV="1" LPCX="0.40260" LPCY="0.47582" LPD="23.72741" LPS="0.63399" LPV="1" RPCX="0.69897" RPCY="0.46954" RPD="23.14883" RPS="0.63690" RPV="1" LEYEX="-0.01918" LEYEY="0.00169" LEYEZ="0.51175" LPUPILD="0.00431" LPUPILV="1" REYEX="0.03908" REYEY="0.00248" REYEZ="0.52502" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68495" FPOGY="-0.09168" FPOGS="4985.59863" FPOGD="0.23438" FPOGID="14368" FPOGV="1" LPOGX="0.67649" LPOGY="0.01222" LPOGV="1" RPOGX="0.68610" RPOGY="-0.11064" RPOGV="1" BPOGX="0.68130" BPOGY="-0.04921" BPOGV="1" LPCX="0.40273" LPCY="0.47663" LPD="23.96777" LPS="0.63405" LPV="1" RPCX="0.69928" RPCY="0.46968" RPD="23.10318" RPS="0.63696" RPV="1" LEYEX="-0.01918" LEYEY="0.00169" LEYEZ="0.51175" LPUPILD="0.00446" LPUPILV="1" REYEX="0.03908" REYEY="0.00248" REYEZ="0.52502" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68486" FPOGY="-0.09060" FPOGS="4985.59863" FPOGD="0.24121" FPOGID="14368" FPOGV="1" LPOGX="0.67647" LPOGY="0.00734" LPOGV="1" RPOGX="0.68610" RPOGY="-0.11064" RPOGV="1" BPOGX="0.68129" BPOGY="-0.05165" BPOGV="1" LPCX="0.40301" LPCY="0.47708" LPD="23.34557" LPS="0.63696" LPV="1" RPCX="0.69958" RPCY="0.47000" RPD="23.18218" RPS="0.63696" RPV="1" LEYEX="-0.01939" LEYEY="0.00157" LEYEZ="0.52245" LPUPILD="0.00443" LPUPILV="1" REYEX="0.03783" REYEY="0.00223" REYEZ="0.50462" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68468" FPOGY="-0.09050" FPOGS="4985.59863" FPOGD="0.24805" FPOGID="14368" FPOGV="1" LPOGX="0.67517" LPOGY="-0.02523" LPOGV="1" RPOGX="0.68144" RPOGY="-0.14869" RPOGV="1" BPOGX="0.67831" BPOGY="-0.08696" BPOGV="1" LPCX="0.40371" LPCY="0.47688" LPD="24.02868" LPS="0.63981" LPV="1" RPCX="0.70007" RPCY="0.47042" RPD="23.15648" RPS="0.63690" RPV="1" LEYEX="-0.01939" LEYEY="0.00157" LEYEZ="0.52245" LPUPILD="0.00419" LPUPILV="1" REYEX="0.03783" REYEY="0.00223" REYEZ="0.50462" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68486" FPOGY="-0.08977" FPOGS="4985.59863" FPOGD="0.25439" FPOGID="14368" FPOGV="1" LPOGX="0.69875" LPOGY="-0.00789" LPOGV="1" RPOGX="0.68443" RPOGY="-0.11606" RPOGV="1" BPOGX="0.69159" BPOGY="-0.06198" BPOGV="1" LPCX="0.40367" LPCY="0.47736" LPD="22.63351" LPS="0.63974" LPV="1" RPCX="0.70039" RPCY="0.47068" RPD="23.27377" RPS="0.63683" RPV="1" LEYEX="-0.01939" LEYEY="0.00157" LEYEZ="0.52245" LPUPILD="0.00443" LPUPILV="1" REYEX="0.03783" REYEY="0.00223" REYEZ="0.50462" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
