2025-05-28 15:18:44.272074
" REYEZ="0.64423" RPUPILD="0.00651" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.25432" FPOGY="-0.56174" FPOGS="4785.02002" FPOGD="0.02051" FPOGID="9692" FPOGV="1" LPOGX="1.23114" LPOGY="-0.51374" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.23114" BPOGY="-0.51374" BPOGV="1" LPCX="0.27813" LPCY="0.41436" LPD="18.12337" LPS="0.87025" LPV="1" RPCX="0.51330" RPCY="0.42878" RPD="25.85731" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00463" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.25021" FPOGY="-0.55594" FPOGS="4785.02002" FPOGD="0.02686" FPOGID="9692" FPOGV="1" LPOGX="1.23789" LPOGY="-0.53855" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.23789" BPOGY="-0.53855" BPOGV="1" LPCX="0.27804" LPCY="0.41427" LPD="18.08059" LPS="0.88220" LPV="1" RPCX="0.51334" RPCY="0.42875" RPD="25.79435" RPS="0.89442" RPV="1" LEYEX="-0.05707" LEYEY="0.01403" LEYEZ="0.64507" LPUPILD="0.00471" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.25140" FPOGY="-0.56701" FPOGS="4785.02002" FPOGD="0.03369" FPOGID="9692" FPOGV="1" LPOGX="1.25615" LPOGY="-0.61126" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.25615" BPOGY="-0.61126" BPOGV="1" LPCX="0.27816" LPCY="0.41426" LPD="18.05405" LPS="0.90636" LPV="1" RPCX="0.51348" RPCY="0.42863" RPD="25.72459" RPS="0.91859" RPV="1" LEYEX="-0.05707" LEYEY="0.01403" LEYEZ="0.64507" LPUPILD="0.00463" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00652" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.25600" FPOGY="-0.58451" FPOGS="4785.02002" FPOGD="0.04053" FPOGID="9692" FPOGV="1" LPOGX="1.27899" LPOGY="-0.67201" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.27899" BPOGY="-0.67201" BPOGV="1" LPCX="0.27820" LPCY="0.41421" LPD="18.25930" LPS="0.93053" LPV="1" RPCX="0.51352" RPCY="0.42858" RPD="25.62703" RPS="0.94275" RPV="1" LEYEX="-0.05707" LEYEY="0.01403" LEYEZ="0.64507" LPUPILD="0.00463" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00652" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.26027" FPOGY="-0.60077" FPOGS="4785.02002" FPOGD="0.04785" FPOGID="9692" FPOGV="1" LPOGX="1.28593" LPOGY="-0.69838" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.28593" BPOGY="-0.69838" BPOGV="1" LPCX="0.27829" LPCY="0.41413" LPD="18.34164" LPS="0.94275" LPV="1" RPCX="0.51354" RPCY="0.42857" RPD="25.56746" RPS="0.94275" RPV="1" LEYEX="-0.05293" LEYEY="0.01303" LEYEZ="0.59926" LPUPILD="0.00461" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00652" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.26365" FPOGY="-0.61164" FPOGS="4785.02002" FPOGD="0.05420" FPOGID="9692" FPOGV="1" LPOGX="1.28730" LPOGY="-0.68770" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.28730" BPOGY="-0.68770" BPOGV="1" LPCX="0.27835" LPCY="0.41401" LPD="18.09776" LPS="0.93081" LPV="1" RPCX="0.51360" RPCY="0.42843" RPD="25.79878" RPS="0.91859" RPV="1" LEYEX="-0.05293" LEYEY="0.01303" LEYEZ="0.59926" LPUPILD="0.00462" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00654" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.26583" FPOGY="-0.61455" FPOGS="4785.02002" FPOGD="0.06055" FPOGID="9692" FPOGV="1" LPOGX="1.28328" LPOGY="-0.63780" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.28328" BPOGY="-0.63780" BPOGV="1" LPCX="0.27839" LPCY="0.41394" LPD="18.23353" LPS="0.90664" LPV="1" RPCX="0.51364" RPCY="0.42841" RPD="25.78929" RPS="0.89442" RPV="1" LEYEX="-0.05293" LEYEY="0.01303" LEYEZ="0.59926" LPUPILD="0.00462" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00650" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.26615" FPOGY="-0.61165" FPOGS="4785.02002" FPOGD="0.06738" FPOGID="9692" FPOGV="1" LPOGX="1.26899" LPOGY="-0.58557" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.26899" BPOGY="-0.58557" BPOGV="1" LPCX="0.27836" LPCY="0.41389" LPD="18.17842" LPS="0.88248" LPV="1" RPCX="0.51366" RPCY="0.42834" RPD="25.69869" RPS="0.87025" RPV="1" LEYEX="-0.05293" LEYEY="0.01303" LEYEZ="0.59926" LPUPILD="0.00460" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00649" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.26635" FPOGY="-0.60805" FPOGS="4785.02002" FPOGD="0.07422" FPOGID="9692" FPOGV="1" LPOGX="1.26838" LPOGY="-0.57202" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.26838" BPOGY="-0.57202" BPOGV="1" LPCX="0.27856" LPCY="0.41374" LPD="18.10414" LPS="0.87025" LPV="1" RPCX="0.51382" RPCY="0.42826" RPD="25.73383" RPS="0.87025" RPV="1" LEYEX="-0.05293" LEYEY="0.01303" LEYEZ="0.59926" LPUPILD="0.00464" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00646" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.26635" FPOGY="-0.60805" FPOGS="4785.02002" FPOGD="0.08105" FPOGID="9692" FPOGV="1" LPOGX="1.26838" LPOGY="-0.57202" LPOGV="0" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.26838" BPOGY="-0.57202" BPOGV="0" LPCX="0.27864" LPCY="0.41370" LPD="18.17999" LPS="0.87025" LPV="1" RPCX="0.51390" RPCY="0.42819" RPD="25.75416" RPS="0.87025" RPV="1" LEYEX="-0.05293" LEYEY="0.01303" LEYEZ="0.59926" LPUPILD="0.00455" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00649" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
