2025-06-12 10:40:23.586997
01" REYEZ="0.52747" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.34887" FPOGY="0.40719" FPOGS="2141.46680" FPOGD="0.20825" FPOGID="5239" FPOGV="1" LPOGX="0.33218" LPOGY="0.40537" LPOGV="1" RPOGX="0.34928" RPOGY="0.39962" RPOGV="1" BPOGX="0.34073" BPOGY="0.40249" BPOGV="1" LPCX="0.36984" LPCY="0.69138" LPD="14.96228" LPS="0.88267" LPV="1" RPCX="0.62525" RPCY="0.66512" RPD="12.58169" RPS="0.87688" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00361" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00300" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.34906" FPOGY="0.40702" FPOGS="2141.46680" FPOGD="0.21460" FPOGID="5239" FPOGV="1" LPOGX="0.36300" LPOGY="0.40704" LPOGV="1" RPOGX="0.34709" RPOGY="0.39621" RPOGV="1" BPOGX="0.35505" BPOGY="0.40162" BPOGV="1" LPCX="0.36980" LPCY="0.69140" LPD="14.88408" LPS="0.87688" LPV="1" RPCX="0.62473" RPCY="0.66552" RPD="12.83671" RPS="0.88212" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00360" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00304" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.34896" FPOGY="0.40703" FPOGS="2141.46680" FPOGD="0.22144" FPOGID="5239" FPOGV="1" LPOGX="0.36294" LPOGY="0.43553" LPOGV="1" RPOGX="0.32850" RPOGY="0.37945" RPOGV="1" BPOGX="0.34572" BPOGY="0.40749" BPOGV="1" LPCX="0.36970" LPCY="0.69136" LPD="15.22920" LPS="0.88212" LPV="1" RPCX="0.62469" RPCY="0.66515" RPD="11.85814" RPS="0.88736" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00350" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00293" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.34884" FPOGY="0.40699" FPOGS="2141.46680" FPOGD="0.22974" FPOGID="5239" FPOGV="1" LPOGX="0.36112" LPOGY="0.43198" LPOGV="1" RPOGX="0.32850" RPOGY="0.37945" RPOGV="1" BPOGX="0.34481" BPOGY="0.40572" BPOGV="1" LPCX="0.36966" LPCY="0.69135" LPD="15.23417" LPS="0.88736" LPV="1" RPCX="0.62449" RPCY="0.66548" RPD="11.70033" RPS="0.88736" RPV="1" LEYEX="-0.03033" LEYEY="-0.03785" LEYEZ="0.62531" LPUPILD="0.00357" LPUPILV="1" REYEX="0.02878" REYEY="-0.03156" REYEZ="0.59691" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.34894" FPOGY="0.40666" FPOGS="2141.46680" FPOGD="0.23535" FPOGID="5239" FPOGV="1" LPOGX="0.35873" LPOGY="0.40881" LPOGV="1" RPOGX="0.34620" RPOGY="0.38107" RPOGV="1" BPOGX="0.35246" BPOGY="0.39494" BPOGV="1" LPCX="0.36959" LPCY="0.69154" LPD="15.44864" LPS="0.88736" LPV="1" RPCX="0.62504" RPCY="0.66473" RPD="12.28843" RPS="0.88212" RPV="1" LEYEX="-0.03033" LEYEY="-0.03785" LEYEZ="0.62531" LPUPILD="0.00339" LPUPILV="1" REYEX="0.02878" REYEY="-0.03156" REYEZ="0.59691" RPUPILD="0.00312" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.34892" FPOGY="0.40729" FPOGS="2141.46680" FPOGD="0.24170" FPOGID="5239" FPOGV="1" LPOGX="0.36294" LPOGY="0.43496" LPOGV="1" RPOGX="0.33320" RPOGY="0.42474" RPOGV="1" BPOGX="0.34807" BPOGY="0.42985" BPOGV="1" LPCX="0.36981" LPCY="0.69137" LPD="14.83625" LPS="0.88212" LPV="1" RPCX="0.62478" RPCY="0.66565" RPD="12.12009" RPS="0.87688" RPV="1" LEYEX="-0.03033" LEYEY="-0.03785" LEYEZ="0.62531" LPUPILD="0.00353" LPUPILV="1" REYEX="0.02878" REYEY="-0.03156" REYEZ="0.59691" RPUPILD="0.00307" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.34891" FPOGY="0.40787" FPOGS="2141.46680" FPOGD="0.24805" FPOGID="5239" FPOGV="1" LPOGX="0.36476" LPOGY="0.43851" LPOGV="1" RPOGX="0.33255" RPOGY="0.42029" RPOGV="1" BPOGX="0.34866" BPOGY="0.42940" BPOGV="1" LPCX="0.36971" LPCY="0.69134" LPD="14.56921" LPS="0.87688" LPV="1" RPCX="0.62521" RPCY="0.66546" RPD="12.25614" RPS="0.88267" RPV="1" LEYEX="-0.03010" LEYEY="-0.03764" LEYEZ="0.62043" LPUPILD="0.00360" LPUPILV="1" REYEX="0.02991" REYEY="-0.03271" REYEZ="0.61859" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35053" FPOGY="0.40866" FPOGS="2141.46680" FPOGD="0.25488" FPOGID="5239" FPOGV="1" LPOGX="0.41174" LPOGY="0.48191" LPOGV="1" RPOGX="0.41235" RPOGY="0.39591" RPOGV="1" BPOGX="0.41205" BPOGY="0.43891" BPOGV="1" LPCX="0.37019" LPCY="0.69117" LPD="14.75685" LPS="0.88267" LPV="1" RPCX="0.62569" RPCY="0.66601" RPD="11.84667" RPS="0.89370" RPV="1" LEYEX="-0.03010" LEYEY="-0.03764" LEYEZ="0.62043" LPUPILD="0.00334" LPUPILV="1" REYEX="0.02991" REYEY="-0.03271" REYEZ="0.61859" RPUPILD="0.00309" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35297" FPOGY="0.40834" FPOGS="2141.46680" FPOGD="0.26172" FPOGID="5239" FPOGV="1" LPOGX="0.50890" LPOGY="0.40243" LPOGV="1" RPOGX="0.38723" RPOGY="0.38903" RPOGV="1" BPOGX="0.44806" BPOGY="0.39573" BPOGV="1" LPCX="0.37177" LPCY="0.69127" LPD="13.30793" LPS="0.89370" LPV="1" RPCX="0.62591" RPCY="0.66549" RPD="10.12206" RPS="0.90473" RPV="1" LEYEX="-0.03010" LEYEY="-0.03764" LEYEZ="0.62043" LPUPILD="0.00320" LPUPILV="1" REYEX="0.02991" REYEY="-0.03271" REYEZ="0.61859" RPUPILD="0.00312" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35527" FPOGY="0.40787" FPOGS="2141.46680" FPOGD="0.26831" FPOGID="5239" FPOGV="1" LPOGX="0.50790" LPOGY="0.39854" LPOGV="1" RPOGX="0.38662" RPOGY="0.37981" RPOGV="1" BPOGX="0.44726" BPOGY="0.38917" BPOGV="1" LPCX="0.37300" LPCY="0.69095" LPD="14.60502" LPS="0.89907" LPV="1" RPCX="0.62716" RPCY="0.66555" RPD="11.70709" RPS="0.91653" RPV="1" LEYEX="-0.02884" LEYEY="-0.03656" LEYEZ="0.60472" LPUPILD="0.00315" LPUPILV="1" REYEX="0.03105" REYEY="-0.03363" REYEZ="0.63508" RPUPILD="0.00318" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
