2025-05-27 11:27:24.961974
8" REYEZ="0.50632" RPUPILD="0.00447" RPUPILV="1" BKID="895" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.91253" FPOGY="-0.27856" FPOGS="4565.02539" FPOGD="0.13379" FPOGID="12873" FPOGV="1" LPOGX="0.89981" LPOGY="-0.20209" LPOGV="1" RPOGX="0.92386" RPOGY="-0.32432" RPOGV="1" BPOGX="0.91184" BPOGY="-0.26320" BPOGV="1" LPCX="0.32274" LPCY="0.50785" LPD="21.84455" LPS="0.61187" LPV="1" RPCX="0.61739" RPCY="0.49812" RPD="21.96676" RPS="0.60916" RPV="1" LEYEX="-0.03518" LEYEY="-0.00373" LEYEZ="0.50199" LPUPILD="0.00427" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91248" FPOGY="-0.27773" FPOGS="4565.02539" FPOGD="0.14062" FPOGID="12873" FPOGV="1" LPOGX="0.89893" LPOGY="-0.19612" LPOGV="1" RPOGX="0.92386" RPOGY="-0.32432" RPOGV="1" BPOGX="0.91139" BPOGY="-0.26022" BPOGV="1" LPCX="0.32300" LPCY="0.50847" LPD="21.64610" LPS="0.60916" LPV="1" RPCX="0.61752" RPCY="0.49864" RPD="21.85695" RPS="0.60916" RPV="1" LEYEX="-0.03582" LEYEY="-0.00412" LEYEZ="0.51386" LPUPILD="0.00431" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91240" FPOGY="-0.27734" FPOGS="4565.02539" FPOGD="0.14795" FPOGID="12873" FPOGV="1" LPOGX="0.91028" LPOGY="-0.19971" LPOGV="1" RPOGX="0.91104" RPOGY="-0.33793" RPOGV="1" BPOGX="0.91066" BPOGY="-0.26882" BPOGV="1" LPCX="0.32353" LPCY="0.50921" LPD="21.89929" LPS="0.61181" LPV="1" RPCX="0.61792" RPCY="0.49942" RPD="21.97211" RPS="0.61452" RPV="1" LEYEX="-0.03582" LEYEY="-0.00412" LEYEZ="0.51386" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91231" FPOGY="-0.27686" FPOGS="4565.02539" FPOGD="0.15527" FPOGID="12873" FPOGV="1" LPOGX="0.89030" LPOGY="-0.18998" LPOGV="1" RPOGX="0.93001" RPOGY="-0.34170" RPOGV="1" BPOGX="0.91016" BPOGY="-0.26584" BPOGV="1" LPCX="0.32368" LPCY="0.50947" LPD="21.68837" LPS="0.61717" LPV="1" RPCX="0.61799" RPCY="0.49973" RPD="21.72662" RPS="0.61988" RPV="1" LEYEX="-0.03582" LEYEY="-0.00412" LEYEZ="0.51386" LPUPILD="0.00427" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91233" FPOGY="-0.27689" FPOGS="4565.02539" FPOGD="0.16064" FPOGID="12873" FPOGV="1" LPOGX="0.89195" LPOGY="-0.20155" LPOGV="1" RPOGX="0.93383" RPOGY="-0.35346" RPOGV="1" BPOGX="0.91289" BPOGY="-0.27751" BPOGV="1" LPCX="0.32389" LPCY="0.50986" LPD="21.91149" LPS="0.62252" LPV="1" RPCX="0.61820" RPCY="0.50017" RPD="21.88697" RPS="0.62523" RPV="1" LEYEX="-0.03566" LEYEY="-0.00433" LEYEZ="0.51488" LPUPILD="0.00427" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91262" FPOGY="-0.27754" FPOGS="4565.02539" FPOGD="0.16748" FPOGID="12873" FPOGV="1" LPOGX="0.92670" LPOGY="-0.23023" LPOGV="1" RPOGX="0.91289" RPOGY="-0.35725" RPOGV="1" BPOGX="0.91980" BPOGY="-0.29374" BPOGV="1" LPCX="0.32442" LPCY="0.51020" LPD="21.93620" LPS="0.62523" LPV="1" RPCX="0.61856" RPCY="0.50088" RPD="21.89021" RPS="0.62523" RPV="1" LEYEX="-0.03566" LEYEY="-0.00433" LEYEZ="0.51488" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91269" FPOGY="-0.27772" FPOGS="4565.02539" FPOGD="0.17432" FPOGID="12873" FPOGV="1" LPOGX="0.90287" LPOGY="-0.20818" LPOGV="1" RPOGX="0.92624" RPOGY="-0.35686" RPOGV="1" BPOGX="0.91455" BPOGY="-0.28252" BPOGV="1" LPCX="0.32462" LPCY="0.51046" LPD="21.61371" LPS="0.62523" LPV="1" RPCX="0.61869" RPCY="0.50122" RPD="21.69894" RPS="0.62523" RPV="1" LEYEX="-0.03566" LEYEY="-0.00433" LEYEZ="0.51488" LPUPILD="0.00435" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91276" FPOGY="-0.27789" FPOGS="4565.02539" FPOGD="0.18066" FPOGID="12873" FPOGV="1" LPOGX="0.90287" LPOGY="-0.20818" LPOGV="1" RPOGX="0.92624" RPOGY="-0.35686" RPOGV="1" BPOGX="0.91455" BPOGY="-0.28252" BPOGV="1" LPCX="0.32486" LPCY="0.51067" LPD="21.65293" LPS="0.62523" LPV="1" RPCX="0.61891" RPCY="0.50157" RPD="21.84069" RPS="0.62523" RPV="1" LEYEX="-0.03601" LEYEY="-0.00450" LEYEZ="0.52211" LPUPILD="0.00427" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91291" FPOGY="-0.27766" FPOGS="4565.02539" FPOGD="0.18750" FPOGID="12873" FPOGV="1" LPOGX="0.91087" LPOGY="-0.18001" LPOGV="1" RPOGX="0.92343" RPOGY="-0.36218" RPOGV="1" BPOGX="0.91715" BPOGY="-0.27110" BPOGV="1" LPCX="0.32530" LPCY="0.51093" LPD="21.75479" LPS="0.62523" LPV="1" RPCX="0.61913" RPCY="0.50229" RPD="21.82510" RPS="0.62523" RPV="1" LEYEX="-0.03601" LEYEY="-0.00450" LEYEZ="0.52211" LPUPILD="0.00429" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91274" FPOGY="-0.27780" FPOGS="4565.02539" FPOGD="0.19434" FPOGID="12873" FPOGV="1" LPOGX="0.90267" LPOGY="-0.20954" LPOGV="1" RPOGX="0.91290" RPOGY="-0.35451" RPOGV="1" BPOGX="0.90778" BPOGY="-0.28203" BPOGV="1" LPCX="0.32538" LPCY="0.51100" LPD="21.71051" LPS="0.62523" LPV="1" RPCX="0.61923" RPCY="0.50262" RPD="21.89086" RPS="0.62523" RPV="1" LEYEX="-0.03601" LEYEY="-0.00450" LEYEZ="0.52211" LPUPILD="0.00429" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
