2025-05-27 15:01:01.465699
="-0.06821" LEYEY="-0.01524" LEYEZ="0.63703" LPUPILD="0.00413" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01953" REYEZ="0.65918" RPUPILD="0.00408" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83561" FPOGY="0.12579" FPOGS="4972.69580" FPOGD="0.22803" FPOGID="11908" FPOGV="1" LPOGX="0.93796" LPOGY="0.27518" LPOGV="1" RPOGX="0.75067" RPOGY="-0.01579" RPOGV="1" BPOGX="0.84432" BPOGY="0.12969" BPOGV="1" LPCX="0.22481" LPCY="0.57175" LPD="18.21516" LPS="0.91711" LPV="1" RPCX="0.46247" RPCY="0.59085" RPD="18.85683" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00404" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83523" FPOGY="0.12568" FPOGS="4972.69580" FPOGD="0.23486" FPOGID="11908" FPOGV="1" LPOGX="0.91058" LPOGY="0.22974" LPOGV="1" RPOGX="0.73349" RPOGY="0.01417" RPOGV="1" BPOGX="0.82204" BPOGY="0.12196" BPOGV="1" LPCX="0.22463" LPCY="0.57176" LPD="17.97314" LPS="0.91711" LPV="1" RPCX="0.46216" RPCY="0.59101" RPD="18.76649" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00407" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83484" FPOGY="0.12552" FPOGS="4972.69580" FPOGD="0.24121" FPOGID="11908" FPOGV="1" LPOGX="0.91179" LPOGY="0.22222" LPOGV="1" RPOGX="0.72986" RPOGY="0.01743" RPOGV="1" BPOGX="0.82082" BPOGY="0.11983" BPOGV="1" LPCX="0.22444" LPCY="0.57207" LPD="18.61550" LPS="0.91711" LPV="1" RPCX="0.46193" RPCY="0.59101" RPD="18.23413" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00403" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83447" FPOGY="0.12537" FPOGS="4972.69580" FPOGD="0.24805" FPOGID="11908" FPOGV="1" LPOGX="0.91179" LPOGY="0.22222" LPOGV="1" RPOGX="0.72986" RPOGY="0.01743" RPOGV="1" BPOGX="0.82082" BPOGY="0.11983" BPOGV="1" LPCX="0.22435" LPCY="0.57211" LPD="18.71105" LPS="0.91711" LPV="1" RPCX="0.46197" RPCY="0.59104" RPD="18.42522" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00406" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83449" FPOGY="0.12584" FPOGS="4972.69580" FPOGD="0.25488" FPOGID="11908" FPOGV="1" LPOGX="0.89187" LPOGY="0.24622" LPOGV="1" RPOGX="0.77897" RPOGY="0.04052" RPOGV="1" BPOGX="0.83542" BPOGY="0.14337" BPOGV="1" LPCX="0.22429" LPCY="0.57208" LPD="18.83152" LPS="0.91711" LPV="1" RPCX="0.46190" RPCY="0.59127" RPD="18.72370" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00402" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83473" FPOGY="0.12600" FPOGS="4972.69580" FPOGD="0.26270" FPOGID="11908" FPOGV="1" LPOGX="0.92438" LPOGY="0.26784" LPOGV="1" RPOGX="0.76313" RPOGY="-0.00337" RPOGV="1" BPOGX="0.84375" BPOGY="0.13223" BPOGV="1" LPCX="0.22409" LPCY="0.57224" LPD="18.67234" LPS="0.91711" LPV="1" RPCX="0.46189" RPCY="0.59117" RPD="18.88464" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00417" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00416" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83502" FPOGY="0.12575" FPOGS="4972.69580" FPOGD="0.27588" FPOGID="11908" FPOGV="1" LPOGX="0.93633" LPOGY="0.21620" LPOGV="1" RPOGX="0.75725" RPOGY="0.01529" RPOGV="1" BPOGX="0.84679" BPOGY="0.11575" BPOGV="1" LPCX="0.22408" LPCY="0.57229" LPD="18.67507" LPS="0.91711" LPV="1" RPCX="0.46180" RPCY="0.59137" RPD="18.67151" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00403" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83505" FPOGY="0.12557" FPOGS="4972.69580" FPOGD="0.28174" FPOGID="11908" FPOGV="1" LPOGX="0.92434" LPOGY="0.22657" LPOGV="1" RPOGX="0.74782" RPOGY="0.00993" RPOGV="1" BPOGX="0.83608" BPOGY="0.11825" BPOGV="1" LPCX="0.22400" LPCY="0.57234" LPD="18.57008" LPS="0.91711" LPV="1" RPCX="0.46160" RPCY="0.59152" RPD="18.73858" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00401" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83507" FPOGY="0.12540" FPOGS="4972.69580" FPOGD="0.28906" FPOGID="11908" FPOGV="1" LPOGX="0.92434" LPOGY="0.22657" LPOGV="1" RPOGX="0.74782" RPOGY="0.00993" RPOGV="1" BPOGX="0.83608" BPOGY="0.11825" BPOGV="1" LPCX="0.22393" LPCY="0.57256" LPD="18.73996" LPS="0.91711" LPV="1" RPCX="0.46136" RPCY="0.59180" RPD="18.94734" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00410" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83484" FPOGY="0.12577" FPOGS="4972.69580" FPOGD="0.29541" FPOGID="11908" FPOGV="1" LPOGX="0.91886" LPOGY="0.23170" LPOGV="1" RPOGX="0.73110" RPOGY="0.05232" RPOGV="1" BPOGX="0.82498" BPOGY="0.14201" BPOGV="1" LPCX="0.22382" LPCY="0.57259" LPD="18.69006" LPS="0.91711" LPV="1" RPCX="0.46151" RPCY="0.59180" RPD="18.59909" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00406" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00432" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
