2025-05-29 11:42:27.897056
X="-0.02938" LEYEY="-0.04784" LEYEZ="0.67783" LPUPILD="0.00368" LPUPILV="1" REYEX="0.03047" REYEY="-0.04706" REYEZ="0.67395" RPUPILD="0.00348" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="-0.16721" FPOGY="1.33171" FPOGS="5899.67529" FPOGD="0.26855" FPOGID="14501" FPOGV="1" LPOGX="-0.20798" LPOGY="1.19747" LPOGV="1" RPOGX="-0.12029" RPOGY="1.45012" RPOGV="1" BPOGX="-0.16414" BPOGY="1.32380" BPOGV="1" LPCX="0.35378" LPCY="0.76419" LPD="20.35877" LPS="1.00841" LPV="1" RPCX="0.60101" RPCY="0.75369" RPD="19.12842" RPS="1.00032" RPV="1" LEYEX="-0.03374" LEYEY="-0.05150" LEYEZ="0.64470" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02718" REYEY="-0.05081" REYEZ="0.65780" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16723" FPOGY="1.33155" FPOGS="5899.67529" FPOGD="0.27441" FPOGID="14501" FPOGV="1" LPOGX="-0.21271" LPOGY="1.19764" LPOGV="1" RPOGX="-0.12326" RPOGY="1.45207" RPOGV="1" BPOGX="-0.16798" BPOGY="1.32485" BPOGV="1" LPCX="0.35343" LPCY="0.76387" LPD="20.61099" LPS="1.01363" LPV="1" RPCX="0.60053" RPCY="0.75367" RPD="18.95230" RPS="1.00555" RPV="1" LEYEX="-0.03861" LEYEY="-0.05867" LEYEZ="0.73252" LPUPILD="0.00444" LPUPILV="1" REYEX="0.02786" REYEY="-0.05241" REYEZ="0.67916" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16721" FPOGY="1.33148" FPOGS="5899.67529" FPOGD="0.28125" FPOGID="14501" FPOGV="1" LPOGX="-0.18371" LPOGY="1.21372" LPOGV="1" RPOGX="-0.14922" RPOGY="1.44353" RPOGV="1" BPOGX="-0.16647" BPOGY="1.32863" BPOGV="1" LPCX="0.35314" LPCY="0.76419" LPD="20.32696" LPS="1.01257" LPV="1" RPCX="0.60023" RPCY="0.75368" RPD="19.14939" RPS="1.01257" RPV="1" LEYEX="-0.03861" LEYEY="-0.05867" LEYEZ="0.73252" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02786" REYEY="-0.05241" REYEZ="0.67916" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16736" FPOGY="1.33114" FPOGS="5899.67529" FPOGD="0.28906" FPOGID="14501" FPOGV="1" LPOGX="-0.20650" LPOGY="1.17972" LPOGV="1" RPOGX="-0.14122" RPOGY="1.45369" RPOGV="1" BPOGX="-0.17386" BPOGY="1.31670" BPOGV="1" LPCX="0.35290" LPCY="0.76412" LPD="20.41087" LPS="1.01960" LPV="1" RPCX="0.60021" RPCY="0.75363" RPD="19.15140" RPS="1.01960" RPV="1" LEYEX="-0.03861" LEYEY="-0.05867" LEYEZ="0.73252" LPUPILD="0.00445" LPUPILV="1" REYEX="0.02786" REYEY="-0.05241" REYEZ="0.67916" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16756" FPOGY="1.33086" FPOGS="5899.67529" FPOGD="0.29395" FPOGID="14501" FPOGV="1" LPOGX="-0.20650" LPOGY="1.17972" LPOGV="1" RPOGX="-0.14589" RPOGY="1.45667" RPOGV="1" BPOGX="-0.17620" BPOGY="1.31820" BPOGV="1" LPCX="0.35287" LPCY="0.76406" LPD="20.53842" LPS="1.01960" LPV="1" RPCX="0.60004" RPCY="0.75347" RPD="19.01409" RPS="1.02769" RPV="1" LEYEX="-0.03377" LEYEY="-0.05100" LEYEZ="0.63792" LPUPILD="0.00439" LPUPILV="1" REYEX="0.02754" REYEY="-0.05205" REYEZ="0.67514" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16764" FPOGY="1.33137" FPOGS="5899.67529" FPOGD="0.30078" FPOGID="14501" FPOGV="1" LPOGX="-0.19816" LPOGY="1.21174" LPOGV="1" RPOGX="-0.14398" RPOGY="1.49698" RPOGV="1" BPOGX="-0.17107" BPOGY="1.35436" BPOGV="1" LPCX="0.35180" LPCY="0.76421" LPD="17.55352" LPS="1.02066" LPV="1" RPCX="0.59992" RPCY="0.75324" RPD="19.03559" RPS="1.02875" RPV="1" LEYEX="-0.03377" LEYEY="-0.05100" LEYEZ="0.63792" LPUPILD="0.00431" LPUPILV="1" REYEX="0.02754" REYEY="-0.05205" REYEZ="0.67514" RPUPILD="0.00386" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16775" FPOGY="1.33231" FPOGS="5899.67529" FPOGD="0.30811" FPOGID="14501" FPOGV="1" LPOGX="-0.19082" LPOGY="1.20455" LPOGV="1" RPOGX="-0.15536" RPOGY="1.54668" RPOGV="1" BPOGX="-0.17309" BPOGY="1.37561" BPOGV="1" LPCX="0.35169" LPCY="0.76409" LPD="17.62294" LPS="1.02172" LPV="1" RPCX="0.59984" RPCY="0.75318" RPD="18.96097" RPS="1.02981" RPV="1" LEYEX="-0.03377" LEYEY="-0.05100" LEYEZ="0.63792" LPUPILD="0.00429" LPUPILV="1" REYEX="0.02754" REYEY="-0.05205" REYEZ="0.67514" RPUPILD="0.00384" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16788" FPOGY="1.33322" FPOGS="5899.67529" FPOGD="0.31543" FPOGID="14501" FPOGV="1" LPOGX="-0.19175" LPOGY="1.20459" LPOGV="1" RPOGX="-0.15599" RPOGY="1.54717" RPOGV="1" BPOGX="-0.17387" BPOGY="1.37588" BPOGV="1" LPCX="0.35163" LPCY="0.76428" LPD="17.79890" LPS="1.02279" LPV="1" RPCX="0.59970" RPCY="0.75304" RPD="18.90278" RPS="1.03087" RPV="1" LEYEX="-0.03382" LEYEY="-0.05089" LEYEZ="0.63718" LPUPILD="0.00438" LPUPILV="1" REYEX="0.02715" REYEY="-0.05140" REYEZ="0.66801" RPUPILD="0.00384" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16907" FPOGY="1.33466" FPOGS="5899.67529" FPOGD="0.32129" FPOGID="14501" FPOGV="1" LPOGX="-0.21742" LPOGY="1.17413" LPOGV="1" RPOGX="-0.17920" RPOGY="1.49787" RPOGV="1" BPOGX="-0.19831" BPOGY="1.33600" BPOGV="1" LPCX="0.35136" LPCY="0.76380" LPD="17.76364" LPS="1.03087" LPV="1" RPCX="0.59953" RPCY="0.75290" RPD="18.81301" RPS="1.03087" RPV="1" LEYEX="-0.03382" LEYEY="-0.05089" LEYEZ="0.63718" LPUPILD="0.00428" LPUPILV="1" REYEX="0.02715" REYEY="-0.05140" REYEZ="0.66801" RPUPILD="0.00388" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.17027" FPOGY="1.33549" FPOGS="5899.67529" FPOGD="0.32812" FPOGID="14501" FPOGV="1" LPOGX="-0.22846" LPOGY="1.20069" LPOGV="1" RPOGX="-0.18732" RPOGY="1.48080" RPOGV="1" BPOGX="-0.20789" BPOGY="1.34075" BPOGV="1" LPCX="0.35124" LPCY="0.76359" LPD="17.75759" LPS="1.03087" LPV="1" RPCX="0.59951" RPCY="0.75287" RPD="18.86575" RPS="1.03087" RPV="1" LEYEX="-0.03382" LEYEY="-0.05089" LEYEZ="0.63718" LPUPILD="0.00424" LPUPILV="1" REYEX="0.02715" REYEY="-0.05140" REYEZ="0.66801" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
