2025-05-28 12:10:48.375590
="-0.07239" LEYEY="-0.00630" LEYEZ="0.67228" LPUPILD="0.00385" LPUPILV="1" REYEX="-0.00494" REYEY="-0.00738" REYEZ="0.66505" RPUPILD="0.00310" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.84045" FPOGY="-0.19144" FPOGS="1235.66797" FPOGD="0.12085" FPOGID="1801" FPOGV="1" LPOGX="0.92047" LPOGY="-0.07864" LPOGV="1" RPOGX="0.74598" RPOGY="-0.26690" RPOGV="1" BPOGX="0.83323" BPOGY="-0.17277" BPOGV="1" LPCX="0.22480" LPCY="0.52447" LPD="19.33889" LPS="1.01778" LPV="1" RPCX="0.48583" RPCY="0.53153" RPD="17.10103" RPS="1.02587" RPV="1" LEYEX="-0.06845" LEYEY="-0.00667" LEYEZ="0.64018" LPUPILD="0.00384" LPUPILV="1" REYEX="-0.00460" REYEY="-0.00849" REYEZ="0.68214" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84027" FPOGY="-0.19091" FPOGS="1235.66797" FPOGD="0.12842" FPOGID="1801" FPOGV="1" LPOGX="0.92598" LPOGY="-0.08604" LPOGV="1" RPOGX="0.74770" RPOGY="-0.27585" RPOGV="1" BPOGX="0.83684" BPOGY="-0.18095" BPOGV="1" LPCX="0.22460" LPCY="0.52449" LPD="19.19158" LPS="1.01885" LPV="1" RPCX="0.48579" RPCY="0.53158" RPD="17.01422" RPS="1.02693" RPV="1" LEYEX="-0.06845" LEYEY="-0.00667" LEYEZ="0.64018" LPUPILD="0.00392" LPUPILV="1" REYEX="-0.00460" REYEY="-0.00849" REYEZ="0.68214" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84012" FPOGY="-0.19050" FPOGS="1235.66797" FPOGD="0.13428" FPOGID="1801" FPOGV="1" LPOGX="0.92622" LPOGY="-0.08733" LPOGV="1" RPOGX="0.74799" RPOGY="-0.27723" RPOGV="1" BPOGX="0.83710" BPOGY="-0.18228" BPOGV="1" LPCX="0.22457" LPCY="0.52449" LPD="19.44038" LPS="1.01991" LPV="1" RPCX="0.48570" RPCY="0.53114" RPD="17.08189" RPS="1.02800" RPV="1" LEYEX="-0.06845" LEYEY="-0.00667" LEYEZ="0.64018" LPUPILD="0.00392" LPUPILV="1" REYEX="-0.00460" REYEY="-0.00849" REYEZ="0.68214" RPUPILD="0.00386" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.83973" FPOGY="-0.18936" FPOGS="1235.66797" FPOGD="0.14099" FPOGID="1801" FPOGV="1" LPOGX="0.91907" LPOGY="-0.10446" LPOGV="1" RPOGX="0.74394" RPOGY="-0.22657" RPOGV="1" BPOGX="0.83151" BPOGY="-0.16552" BPOGV="1" LPCX="0.22452" LPCY="0.52435" LPD="19.57082" LPS="1.02800" LPV="1" RPCX="0.48569" RPCY="0.53080" RPD="16.64708" RPS="1.02800" RPV="1" LEYEX="-0.06845" LEYEY="-0.00667" LEYEZ="0.64018" LPUPILD="0.00391" LPUPILV="1" REYEX="-0.00460" REYEY="-0.00849" REYEZ="0.68214" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.83969" FPOGY="-0.18857" FPOGS="1235.66797" FPOGD="0.14746" FPOGID="1801" FPOGV="1" LPOGX="0.94248" LPOGY="-0.10259" LPOGV="1" RPOGX="0.73522" RPOGY="-0.23948" RPOGV="1" BPOGX="0.83885" BPOGY="-0.17104" BPOGV="1" LPCX="0.22450" LPCY="0.52432" LPD="19.33668" LPS="1.02800" LPV="1" RPCX="0.48562" RPCY="0.53079" RPD="16.74028" RPS="1.02800" RPV="1" LEYEX="-0.06845" LEYEY="-0.00667" LEYEZ="0.64018" LPUPILD="0.00394" LPUPILV="1" REYEX="-0.00460" REYEY="-0.00849" REYEZ="0.68214" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.83976" FPOGY="-0.18840" FPOGS="1235.66797" FPOGD="0.15430" FPOGID="1801" FPOGV="1" LPOGX="0.94597" LPOGY="-0.12084" LPOGV="1" RPOGX="0.73702" RPOGY="-0.24808" RPOGV="1" BPOGX="0.84150" BPOGY="-0.18446" BPOGV="1" LPCX="0.22450" LPCY="0.52432" LPD="19.33668" LPS="1.04293" LPV="1" RPCX="0.48554" RPCY="0.53081" RPD="16.42272" RPS="1.03484" RPV="1" LEYEX="-0.07290" LEYEY="-0.00705" LEYEZ="0.68081" LPUPILD="0.00394" LPUPILV="1" REYEX="-0.00429" REYEY="-0.00778" REYEZ="0.62857" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84067" FPOGY="-0.18919" FPOGS="1235.66797" FPOGD="0.16064" FPOGID="1801" FPOGV="1" LPOGX="0.98639" LPOGY="-0.14473" LPOGV="1" RPOGX="0.73869" RPOGY="-0.27153" RPOGV="1" BPOGX="0.86254" BPOGY="-0.20813" BPOGV="1" LPCX="0.22447" LPCY="0.52435" LPD="19.20369" LPS="1.04977" LPV="1" RPCX="0.48546" RPCY="0.53077" RPD="16.54506" RPS="1.04168" RPV="1" LEYEX="-0.07290" LEYEY="-0.00705" LEYEZ="0.68081" LPUPILD="0.00393" LPUPILV="1" REYEX="-0.00429" REYEY="-0.00778" REYEZ="0.62857" RPUPILD="0.00381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84203" FPOGY="-0.19045" FPOGS="1235.66797" FPOGD="0.16736" FPOGID="1801" FPOGV="1" LPOGX="0.98388" LPOGY="-0.16682" LPOGV="1" RPOGX="0.76825" RPOGY="-0.27738" RPOGV="1" BPOGX="0.87606" BPOGY="-0.22210" BPOGV="1" LPCX="0.22445" LPCY="0.52436" LPD="19.15727" LPS="1.05661" LPV="1" RPCX="0.48524" RPCY="0.53046" RPD="15.87787" RPS="1.04852" RPV="1" LEYEX="-0.07290" LEYEY="-0.00705" LEYEZ="0.68081" LPUPILD="0.00393" LPUPILV="1" REYEX="-0.00429" REYEY="-0.00778" REYEZ="0.62857" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84336" FPOGY="-0.19194" FPOGS="1235.66797" FPOGD="0.17371" FPOGID="1801" FPOGV="1" LPOGX="0.98567" LPOGY="-0.17548" LPOGV="1" RPOGX="0.77020" RPOGY="-0.28602" RPOGV="1" BPOGX="0.87794" BPOGY="-0.23075" BPOGV="1" LPCX="0.22445" LPCY="0.52434" LPD="19.19170" LPS="1.06345" LPV="1" RPCX="0.48518" RPCY="0.53058" RPD="16.06637" RPS="1.05537" RPV="1" LEYEX="-0.07290" LEYEY="-0.00705" LEYEZ="0.68081" LPUPILD="0.00393" LPUPILV="1" REYEX="-0.00435" REYEY="-0.00783" REYEZ="0.63697" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84445" FPOGY="-0.19339" FPOGS="1235.66797" FPOGD="0.18066" FPOGID="1801" FPOGV="1" LPOGX="0.97954" LPOGY="-0.17619" LPOGV="1" RPOGX="0.76805" RPOGY="-0.28884" RPOGV="1" BPOGX="0.87379" BPOGY="-0.23252" BPOGV="1" LPCX="0.22442" LPCY="0.52434" LPD="19.30918" LPS="1.05537" LPV="1" RPCX="0.48530" RPCY="0.53029" RPD="16.30990" RPS="1.05537" RPV="1" LEYEX="-0.07290" LEYEY="-0.00705" LEYEZ="0.68081" LPUPILD="0.00389" LPUPILV="1" REYEX="-0.00435" REYEY="-0.00783" REYEZ="0.63697" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
