Model,Animation,Best Parameters,Best CV Accuracy,Train Accuracy,Test Accuracy
SVC (80/20),verticalmult,"{'scaler': MinMaxScaler(), 'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.6174,0.9653,0.6923
MLP (80/20),verticalmult,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",0.6062,1.0,0.6308
Naive Bayes (S1+S2 vs S3),verticalmult,{'scaler': MinMaxScaler()},0.5833,0.9769,0.4815
KNN (S1+S2 vs S3),verticalmult,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.5882,1.0,0.5093
Logistic Regression (S1+S2 vs S3),verticalmult,"{'logreg__C': 10, 'scaler': MinMaxScaler()}",0.6206,0.9954,0.5833
Random Forest (S1+S2 vs S3),verticalmult,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': RobustScaler()}",0.6578,1.0,0.5926
SVC (S1+S2 vs S3),verticalmult,"{'scaler': MinMaxScaler(), 'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.6577,1.0,0.6204
MLP (S1+S2 vs S3),verticalmult,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': MinMaxScaler()}",0.6205,0.9907,0.5463
Naive Bayes (80/20),verticalsing,{'scaler': RobustScaler()},0.5673,0.9537,0.6308
KNN (80/20),verticalsing,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.6027,1.0,0.6154
Logistic Regression (80/20),verticalsing,"{'logreg__C': 100, 'scaler': MinMaxScaler()}",0.6141,0.9923,0.5846
Random Forest (80/20),verticalsing,"{'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",0.7026,1.0,0.6923
SVC (80/20),verticalsing,"{'scaler': MinMaxScaler(), 'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.6489,1.0,0.6308
MLP (80/20),verticalsing,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",0.6296,1.0,0.5692
Naive Bayes (S1+S2 vs S3),verticalsing,{'scaler': MinMaxScaler()},0.5374,0.9722,0.4352
KNN (S1+S2 vs S3),verticalsing,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.6295,1.0,0.4537
Logistic Regression (S1+S2 vs S3),verticalsing,"{'logreg__C': 100, 'scaler': MinMaxScaler()}",0.6715,1.0,0.4815
Random Forest (S1+S2 vs S3),verticalsing,"{'rf__max_depth': 30, 'rf__max_features': 'sqrt', 'rf__n_estimators': 50, 'scaler': MinMaxScaler()}",0.667,1.0,0.5556
SVC (S1+S2 vs S3),verticalsing,"{'scaler': StandardScaler(), 'svc__C': 100, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.6714,1.0,0.463
MLP (S1+S2 vs S3),verticalsing,"{'mlp__activation': 'relu', 'mlp__alpha': 0.01, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam', 'scaler': MinMaxScaler()}",0.6717,0.9769,0.5278
