2025-05-28 12:16:00.140599
="-0.07123" LEYEY="-0.02015" LEYEZ="0.62050" LPUPILD="0.00351" LPUPILV="1" REYEX="-0.00619" REYEY="-0.02076" REYEZ="0.64519" RPUPILD="0.00362" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76331" FPOGY="-0.02311" FPOGS="1547.37939" FPOGD="0.17407" FPOGID="2880" FPOGV="1" LPOGX="0.90190" LPOGY="0.10455" LPOGV="1" RPOGX="0.67335" RPOGY="-0.05705" RPOGV="1" BPOGX="0.78762" BPOGY="0.02375" BPOGV="1" LPCX="0.20933" LPCY="0.59736" LPD="19.50844" LPS="0.93519" LPV="1" RPCX="0.48315" RPCY="0.59637" RPD="17.34577" RPS="0.94162" RPV="1" LEYEX="-0.07007" LEYEY="-0.02033" LEYEZ="0.62180" LPUPILD="0.00364" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00364" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76485" FPOGY="0.00588" FPOGS="1547.37939" FPOGD="0.17407" FPOGID="2880" FPOGV="0" LPOGX="0.90193" LPOGY="0.10439" LPOGV="1" RPOGX="0.67338" RPOGY="-0.05722" RPOGV="1" BPOGX="0.78766" BPOGY="0.02358" BPOGV="1" LPCX="0.20930" LPCY="0.59733" LPD="19.44663" LPS="0.93533" LPV="1" RPCX="0.48317" RPCY="0.59633" RPD="17.45002" RPS="0.94177" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00363" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.77249" FPOGY="0.00763" FPOGS="1547.37939" FPOGD="0.17407" FPOGID="2880" FPOGV="0" LPOGX="0.89759" LPOGY="0.09336" LPOGV="1" RPOGX="0.66267" RPOGY="-0.07461" RPOGV="1" BPOGX="0.78013" BPOGY="0.00938" BPOGV="1" LPCX="0.20928" LPCY="0.59729" LPD="19.66824" LPS="0.94177" LPV="1" RPCX="0.48319" RPCY="0.59626" RPD="17.47496" RPS="0.94177" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00360" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00350" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.77278" FPOGY="0.00811" FPOGS="1547.37939" FPOGD="0.17407" FPOGID="2880" FPOGV="0" LPOGX="0.88892" LPOGY="0.09719" LPOGV="1" RPOGX="0.65783" RPOGY="-0.07905" RPOGV="1" BPOGX="0.77337" BPOGY="0.00907" BPOGV="1" LPCX="0.20919" LPCY="0.59730" LPD="19.48205" LPS="0.94177" LPV="1" RPCX="0.48313" RPCY="0.59631" RPD="17.62970" RPS="0.94177" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00367" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00351" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.77293" FPOGY="0.00835" FPOGS="1547.56018" FPOGD="0.02026" FPOGID="2881" FPOGV="1" LPOGX="0.88892" LPOGY="0.09719" LPOGV="1" RPOGX="0.65783" RPOGY="-0.07905" RPOGV="1" BPOGX="0.77337" BPOGY="0.00907" BPOGV="1" LPCX="0.20911" LPCY="0.59730" LPD="19.36433" LPS="0.94177" LPV="1" RPCX="0.48325" RPCY="0.59600" RPD="17.36196" RPS="0.94177" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00368" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.77247" FPOGY="0.00911" FPOGS="1547.56018" FPOGD="0.02673" FPOGID="2881" FPOGV="1" LPOGX="0.88555" LPOGY="0.09190" LPOGV="1" RPOGX="0.65575" RPOGY="-0.06756" RPOGV="1" BPOGX="0.77065" BPOGY="0.01217" BPOGV="1" LPCX="0.20901" LPCY="0.59744" LPD="19.32319" LPS="0.94177" LPV="1" RPCX="0.48315" RPCY="0.59604" RPD="17.56215" RPS="0.94177" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00377" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00364" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.77212" FPOGY="0.00970" FPOGS="1547.56018" FPOGD="0.03357" FPOGID="2881" FPOGV="1" LPOGX="0.88278" LPOGY="0.08668" LPOGV="1" RPOGX="0.65796" RPOGY="-0.06134" RPOGV="1" BPOGX="0.77037" BPOGY="0.01267" BPOGV="1" LPCX="0.20899" LPCY="0.59738" LPD="19.29704" LPS="0.94177" LPV="1" RPCX="0.48312" RPCY="0.59599" RPD="16.92659" RPS="0.94177" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00376" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.77206" FPOGY="0.00909" FPOGS="1547.56018" FPOGD="0.04004" FPOGID="2881" FPOGV="1" LPOGX="0.88403" LPOGY="0.07974" LPOGV="1" RPOGX="0.65932" RPOGY="-0.06888" RPOGV="1" BPOGX="0.77168" BPOGY="0.00543" BPOGV="1" LPCX="0.20896" LPCY="0.59741" LPD="19.39985" LPS="0.94805" LPV="1" RPCX="0.48291" RPCY="0.59610" RPD="17.12647" RPS="0.94805" RPV="1" LEYEX="-0.07258" LEYEY="-0.02100" LEYEZ="0.64360" LPUPILD="0.00378" LPUPILV="1" REYEX="-0.00488" REYEY="-0.02078" REYEZ="0.63842" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.77294" FPOGY="0.00894" FPOGS="1547.56018" FPOGD="0.04639" FPOGID="2881" FPOGV="1" LPOGX="0.90869" LPOGY="0.08954" LPOGV="1" RPOGX="0.64952" RPOGY="-0.07379" RPOGV="1" BPOGX="0.77911" BPOGY="0.00787" BPOGV="1" LPCX="0.20897" LPCY="0.59741" LPD="19.48598" LPS="0.95434" LPV="1" RPCX="0.48280" RPCY="0.59647" RPD="17.09329" RPS="0.95434" RPV="1" LEYEX="-0.07258" LEYEY="-0.02100" LEYEZ="0.64360" LPUPILD="0.00377" LPUPILV="1" REYEX="-0.00488" REYEY="-0.02078" REYEZ="0.63842" RPUPILD="0.00353" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.77683" FPOGY="0.00789" FPOGS="1547.56018" FPOGD="0.05322" FPOGID="2881" FPOGV="1" LPOGX="0.92429" LPOGY="0.08893" LPOGV="1" RPOGX="0.69159" RPOGY="-0.08989" RPOGV="1" BPOGX="0.80794" BPOGY="-0.00048" BPOGV="1" LPCX="0.20890" LPCY="0.59739" LPD="19.14893" LPS="0.96063" LPV="1" RPCX="0.48286" RPCY="0.59608" RPD="17.12133" RPS="0.96063" RPV="1" LEYEX="-0.07258" LEYEY="-0.02100" LEYEZ="0.64360" LPUPILD="0.00379" LPUPILV="1" REYEX="-0.00488" REYEY="-0.02078" REYEZ="0.63842" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
