2025-05-27 11:34:28.489574
 REYEZ="0.53430" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.89880" FPOGY="0.38190" FPOGS="4988.66650" FPOGD="0.02002" FPOGID="14375" FPOGV="1" LPOGX="0.90851" LPOGY="0.45612" LPOGV="1" RPOGX="0.93087" RPOGY="0.28121" RPOGV="1" BPOGX="0.91969" BPOGY="0.36867" BPOGV="1" LPCX="0.34781" LPCY="0.50618" LPD="26.35174" LPS="0.61732" LPV="1" RPCX="0.64796" RPCY="0.47878" RPD="27.02112" RPS="0.61461" RPV="1" LEYEX="-0.03104" LEYEY="-0.00243" LEYEZ="0.51508" LPUPILD="0.00465" LPUPILV="1" REYEX="0.02698" REYEY="0.00176" REYEZ="0.50917" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90248" FPOGY="0.38020" FPOGS="4988.66650" FPOGD="0.02686" FPOGID="14375" FPOGV="1" LPOGX="0.90755" LPOGY="0.45900" LPOGV="1" RPOGX="0.92689" RPOGY="0.28780" RPOGV="1" BPOGX="0.91722" BPOGY="0.37340" BPOGV="1" LPCX="0.34795" LPCY="0.50622" LPD="26.56790" LPS="0.61461" LPV="1" RPCX="0.64811" RPCY="0.47888" RPD="27.08342" RPS="0.60938" RPV="1" LEYEX="-0.03045" LEYEY="-0.00240" LEYEZ="0.50712" LPUPILD="0.00464" LPUPILV="1" REYEX="0.02641" REYEY="0.00167" REYEZ="0.49350" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90332" FPOGY="0.38375" FPOGS="4988.66650" FPOGD="0.03369" FPOGID="14375" FPOGV="1" LPOGX="0.89170" LPOGY="0.47736" LPOGV="1" RPOGX="0.92333" RPOGY="0.32567" RPOGV="1" BPOGX="0.90751" BPOGY="0.40152" BPOGV="1" LPCX="0.34833" LPCY="0.50634" LPD="26.38157" LPS="0.60673" LPV="1" RPCX="0.64868" RPCY="0.47885" RPD="26.64171" RPS="0.60420" RPV="1" LEYEX="-0.03045" LEYEY="-0.00240" LEYEZ="0.50712" LPUPILD="0.00462" LPUPILV="1" REYEX="0.02641" REYEY="0.00167" REYEZ="0.49350" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90403" FPOGY="0.38919" FPOGS="4988.66650" FPOGD="0.04053" FPOGID="14375" FPOGV="1" LPOGX="0.90221" LPOGY="0.49868" LPOGV="1" RPOGX="0.91441" RPOGY="0.34496" RPOGV="1" BPOGX="0.90831" BPOGY="0.42182" BPOGV="1" LPCX="0.34848" LPCY="0.50635" LPD="26.26622" LPS="0.60155" LPV="1" RPCX="0.64884" RPCY="0.47916" RPD="27.28119" RPS="0.59902" RPV="1" LEYEX="-0.03045" LEYEY="-0.00240" LEYEZ="0.50712" LPUPILD="0.00462" LPUPILV="1" REYEX="0.02641" REYEY="0.00167" REYEZ="0.49350" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90464" FPOGY="0.39323" FPOGS="4988.66650" FPOGD="0.04688" FPOGID="14375" FPOGV="1" LPOGX="0.90132" LPOGY="0.50124" LPOGV="1" RPOGX="0.91646" RPOGY="0.34173" RPOGV="1" BPOGX="0.90889" BPOGY="0.42149" BPOGV="1" LPCX="0.34872" LPCY="0.50643" LPD="26.29296" LPS="0.59902" LPV="1" RPCX="0.64886" RPCY="0.47938" RPD="27.02724" RPS="0.60173" RPV="1" LEYEX="-0.03070" LEYEY="-0.00243" LEYEZ="0.51452" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02641" REYEY="0.00167" REYEZ="0.49350" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90578" FPOGY="0.39086" FPOGS="4988.66650" FPOGD="0.05371" FPOGID="14375" FPOGV="1" LPOGX="0.89269" LPOGY="0.45286" LPOGV="1" RPOGX="0.93717" RPOGY="0.29106" RPOGV="1" BPOGX="0.91493" BPOGY="0.37196" BPOGV="1" LPCX="0.34909" LPCY="0.50637" LPD="26.47147" LPS="0.60438" LPV="1" RPCX="0.64962" RPCY="0.47962" RPD="27.23035" RPS="0.60962" RPV="1" LEYEX="-0.03070" LEYEY="-0.00243" LEYEZ="0.51452" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02641" REYEY="0.00167" REYEZ="0.49350" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90661" FPOGY="0.38941" FPOGS="4988.66650" FPOGD="0.06104" FPOGID="14375" FPOGV="1" LPOGX="0.91015" LPOGY="0.45573" LPOGV="1" RPOGX="0.91793" RPOGY="0.29687" RPOGV="1" BPOGX="0.91404" BPOGY="0.37630" BPOGV="1" LPCX="0.34930" LPCY="0.50645" LPD="26.58247" LPS="0.61227" LPV="1" RPCX="0.64984" RPCY="0.47968" RPD="26.84251" RPS="0.61750" RPV="1" LEYEX="-0.03070" LEYEY="-0.00243" LEYEZ="0.51452" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02641" REYEY="0.00167" REYEZ="0.49350" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90750" FPOGY="0.38768" FPOGS="4988.66650" FPOGD="0.06689" FPOGID="14375" FPOGV="1" LPOGX="0.91297" LPOGY="0.44728" LPOGV="1" RPOGX="0.91988" RPOGY="0.29362" RPOGV="1" BPOGX="0.91643" BPOGY="0.37045" BPOGV="1" LPCX="0.34960" LPCY="0.50653" LPD="26.39766" LPS="0.62015" LPV="1" RPCX="0.65022" RPCY="0.47980" RPD="27.00753" RPS="0.62015" RPV="1" LEYEX="-0.03031" LEYEY="-0.00241" LEYEZ="0.51054" LPUPILD="0.00463" LPUPILV="1" REYEX="0.02697" REYEY="0.00153" REYEZ="0.49702" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90783" FPOGY="0.38736" FPOGS="4988.66650" FPOGD="0.07373" FPOGID="14375" FPOGV="1" LPOGX="0.90799" LPOGY="0.44528" LPOGV="1" RPOGX="0.91480" RPOGY="0.32228" RPOGV="1" BPOGX="0.91140" BPOGY="0.38378" BPOGV="1" LPCX="0.34999" LPCY="0.50647" LPD="26.65328" LPS="0.62015" LPV="1" RPCX="0.65027" RPCY="0.48028" RPD="26.98212" RPS="0.61491" RPV="1" LEYEX="-0.03031" LEYEY="-0.00241" LEYEZ="0.51054" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02697" REYEY="0.00153" REYEZ="0.49702" RPUPILD="0.00510" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90843" FPOGY="0.38739" FPOGS="4988.66650" FPOGD="0.08008" FPOGID="14375" FPOGV="1" LPOGX="0.90069" LPOGY="0.44511" LPOGV="1" RPOGX="0.93059" RPOGY="0.33050" RPOGV="1" BPOGX="0.91564" BPOGY="0.38781" BPOGV="1" LPCX="0.35020" LPCY="0.50656" LPD="26.48508" LPS="0.61491" LPV="1" RPCX="0.65090" RPCY="0.48032" RPD="27.37087" RPS="0.60968" RPV="1" LEYEX="-0.03031" LEYEY="-0.00241" LEYEZ="0.51054" LPUPILD="0.00461" LPUPILV="1" REYEX="0.02697" REYEY="0.00153" REYEZ="0.49702" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90874" FPOGY="0.38785" FPOGS="4988.66650" FPOGD="0.08691" FPOGID="14375" FPOGV="1" LPOGX="0.89890" LPOGY="0.45078" LPOGV="1" RPOGX="0.92657" RPOGY="0.33674" RPOGV="1" BPOGX="0.91273" BPOGY="0.39376" BPOGV="1" LPCX="0.35052" LPCY="0.50659" LPD="26.63729" LPS="0.60968" LPV="1" RPCX="0.65112" RPCY="0.48046" RPD="27.13229" RPS="0.60444" RPV="1" LEYEX="-0.03004" LEYEY="-0.00240" LEYEZ="0.50854" LPUPILD="0.00462" LPUPILV="1" REYEX="0.02669" REYEY="0.00139" REYEZ="0.48773" RPUPILD="0.00497" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90855" FPOGY="0.38728" FPOGS="4988.66650" FPOGD="0.09326" FPOGID="14375" FPOGV="1" LPOGX="0.88832" LPOGY="0.46539" LPOGV="1" RPOGX="0.92348" RPOGY="0.29343" RPOGV="1" BPOGX="0.90590" BPOGY="0.37941" BPOGV="1" LPCX="0.35095" LPCY="0.50659" LPD="26.36033" LPS="0.60444" LPV="1" RPCX="0.65194" RPCY="0.48049" RPD="26.96707" RPS="0.60444" RPV="1" LEYEX="-0.03004" LEYEY="-0.00240" LEYEZ="0.50854" LPUPILD="0.00463" LPUPILV="1" REYEX="0.02669" REYEY="0.00139" REYEZ="0.48773" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.90852" FPOGY="0.38694" FPOGS="4988.66650" FPOGD="0.09961" FPOGID="14375" FPOGV="1" LPOGX="0.90820" LPOGY="0.46245" LPOGV="1" RPOGX="0.90796" RPOGY="0.30103" RPOGV="1" BPOGX="0.90808" BPOGY="0.38174" BPOGV="1" LPCX="0.35126" LPCY="0.50656" LPD="26.55361" LPS="0.60444" LPV="1" RPCX="0.65230" RPCY="0.48055" RPD="27.19363" RPS="0.60444" RPV="1" LEYEX="-0.03004" LEYEY="-0.00240" LEYEZ="0.50854" LPUPILD="0.00458" LPUPILV="1" REYEX="0.02669" REYEY="0.00139" REYEZ="0.48773" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
