2025-05-27 11:35:24.946199
EZ="0.50469" RPUPILD="0.00718" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60212" FPOGY="0.28909" FPOGS="5044.99365" FPOGD="0.17383" FPOGID="14595" FPOGV="1" LPOGX="0.60354" LPOGY="0.35673" LPOGV="1" RPOGX="0.58602" RPOGY="0.23225" RPOGV="1" BPOGX="0.59478" BPOGY="0.29449" BPOGV="1" LPCX="0.32257" LPCY="0.48665" LPD="26.52633" LPS="0.58693" LPV="1" RPCX="0.63577" RPCY="0.46569" RPD="27.74349" RPS="0.58440" RPV="1" LEYEX="-0.03246" LEYEY="0.00040" LEYEZ="0.48281" LPUPILD="0.00456" LPUPILV="1" REYEX="0.02535" REYEY="0.00341" REYEZ="0.49439" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60193" FPOGY="0.28907" FPOGS="5044.99365" FPOGD="0.18018" FPOGID="14595" FPOGV="1" LPOGX="0.60676" LPOGY="0.34984" LPOGV="1" RPOGX="0.58661" RPOGY="0.22685" RPOGV="1" BPOGX="0.59668" BPOGY="0.28835" BPOGV="1" LPCX="0.32122" LPCY="0.48697" LPD="25.83348" LPS="0.58209" LPV="1" RPCX="0.63464" RPCY="0.46531" RPD="26.98475" RPS="0.57956" RPV="1" LEYEX="-0.03246" LEYEY="0.00040" LEYEZ="0.48281" LPUPILD="0.00467" LPUPILV="1" REYEX="0.02535" REYEY="0.00341" REYEZ="0.49439" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60175" FPOGY="0.28909" FPOGS="5044.99365" FPOGD="0.18701" FPOGID="14595" FPOGV="1" LPOGX="0.60707" LPOGY="0.35295" LPOGV="1" RPOGX="0.58661" RPOGY="0.22685" RPOGV="1" BPOGX="0.59684" BPOGY="0.28990" BPOGV="1" LPCX="0.32006" LPCY="0.48718" LPD="25.88774" LPS="0.57956" LPV="1" RPCX="0.63327" RPCY="0.46549" RPD="27.88155" RPS="0.57956" RPV="1" LEYEX="-0.03399" LEYEY="0.00030" LEYEZ="0.49292" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02489" REYEY="0.00350" REYEZ="0.50235" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60189" FPOGY="0.28975" FPOGS="5044.99365" FPOGD="0.19336" FPOGID="14595" FPOGV="1" LPOGX="0.61598" LPOGY="0.38395" LPOGV="1" RPOGX="0.59604" RPOGY="0.23340" RPOGV="1" BPOGX="0.60601" BPOGY="0.30867" BPOGV="1" LPCX="0.31792" LPCY="0.48772" LPD="26.28196" LPS="0.58188" LPV="1" RPCX="0.63121" RPCY="0.46496" RPD="27.21708" RPS="0.58440" RPV="1" LEYEX="-0.03399" LEYEY="0.00030" LEYEZ="0.49292" LPUPILD="0.00462" LPUPILV="1" REYEX="0.02489" REYEY="0.00350" REYEZ="0.50235" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60220" FPOGY="0.28985" FPOGS="5044.99365" FPOGD="0.20068" FPOGID="14595" FPOGV="1" LPOGX="0.61783" LPOGY="0.34254" LPOGV="1" RPOGX="0.60485" RPOGY="0.24326" RPOGV="1" BPOGX="0.61134" BPOGY="0.29290" BPOGV="1" LPCX="0.31682" LPCY="0.48790" LPD="25.91381" LPS="0.58672" LPV="1" RPCX="0.63014" RPCY="0.46484" RPD="26.86493" RPS="0.58925" RPV="1" LEYEX="-0.03399" LEYEY="0.00030" LEYEZ="0.49292" LPUPILD="0.00473" LPUPILV="1" REYEX="0.02489" REYEY="0.00350" REYEZ="0.50235" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60249" FPOGY="0.28974" FPOGS="5044.99365" FPOGD="0.20752" FPOGID="14595" FPOGV="1" LPOGX="0.61733" LPOGY="0.33658" LPOGV="1" RPOGX="0.60615" RPOGY="0.23640" RPOGV="1" BPOGX="0.61174" BPOGY="0.28649" BPOGV="1" LPCX="0.31556" LPCY="0.48808" LPD="26.20866" LPS="0.59156" LPV="1" RPCX="0.62891" RPCY="0.46486" RPD="27.16395" RPS="0.59409" RPV="1" LEYEX="-0.03501" LEYEY="0.00015" LEYEZ="0.49474" LPUPILD="0.00463" LPUPILV="1" REYEX="0.02402" REYEY="0.00361" REYEZ="0.50144" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60275" FPOGY="0.28977" FPOGS="5044.99365" FPOGD="0.21387" FPOGID="14595" FPOGV="1" LPOGX="0.60648" LPOGY="0.36306" LPOGV="1" RPOGX="0.61544" RPOGY="0.21803" RPOGV="1" BPOGX="0.61096" BPOGY="0.29054" BPOGV="1" LPCX="0.31351" LPCY="0.48845" LPD="26.25880" LPS="0.59409" LPV="1" RPCX="0.62675" RPCY="0.46477" RPD="27.64782" RPS="0.59409" RPV="1" LEYEX="-0.03501" LEYEY="0.00015" LEYEZ="0.49474" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02402" REYEY="0.00361" REYEZ="0.50144" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60296" FPOGY="0.28979" FPOGS="5044.99365" FPOGD="0.22021" FPOGID="14595" FPOGV="1" LPOGX="0.61294" LPOGY="0.37858" LPOGV="1" RPOGX="0.60675" RPOGY="0.20242" RPOGV="1" BPOGX="0.60985" BPOGY="0.29050" BPOGV="1" LPCX="0.31249" LPCY="0.48866" LPD="26.22197" LPS="0.59409" LPV="1" RPCX="0.62581" RPCY="0.46464" RPD="27.53928" RPS="0.59409" RPV="1" LEYEX="-0.03501" LEYEY="0.00015" LEYEZ="0.49474" LPUPILD="0.00467" LPUPILV="1" REYEX="0.02402" REYEY="0.00361" REYEZ="0.50144" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60315" FPOGY="0.28986" FPOGS="5044.99365" FPOGD="0.22705" FPOGID="14595" FPOGV="1" LPOGX="0.61294" LPOGY="0.37858" LPOGV="1" RPOGX="0.60607" RPOGY="0.20615" RPOGV="1" BPOGX="0.60951" BPOGY="0.29236" BPOGV="1" LPCX="0.31137" LPCY="0.48877" LPD="26.50481" LPS="0.59409" LPV="1" RPCX="0.62451" RPCY="0.46467" RPD="28.15387" RPS="0.59156" RPV="1" LEYEX="-0.03567" LEYEY="-0.00000" LEYEZ="0.49372" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02285" REYEY="0.00356" REYEZ="0.49488" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60313" FPOGY="0.28983" FPOGS="5044.99365" FPOGD="0.23389" FPOGID="14595" FPOGV="1" LPOGX="0.61065" LPOGY="0.34448" LPOGV="1" RPOGX="0.59458" RPOGY="0.23259" RPOGV="1" BPOGX="0.60261" BPOGY="0.28853" BPOGV="1" LPCX="0.30921" LPCY="0.48895" LPD="25.94942" LPS="0.59156" LPV="1" RPCX="0.62259" RPCY="0.46408" RPD="27.05782" RPS="0.58903" RPV="1" LEYEX="-0.03567" LEYEY="-0.00000" LEYEZ="0.49372" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02285" REYEY="0.00356" REYEZ="0.49488" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
