file_key,f0,f1,f2,f3_x,f3_y
T2_S2_TRY3_HS_SL_BIG,52,0.06348,0.77637,0.2720471153846154,0.2720471153846154
T2_S2_TRY3_VB_FA_LIT,67,0.08008,0.50879,0.2102955223880597,0.2102955223880597
T2_S2_TRY3_HS_FA_LIT,63,0.05957,0.74512,0.22352428571428573,0.22352428571428573
T2_S2_TRY3_VB_FA_BIG,76,0.04102,0.42188,0.18480171052631578,0.18480171052631578
T2_S2_TRY3_HS_FA_BIG,58,0.03418,0.85742,0.24336620689655175,0.24336620689655175
T2_S3_TRY1_VB_SL_LIT,66,0.08081,0.71094,0.22141333333333332,0.22141333333333332
T2_S3_TRY1_HS_SL_LIT,46,0.02661,0.78418,0.3169952173913043,0.3169952173913043
T2_S3_TRY1_VB_SL_BIG,70,0.07983,0.37549,0.193255,0.193255
T2_S3_TRY1_HS_SL_BIG,32,0.0769,1.46704,0.4641421875,0.4641421875
T2_S3_TRY1_VB_FA_LIT,71,0.06714,0.72339,0.2118180281690141,0.2118180281690141
T2_S3_TRY1_HS_FA_LIT,65,0.08716,0.83008,0.22200276923076923,0.22200276923076923
T2_S3_TRY1_VB_FA_BIG,72,0.03442,0.67676,0.19799472222222222,0.19799472222222222
T2_S3_TRY1_HS_FA_BIG,66,0.09326,1.28613,0.22159090909090906,0.22159090909090906
T2_S3_TRY2_VB_SL_LIT,62,0.08301,0.54932,0.23464709677419351,0.23464709677419351
T2_S3_TRY2_HS_SL_LIT,46,0.10107,0.89746,0.30335999999999996,0.30335999999999996
T2_S3_TRY2_VB_SL_BIG,64,0.09448,1.31885,0.2263878125,0.2263878125
T2_S3_TRY2_HS_SL_BIG,48,0.04053,0.93115,0.29284229166666664,0.29284229166666664
T2_S3_TRY2_VB_FA_LIT,68,0.02686,0.43604,0.20441411764705883,0.20441411764705883
T2_S3_TRY2_HS_FA_LIT,69,0.0332,0.63647,0.2076007246376812,0.2076007246376812
T2_S3_TRY2_VB_FA_BIG,70,0.04004,1.74121,0.21540542857142858,0.21540542857142858
T2_S3_TRY2_HS_FA_BIG,69,0.07935,0.74292,0.21002826086956522,0.21002826086956522
T2_S3_TRY3_VB_SL_LIT,55,0.07959,0.90454,0.2671301818181818,0.2671301818181818
T2_S3_TRY3_HS_SL_LIT,37,0.05371,1.42017,0.39014999999999994,0.39014999999999994
T2_S3_TRY3_VB_SL_BIG,70,0.04126,0.67627,0.20179628571428573,0.20179628571428573
T2_S3_TRY3_HS_SL_BIG,55,0.0332,1.12524,0.24609381818181814,0.24609381818181814
T2_S3_TRY3_VB_FA_LIT,65,0.08032,2.81982,0.25365415384615386,0.25365415384615386
T2_S3_TRY3_HS_FA_LIT,61,0.08716,1.11182,0.26094639344262294,0.26094639344262294
T2_S3_TRY3_VB_FA_BIG,74,0.08032,1.40503,0.19870432432432433,0.19870432432432433
T2_S3_TRY3_HS_FA_BIG,66,0.05347,0.39526,0.20712712121212123,0.20712712121212123
T3_S1_TRY1_VB_SL_LIT,56,0.0874,0.97754,0.26065482142857144,0.26065482142857144
T3_S1_TRY1_HS_SL_LIT,22,0.0686,2.78027,0.664224090909091,0.664224090909091
T3_S1_TRY1_VB_SL_BIG,64,0.04077,0.47559,0.22176390625000003,0.22176390625000003
T3_S1_TRY1_HS_SL_BIG,37,0.0863,1.34619,0.39276621621621627,0.39276621621621627
T3_S1_TRY1_VB_FA_LIT,63,0.07983,0.58301,0.23005095238095238,0.23005095238095238
T3_S1_TRY1_HS_FA_LIT,44,0.06055,0.95166,0.3219052272727273,0.3219052272727273
T3_S1_TRY1_VB_FA_BIG,70,0.03357,0.41541,0.19372828571428571,0.19372828571428571
T3_S1_TRY1_HS_FA_BIG,49,0.04712,0.75745,0.2946757142857143,0.2946757142857143
T3_S1_TRY2_VB_SL_LIT,57,0.08032,0.50208,0.25354035087719295,0.25354035087719295
T3_S1_TRY2_HS_SL_LIT,33,0.08752,2.50037,0.44423272727272733,0.44423272727272733
T3_S1_TRY2_VB_SL_BIG,70,0.08032,0.47583,0.19829957142857144,0.19829957142857144
T3_S1_TRY2_HS_SL_BIG,38,0.07959,1.33948,0.37139894736842105,0.37139894736842105
T3_S1_TRY2_VB_FA_LIT,71,0.02002,0.48889,0.20322507042253524,0.20322507042253524
T3_S1_TRY2_HS_FA_LIT,44,0.04749,1.57397,0.3318368181818181,0.3318368181818181
T3_S1_TRY2_VB_FA_BIG,75,0.02747,0.38892,0.18660693333333334,0.18660693333333334
T3_S1_TRY2_HS_FA_BIG,58,0.08142,0.53589,0.2339162068965517,0.2339162068965517
T3_S1_TRY3_VB_SL_LIT,53,0.06726,0.69434,0.2799609433962264,0.2799609433962264
T3_S1_TRY3_HS_SL_LIT,37,0.05273,1.36646,0.38815648648648654,0.38815648648648654
T3_S1_TRY3_VB_SL_BIG,67,0.06653,1.93579,0.22929268656716414,0.22929268656716414
T3_S1_TRY3_HS_SL_BIG,21,0.1001,2.99487,0.7186109523809525,0.7186109523809525
T3_S1_TRY3_VB_FA_LIT,60,0.08447,0.58923,0.23522783333333336,0.23522783333333336
T3_S1_TRY3_HS_FA_LIT,41,0.05359,2.07568,0.35190804878048776,0.35190804878048776
T3_S1_TRY3_VB_FA_BIG,66,0.08032,1.09229,0.2247919696969697,0.2247919696969697
T3_S1_TRY3_HS_FA_BIG,44,0.13452,1.34009,0.3459661363636364,0.3459661363636364
T3_S2_TRY1_VB_SL_LIT,60,0.03369,0.85791,0.23339816666666666,0.23339816666666666
T3_S2_TRY1_HS_SL_LIT,43,0.01904,1.23975,0.33366651162790695,0.33366651162790695
T3_S2_TRY1_VB_SL_BIG,66,0.08691,0.4624,0.21530242424242424,0.21530242424242424
T3_S2_TRY1_HS_SL_BIG,35,0.08008,1.66748,0.44421,0.44421
T3_S2_TRY1_VB_FA_LIT,62,0.05322,0.72949,0.2265308064516129,0.2265308064516129
T3_S2_TRY1_HS_FA_LIT,45,0.01904,0.77686,0.3254888888888889,0.3254888888888889
T3_S2_TRY1_VB_FA_BIG,70,0.03418,0.81689,0.2025804285714285,0.2025804285714285
T3_S2_TRY1_HS_FA_BIG,39,0.08008,1.98633,0.37094435897435896,0.37094435897435896
T3_S2_TRY2_VB_SL_LIT,63,0.03369,0.49365,0.22516746031746032,0.22516746031746032
T3_S2_TRY2_HS_SL_LIT,46,0.06006,1.58154,0.29417869565217397,0.29417869565217397
T3_S2_TRY2_VB_SL_BIG,67,0.02686,0.7832,0.2223868656716418,0.2223868656716418
T3_S2_TRY2_HS_SL_BIG,51,0.08008,0.73047,0.26638156862745094,0.26638156862745094
T3_S2_TRY2_VB_FA_LIT,66,0.04102,0.51514,0.21257984848484848,0.21257984848484848
T3_S2_TRY2_HS_FA_LIT,33,0.08057,1.55957,0.4237993939393939,0.4237993939393939
T3_S2_TRY2_VB_FA_BIG,69,0.08057,0.5835,0.20658536231884053,0.20658536231884053
T3_S2_TRY2_HS_FA_BIG,53,0.08057,0.69043,0.26201339622641506,0.26201339622641506
T3_S2_TRY3_VB_SL_LIT,71,0.02637,0.58105,0.1970174647887324,0.1970174647887324
T3_S2_TRY3_HS_SL_LIT,40,0.03271,1.22705,0.3519285,0.3519285
T3_S2_TRY3_VB_SL_BIG,69,0.08887,0.71826,0.2134357971014493,0.2134357971014493
T3_S2_TRY3_HS_SL_BIG,37,0.06641,1.00488,0.3567627027027027,0.3567627027027027
T3_S2_TRY3_VB_FA_LIT,63,0.08789,1.15137,0.23832793650793646,0.23832793650793646
T3_S2_TRY3_HS_FA_LIT,50,0.07324,0.96533,0.2962792,0.2962792
T3_S2_TRY3_VB_FA_BIG,74,0.06006,0.44141,0.18663581081081082,0.18663581081081082
T3_S2_TRY3_HS_FA_BIG,43,0.02637,1.73438,0.3259106976744186,0.3259106976744186
T3_S3_TRY1_VB_SL_LIT,67,0.04041,1.35291,0.23475985074626865,0.23475985074626865
T3_S3_TRY1_HS_SL_LIT,24,0.11389,2.3916,0.6078754166666668,0.6078754166666668
T3_S3_TRY1_VB_SL_BIG,69,0.02722,0.41492,0.20379623188405796,0.20379623188405796
T3_S3_TRY1_HS_SL_BIG,30,0.08728,1.70117,0.4922243333333333,0.4922243333333333
T3_S3_TRY1_VB_FA_LIT,71,0.02722,0.46204,0.20702943661971832,0.20702943661971832
T3_S3_TRY1_HS_FA_LIT,34,0.08643,1.77539,0.43498029411764705,0.43498029411764705
T3_S3_TRY1_VB_FA_BIG,66,0.06592,0.58801,0.2131010606060606,0.2131010606060606
T3_S3_TRY1_HS_FA_BIG,41,0.07397,1.40039,0.3669351219512195,0.3669351219512195
T3_S3_TRY2_VB_SL_LIT,60,0.06018,0.85107,0.24268833333333337,0.24268833333333337
T3_S3_TRY2_HS_SL_LIT,28,0.08032,2.18408,0.5501364285714285,0.5501364285714285
T3_S3_TRY2_VB_SL_BIG,69,0.02014,0.38123,0.2078340579710145,0.2078340579710145
T3_S3_TRY2_HS_SL_BIG,53,0.02051,0.93213,0.2674354716981132,0.2674354716981132
T3_S3_TRY2_VB_FA_LIT,68,0.04004,1.59326,0.23480573529411766,0.23480573529411766
T3_S3_TRY2_HS_FA_LIT,51,0.10681,1.90906,0.3213466666666666,0.3213466666666666
T3_S3_TRY2_VB_FA_BIG,77,0.02673,0.37524,0.17865662337662336,0.17865662337662336
T3_S3_TRY2_HS_FA_BIG,59,0.09399,0.84985,0.25212661016949156,0.25212661016949156
T3_S3_TRY3_VB_SL_LIT,60,0.02063,0.77075,0.24231366666666662,0.24231366666666662
T3_S3_TRY3_HS_SL_LIT,33,0.08057,1.94153,0.4673703030303031,0.4673703030303031
T3_S3_TRY3_VB_SL_BIG,67,0.08643,0.35498,0.2062774626865672,0.2062774626865672
T3_S3_TRY3_HS_SL_BIG,43,0.01953,1.72742,0.3727830232558139,0.3727830232558139
T3_S3_TRY3_VB_FA_LIT,67,0.09375,0.44897,0.22198597014925373,0.22198597014925373
T3_S3_TRY3_HS_FA_LIT,39,0.07446,1.63428,0.3736661538461539,0.3736661538461539
T3_S3_TRY3_VB_FA_BIG,71,0.09277,0.38892,0.19616901408450704,0.19616901408450704
T3_S3_TRY3_HS_FA_BIG,37,0.02014,0.78979,0.4004954054054054,0.4004954054054054
T4_S1_TRY1_VB_SL_LIT,57,0.02686,0.70679,0.26254543859649127,0.26254543859649127
T4_S1_TRY1_HS_SL_LIT,86,0.02759,0.42871,0.15205720930232558,0.15205720930232558
T4_S1_TRY1_VB_SL_BIG,70,0.02637,1.05151,0.210801,0.210801
T4_S1_TRY1_HS_SL_BIG,86,0.06689,1.04419,0.1613103488372093,0.1613103488372093
T4_S1_TRY1_VB_FA_LIT,66,0.08704,0.75049,0.22620939393939396,0.22620939393939396
T4_S1_TRY1_HS_FA_LIT,68,0.08691,0.90369,0.21315294117647057,0.21315294117647057
T4_S1_TRY1_VB_FA_BIG,70,0.04639,0.56238,0.19880157142857144,0.19880157142857144
T4_S1_TRY1_HS_FA_BIG,81,0.02051,0.6366,0.1726679012345679,0.1726679012345679
T4_S1_TRY2_VB_SL_LIT,62,0.0603,0.4624,0.23120983870967737,0.23120983870967737
T4_S1_TRY2_HS_SL_LIT,76,0.05688,0.40845,0.17069565789473684,0.17069565789473684
T4_S1_TRY2_VB_SL_BIG,71,0.08032,0.35522,0.19547352112676056,0.19547352112676056
T4_S1_TRY2_HS_SL_BIG,72,0.04736,0.85547,0.20231430555555555,0.20231430555555555
T4_S1_TRY2_VB_FA_LIT,65,0.01978,0.63403,0.2279146153846154,0.2279146153846154
T4_S1_TRY2_HS_FA_LIT,72,0.08667,0.56323,0.20579749999999997,0.20579749999999997
T4_S1_TRY2_VB_FA_BIG,72,0.02612,0.30786,0.1891986111111111,0.1891986111111111
T4_S1_TRY2_HS_FA_BIG,58,0.08032,1.18579,0.25083724137931035,0.25083724137931035
T4_S1_TRY3_VB_SL_LIT,62,0.0813,0.69897,0.24241225806451616,0.24241225806451616
T4_S1_TRY3_HS_SL_LIT,84,0.04663,0.49341,0.1719363095238095,0.1719363095238095
T4_S1_TRY3_VB_SL_BIG,69,0.073,0.47607,0.19711695652173913,0.19711695652173913
T4_S1_TRY3_HS_SL_BIG,86,0.08765,0.6626,0.1651127906976744,0.1651127906976744
T4_S1_TRY3_VB_FA_LIT,66,0.02686,0.59521,0.21854348484848485,0.21854348484848485
T4_S1_TRY3_HS_FA_LIT,58,0.05151,1.19189,0.25410344827586206,0.25410344827586206
T4_S1_TRY3_VB_FA_BIG,69,0.03149,0.50903,0.19941333333333333,0.19941333333333333
T4_S1_TRY3_HS_FA_BIG,71,0.021,0.47559,0.2015607042253521,0.2015607042253521
T4_S2_TRY1_VB_SL_LIT,64,0.02838,0.71698,0.23183078124999998,0.23183078124999998
T4_S2_TRY1_HS_SL_LIT,59,0.08173,0.9115,0.2464072881355932,0.2464072881355932
T4_S2_TRY1_VB_SL_BIG,61,0.07977,1.38678,0.23934459016393445,0.23934459016393445
T4_S2_TRY1_HS_SL_BIG,53,0.01984,1.18579,0.2840698113207547,0.2840698113207547
T4_S2_TRY1_VB_FA_LIT,63,0.08002,1.07849,0.24462888888888892,0.24462888888888892
T4_S2_TRY1_HS_FA_LIT,70,0.08746,0.62268,0.21716985714285714,0.21716985714285714
T4_S2_TRY1_VB_FA_BIG,66,0.05304,0.46234,0.2094884848484848,0.2094884848484848
T4_S2_TRY1_HS_FA_BIG,76,0.08215,0.53461,0.19307065789473682,0.19307065789473682
T4_S2_TRY2_VB_SL_LIT,64,0.02667,0.85059,0.23409375,0.23409375
T4_S2_TRY2_HS_SL_LIT,84,0.08728,0.99829,0.18194321428571428,0.18194321428571428
T4_S2_TRY2_VB_SL_BIG,68,0.07996,0.6427,0.21507985294117646,0.21507985294117646
T4_S2_TRY2_HS_SL_BIG,100,0.01947,0.67633,0.1450935,0.1450935
T4_S2_TRY2_VB_FA_LIT,65,0.04095,0.55219,0.22906246153846155,0.22906246153846155
T4_S2_TRY2_HS_FA_LIT,61,0.08014,0.71765,0.25436918032786887,0.25436918032786887
T4_S2_TRY2_VB_FA_BIG,73,0.06702,1.15967,0.20832315068493149,0.20832315068493149
T4_S2_TRY2_HS_FA_BIG,87,0.02808,0.45667,0.1689651724137931,0.1689651724137931
T4_S2_TRY3_VB_SL_LIT,63,0.07983,0.54224,0.23112158730158724,0.23112158730158724
T4_S2_TRY3_HS_SL_LIT,83,0.08008,0.80994,0.17717843373493974,0.17717843373493974
T4_S2_TRY3_VB_SL_BIG,71,0.02637,0.59003,0.19409746478873238,0.19409746478873238
T4_S2_TRY3_HS_SL_BIG,79,0.03314,0.36194,0.1737384810126582,0.1737384810126582
T4_S2_TRY3_VB_FA_LIT,60,0.03156,0.58307,0.23830883333333336,0.23830883333333336
T4_S2_TRY3_HS_FA_LIT,60,0.0799,1.02441,0.2541988333333333,0.2541988333333333
T4_S2_TRY3_VB_FA_BIG,76,0.08643,0.40186,0.18582223684210522,0.18582223684210522
T4_S2_TRY3_HS_FA_BIG,78,0.06073,0.46942,0.18358333333333335,0.18358333333333335
T4_S3_TRY1_VB_SL_LIT,56,0.04677,0.48857,0.2501467857142857,0.2501467857142857
T4_S3_TRY1_HS_SL_LIT,87,0.07948,0.84091,0.16191689655172414,0.16191689655172414
T4_S3_TRY1_VB_SL_BIG,69,0.05399,0.48872,0.19781333333333337,0.19781333333333337
T4_S3_TRY1_HS_SL_BIG,71,0.08649,0.66372,0.2043012676056338,0.2043012676056338
T4_S3_TRY1_VB_FA_LIT,64,0.08701,0.99117,0.24678031250000002,0.24678031250000002
T4_S3_TRY1_HS_FA_LIT,72,0.08037,0.56926,0.1959791666666667,0.1959791666666667
T4_S3_TRY1_VB_FA_BIG,68,0.10069,0.53618,0.2128589705882353,0.2128589705882353
T4_S3_TRY1_HS_FA_BIG,74,0.02693,0.71031,0.18802716216216214,0.18802716216216214
T4_S3_TRY2_VB_SL_LIT,72,0.01987,0.55652,0.1989777777777778,0.1989777777777778
T4_S3_TRY2_HS_SL_LIT,62,0.08621,1.00467,0.23480903225806454,0.23480903225806454
T4_S3_TRY2_VB_SL_BIG,72,0.0799,0.85751,0.20776486111111112,0.20776486111111112
