2025-05-28 16:27:05.457062
90" REYEZ="0.72853" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.83083" FPOGY="0.04570" FPOGS="1370.80762" FPOGD="0.06689" FPOGID="4407" FPOGV="1" LPOGX="0.82211" LPOGY="0.10655" LPOGV="1" RPOGX="0.83529" RPOGY="-0.00640" RPOGV="1" BPOGX="0.82870" BPOGY="0.05007" BPOGV="1" LPCX="0.27646" LPCY="0.78504" LPD="26.00561" LPS="1.20230" LPV="1" RPCX="0.53174" RPCY="0.78919" RPD="24.89153" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00510" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83065" FPOGY="0.04607" FPOGS="1370.80762" FPOGD="0.07324" FPOGID="4407" FPOGV="1" LPOGX="0.82211" LPOGY="0.10655" LPOGV="1" RPOGX="0.83529" RPOGY="-0.00640" RPOGV="1" BPOGX="0.82870" BPOGY="0.05007" BPOGV="1" LPCX="0.27638" LPCY="0.78506" LPD="25.96552" LPS="1.20230" LPV="1" RPCX="0.53172" RPCY="0.78921" RPD="24.78067" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00510" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83018" FPOGY="0.04689" FPOGS="1370.80762" FPOGD="0.08020" FPOGID="4407" FPOGV="1" LPOGX="0.81997" LPOGY="0.10986" LPOGV="1" RPOGX="0.82910" RPOGY="0.00357" RPOGV="1" BPOGX="0.82453" BPOGY="0.05672" BPOGV="1" LPCX="0.27643" LPCY="0.78514" LPD="25.81446" LPS="1.20230" LPV="1" RPCX="0.53170" RPCY="0.78922" RPD="24.70962" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83016" FPOGY="0.04472" FPOGS="1370.80762" FPOGD="0.08691" FPOGID="4407" FPOGV="1" LPOGX="0.82048" LPOGY="0.03758" LPOGV="1" RPOGX="0.83946" RPOGY="-0.00450" RPOGV="1" BPOGX="0.82997" BPOGY="0.01654" BPOGV="1" LPCX="0.27638" LPCY="0.78514" LPD="25.76255" LPS="1.20230" LPV="1" RPCX="0.53168" RPCY="0.78919" RPD="24.74097" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00510" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83015" FPOGY="0.04284" FPOGS="1370.80762" FPOGD="0.09363" FPOGID="4407" FPOGV="1" LPOGX="0.82048" LPOGY="0.03758" LPOGV="1" RPOGX="0.83946" RPOGY="-0.00450" RPOGV="1" BPOGX="0.82997" BPOGY="0.01654" BPOGV="1" LPCX="0.27640" LPCY="0.78511" LPD="25.84850" LPS="1.20230" LPV="1" RPCX="0.53173" RPCY="0.78923" RPD="24.80487" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00510" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83019" FPOGY="0.04108" FPOGS="1370.80762" FPOGD="0.10034" FPOGID="4407" FPOGV="1" LPOGX="0.81885" LPOGY="0.03873" LPOGV="1" RPOGX="0.84258" RPOGY="-0.00948" RPOGV="1" BPOGX="0.83072" BPOGY="0.01462" BPOGV="1" LPCX="0.27638" LPCY="0.78512" LPD="25.86215" LPS="1.20230" LPV="1" RPCX="0.53170" RPCY="0.78922" RPD="24.70962" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83002" FPOGY="0.03969" FPOGS="1370.80762" FPOGD="0.10669" FPOGID="4407" FPOGV="1" LPOGX="0.82104" LPOGY="0.03632" LPOGV="1" RPOGX="0.83373" RPOGY="-0.00144" RPOGV="1" BPOGX="0.82738" BPOGY="0.01744" BPOGV="1" LPCX="0.27643" LPCY="0.78514" LPD="25.81446" LPS="1.20230" LPV="1" RPCX="0.53171" RPCY="0.78921" RPD="24.79689" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.82987" FPOGY="0.03845" FPOGS="1370.80762" FPOGD="0.11414" FPOGID="4407" FPOGV="1" LPOGX="0.82104" LPOGY="0.03632" LPOGV="1" RPOGX="0.83373" RPOGY="-0.00144" RPOGV="1" BPOGX="0.82738" BPOGY="0.01744" BPOGV="1" LPCX="0.27644" LPCY="0.78517" LPD="25.89620" LPS="1.20230" LPV="1" RPCX="0.53171" RPCY="0.78919" RPD="24.84329" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.82982" FPOGY="0.03753" FPOGS="1370.80762" FPOGD="0.12012" FPOGID="4407" FPOGV="1" LPOGX="0.82164" LPOGY="0.04219" LPOGV="1" RPOGX="0.83605" RPOGY="-0.00006" RPOGV="1" BPOGX="0.82885" BPOGY="0.02106" BPOGV="1" LPCX="0.27648" LPCY="0.78523" LPD="25.78958" LPS="1.20230" LPV="1" RPCX="0.53172" RPCY="0.78916" RPD="24.92431" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00511" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.82983" FPOGY="0.03663" FPOGS="1370.80762" FPOGD="0.12683" FPOGID="4407" FPOGV="1" LPOGX="0.81974" LPOGY="0.04076" LPOGV="1" RPOGX="0.84033" RPOGY="-0.00178" RPOGV="1" BPOGX="0.83004" BPOGY="0.01949" BPOGV="1" LPCX="0.27643" LPCY="0.78520" LPD="25.81675" LPS="1.20230" LPV="1" RPCX="0.53174" RPCY="0.78919" RPD="24.96301" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00548" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.82984" FPOGY="0.03582" FPOGS="1370.80762" FPOGD="0.13342" FPOGID="4407" FPOGV="1" LPOGX="0.81974" LPOGY="0.04076" LPOGV="1" RPOGX="0.84033" RPOGY="-0.00178" RPOGV="1" BPOGX="0.83004" BPOGY="0.01949" BPOGV="1" LPCX="0.27642" LPCY="0.78522" LPD="25.74767" LPS="1.20230" LPV="1" RPCX="0.53175" RPCY="0.78919" RPD="24.93899" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00509" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00548" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83011" FPOGY="0.03713" FPOGS="1370.80762" FPOGD="0.14026" FPOGID="4407" FPOGV="1" LPOGX="0.82777" LPOGY="0.11958" LPOGV="1" RPOGX="0.84393" RPOGY="0.00970" RPOGV="1" BPOGX="0.83585" BPOGY="0.06464" BPOGV="1" LPCX="0.27651" LPCY="0.78513" LPD="25.80975" LPS="1.20230" LPV="1" RPCX="0.53175" RPCY="0.78923" RPD="25.02705" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00513" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00548" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83034" FPOGY="0.03833" FPOGS="1370.80762" FPOGD="0.14783" FPOGID="4407" FPOGV="1" LPOGX="0.82455" LPOGY="0.11984" LPOGV="1" RPOGX="0.84603" RPOGY="0.00965" RPOGV="1" BPOGX="0.83529" BPOGY="0.06475" BPOGV="1" LPCX="0.27643" LPCY="0.78520" LPD="25.81662" LPS="1.20230" LPV="1" RPCX="0.53180" RPCY="0.78922" RPD="24.96604" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.83055" FPOGY="0.03943" FPOGS="1370.80762" FPOGD="0.15381" FPOGID="4407" FPOGV="1" LPOGX="0.82455" LPOGY="0.11984" LPOGV="1" RPOGX="0.84603" RPOGY="0.00965" RPOGV="1" BPOGX="0.83529" BPOGY="0.06475" BPOGV="1" LPCX="0.27645" LPCY="0.78518" LPD="25.90423" LPS="1.20230" LPV="1" RPCX="0.53180" RPCY="0.78922" RPD="24.96604" RPS="1.20230" RPV="1" LEYEX="-0.05994" LEYEY="-0.06229" LEYEZ="0.69328" LPUPILD="0.00508" LPUPILV="1" REYEX="0.00780" REYEY="-0.06671" REYEZ="0.73270" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
